relay_pressure_weight,compression_distortion_weight,n,rmse_c_mean,rmse_c_sd,rmse_c_ci95,effective_bits_mean,effective_bits_sd,effective_bits_ci95,energy_j_mean,energy_j_sd,energy_j_ci95,max_relay_energy_j_mean,max_relay_energy_j_sd,max_relay_energy_j_ci95,representation_js_mean,representation_js_sd,representation_js_ci95,participation_jain_mean,participation_jain_sd,participation_jain_ci95
1.0,0.1,10,1.7426596081387795,0.00845395898304672,0.005239818063885412,992796.2802314343,35425.262035972584,21956.80488942555,3.4834314445322967,0.08147810268273717,0.0505006512456789,0.10036562929791444,0.005066420871981003,0.0031402001899333595,0.020052002154067404,0.0019151361838969305,0.0011870137046214072,0.6611696861851686,0.013826638291969204,0.008569839199640886
1.0,0.2,10,1.7373993975843647,0.006447376563435919,0.00399612539515633,1209965.8137592715,33411.13967366075,20708.43891579343,3.9829213716463228,0.07684562124941889,0.047629409506324376,0.11192019168003715,0.005850795697654256,0.003626360743664659,0.02331977255129915,0.003028778953933139,0.0018772566446277397,0.6637646449503175,0.016919475653738685,0.010486799656789801
1.0,0.4,10,1.7351933651919236,0.005013826925775963,0.0031076021243490776,1837763.0698185586,74895.66786415571,46420.81587672123,5.426855060582644,0.17226003608755455,0.10676787651645663,0.12910428435351134,0.006754538098106799,0.004186506086750271,0.02571520724246234,0.002541939957150712,0.0015755107082374644,0.6692372316182035,0.019310773386311274,0.011968941346900821
2.0,0.1,10,1.7410115186108228,0.0071249844987824355,0.004416111144670955,988333.8279030647,30035.408106819246,18616.138813766007,3.4731678041770473,0.0690814386456843,0.04281711927166184,0.09987888114119148,0.006420986585221838,0.003979768717198821,0.021819911799808404,0.003070074275324305,0.0019028517499994724,0.6557853165229751,0.020221739122236522,0.012533563759696291
2.0,0.2,10,1.7402835446988718,0.009850185212583034,0.006105208046669359,1200692.908947902,31302.74186074355,19401.64041249639,3.9615936905801723,0.07199630627970939,0.04462377294874121,0.10792049872834683,0.0055054073215743135,0.0034122868102958092,0.02346706001381665,0.0029686897923231156,0.0018400129964057255,0.6641060978979805,0.02230312190395959,0.013823618173185078
2.0,0.4,10,1.7345185627078528,0.004461684608791299,0.002765380770759172,1830970.4672684155,70957.66025054891,43980.013470313206,5.4112320747173195,0.1632026185762605,0.10115403098171914,0.12293927409913666,0.0046545355148846085,0.002884911000727265,0.023925989682129417,0.0024380263688034733,0.0015111043989098566,0.6686773597975475,0.02637763171882741,0.016349025520468966
3.0,0.1,10,1.7417307659976191,0.008372250846620173,0.005189174836248183,982635.8705102557,30316.097132612278,18790.111674367075,3.4600625021735874,0.06972702340500828,0.04321725685104429,0.09756673513200116,0.0038927594794908585,0.0024127573223269153,0.023140083726042926,0.003753083265932747,0.0023261851082477373,0.6604515854033168,0.020392793537189615,0.012639584384491842
3.0,0.2,10,1.7374694460169124,0.005806141222272662,0.0035986836130792108,1200212.802292707,47046.76366190739,29159.886223409158,3.960489445273223,0.10820755642238626,0.06706773831384061,0.1079633220192862,0.004092657956758237,0.0025366556821639196,0.025821388632446873,0.0028342818639520914,0.001756706099315234,0.6566304366330631,0.020540909051928354,0.012731387331634841
3.0,0.4,10,1.7351611725098106,0.0058687940303467695,0.003637516225841846,1834087.652535215,77354.80748499393,47945.00640481872,5.4184016008309595,0.1779160572154839,0.11027351473108173,0.12147498586918015,0.006560502492787995,0.004066241572594798,0.024547657045863154,0.004055865156472272,0.0025138512682856486,0.6728719123178716,0.02343540886458217,0.014525416902238518
5.0,0.1,10,1.7422909074633275,0.005904566967295504,0.0036596885218747586,988116.7291492224,29347.526171659112,18189.78517319351,3.47266847704321,0.06749931019481578,0.04183650589834497,0.09812895465875017,0.004236047029254741,0.0026255291500548394,0.022031887957633785,0.0026735294625096005,0.0016570707286468324,0.6667182227440067,0.018306637042139137,0.011346571192828834
5.0,0.2,10,1.739248946802999,0.006868743356974905,0.004257291239553573,1215449.912796928,28258.421643924088,17514.75119333515,3.995534799432933,0.06499436978102453,0.0402839277446703,0.1064972747542043,0.0040368018419300955,0.0025020357035193726,0.0251808418713508,0.0028150597061064628,0.0017447920824494834,0.6559967706056775,0.025934830962279682,0.016074574768163003
5.0,0.4,10,1.7353464322809509,0.005564568505468915,0.003448955291970895,1868515.4634323516,70325.18346388226,43588.000296555205,5.49758556589437,0.1617479219669265,0.1002524006820753,0.12162913331042761,0.004499346344568583,0.00278872375643474,0.02490182378110648,0.004021694012548348,0.0024926717738552556,0.6876061003314853,0.022103006848897565,0.01369958557704022
