method,correlation,n,clients,rmse_c_mean,rmse_c_sd,rmse_c_ci95,mae_c_mean,mae_c_sd,mae_c_ci95,worst_client_rmse_c_mean,worst_client_rmse_c_sd,worst_client_rmse_c_ci95,p90_client_rmse_c_mean,p90_client_rmse_c_sd,p90_client_rmse_c_ci95,client_rmse_sd_c_mean,client_rmse_sd_c_sd,client_rmse_sd_c_ci95,effective_bits_mean,effective_bits_sd,effective_bits_ci95,compressed_bits_mean,compressed_bits_sd,compressed_bits_ci95,raw_selected_bits_mean,raw_selected_bits_sd,raw_selected_bits_ci95,mean_selected_hops_mean,mean_selected_hops_sd,mean_selected_hops_ci95,mean_selected_etx_mean,mean_selected_etx_sd,mean_selected_etx_ci95,energy_j_mean,energy_j_sd,energy_j_ci95,min_residual_energy_j_mean,min_residual_energy_j_sd,min_residual_energy_j_ci95,max_relay_energy_j_mean,max_relay_energy_j_sd,max_relay_energy_j_ci95,participation_jain_mean,participation_jain_sd,participation_jain_ci95,utility_target_js_mean,utility_target_js_sd,utility_target_js_ci95,temperature_coverage_js_mean,temperature_coverage_js_sd,temperature_coverage_js_ci95
resource,0.5,10,48,1.7449784218746758,0.003797481046552552,0.0023537031377714904,0.8288659529168342,0.010720505459826578,0.006644638124579254,8.611309614405332,0.003813844895535116,0.002363845556449589,1.9743879420812256,0.0017666913523903115,0.0010950066448310025,1.4190832199985064,0.0037995265342527693,0.0023549709441829654,2235131.8315622434,21962.930391493202,13612.765289255014,504000.0,0.0,0.0,964800.0,0.0,0.0,1.4753333333333334,0.013443985299781488,0.008332668417917693,4.434785380083819,0.04357724284026448,0.02700945493899816,6.340803212593114,0.05051473990043524,0.03130936016528708,7.3068287225653465,0.2020106191732906,0.12520747895318188,0.13915271441370874,0.0070219371391346975,0.004352241729453693,0.7044881933050712,0.013599521388826107,0.008429070684665902,0.10211846344975758,0.006124345717270786,0.0037959088023951657,0.0008549001201812017,0.00015762979973135506,9.769996207638682e-05
utility,0.5,10,48,1.7304452122043723,0.004113695766053349,0.0025496950514570715,0.7826819529479628,0.010397923948151826,0.006444700032220581,8.625970813004848,0.003244023746350549,0.0020106667491394544,1.9750121366928828,0.0017847266329858223,0.0011061850275557248,1.4335054337603945,0.002318206557987859,0.0014368393107562444,2691830.50558577,49658.551042421146,30778.688813164797,504000.0,0.0,0.0,964800.0,0.0,0.0,1.6323333333333334,0.01859576481717819,0.011525774444401112,5.340933542828912,0.0985288711159153,0.06106882701024781,7.391210162847221,0.11421466739756744,0.07079098427027829,7.163606425722942,0.21812547506500746,0.13519557011469083,0.3194291759334511,0.024000643713620554,0.014875753091267613,0.5299244602477913,0.021347479900099626,0.013231305122639795,0.04733403955985587,0.004036447170250641,0.002501815875734961,0.004822841881018811,0.0006554043931092985,0.0004062238514583268
random_adaptive,0.5,10,48,1.7538372005798402,0.012773263196036645,0.007916950551046418,0.825428607186258,0.031775899652441014,0.01969490665012261,8.644198689939737,0.01037101913734812,0.00642802425771808,1.9678923674220372,0.002376636200633264,0.001473054378467565,1.426679365829536,0.008174004127990138,0.005066300247021195,978328.224498545,28149.462317602432,17447.217503210333,199281.6,4098.377435034504,2540.2006515265675,964800.0,0.0,0.0,1.6179999999999999,0.0464066832138818,0.028763160251514788,5.1165565630639644,0.09968103114161807,0.061782943192650715,3.4501549163466536,0.0647437633304858,0.04012860025738389,7.339155507831609,0.19438261992508662,0.12047959603676406,0.09176547347394862,0.010177931622289225,0.006308347375993759,0.8889541928266873,0.01802210863643206,0.011170218659902873,0.0497381845595019,0.006518573704078777,0.004040253840111594,0.0001324247964546559,7.017580897797277e-05,4.349541703099622e-05
resource_adaptive,0.5,10,48,1.7266999004237866,0.005263994752983715,0.003262657750078377,0.7554903554709511,0.01865950515972435,0.011565281118013013,8.623784620219249,0.00955632597323308,0.005923072203134595,1.9716717551935639,0.002254835959133489,0.0013975618066587858,1.4427322380996874,0.0051351210098306505,0.0031827809765231554,906040.4494897823,9542.234299322672,5914.338093156748,181526.4,1441.3859996544993,893.3802982918304,964800.0,0.0,0.0,1.6486666666666667,0.012688091043217949,0.007864160303805523,4.952178008764653,0.04072864838878802,0.02524387780602857,3.2838930338265,0.021947138888441957,0.013602977614260403,7.3515657341538585,0.20441947857316883,0.12670050547745929,0.0890720814864384,0.005154104389938413,0.003194546997413691,0.8237049090608812,0.00573650535711567,0.00355552285669565,0.07882858393154243,0.003268377331514537,0.0020257612576080357,0.00036504773657829577,6.250353826675167e-05,3.874009437751593e-05
utility_adaptive,0.5,10,48,1.7458856364719453,0.009937121079389107,0.006159091455165131,0.810996611479694,0.022217369275917456,0.013770468143673236,8.63703406508942,0.014451400323910376,0.008957070718880565,1.9706981866440487,0.002699468836598368,0.0016731481192739654,1.4293571340871432,0.004672126618656005,0.0028958140798041668,1053303.0380960216,34718.80585157667,21518.93880990416,211060.8,4435.461464154548,2749.1274973241966,964800.0,0.0,0.0,1.6256666666666668,0.02211362353118571,0.013706165864896301,5.2138265873039895,0.12231739460746308,0.07581310662576742,3.622596987620849,0.07985325345862762,0.04949355926278037,7.286927669946138,0.21560925909070192,0.13363600329620462,0.11125710165354522,0.005104149576418685,0.0031635846832146737,0.5575908285939565,0.021962604144366172,0.01361256307919072,0.03511406534625775,0.004978029838020207,0.0030854148594908915,0.005169892825742638,0.0003940894506170723,0.00024425917209570187
proposed_fixed_comp,0.5,10,48,1.7381592253124918,0.00443477888011765,0.002748704427354987,0.8084093069609919,0.011658777301958217,0.007226185037344686,8.612956617665029,0.002839872162648801,0.0017601710023449596,1.9751551976969886,0.0007524585437484109,0.00046637863724729246,1.4258118293553868,0.002987578135785933,0.0018517201129734562,2373693.3780118106,14742.146797236426,9137.27725004542,504000.0,0.0,0.0,964800.0,0.0,0.0,1.4443333333333332,0.011972189997378665,0.007420440238512367,4.709709083356768,0.02925029126435707,0.01812951835326415,6.659494769427115,0.03390693763364261,0.02101573767510374,7.202486905728239,0.22281035722628112,0.13809929016171776,0.1402822662026372,0.0082414420278749,0.00510809869041503,0.6473961932148276,0.01776972728110806,0.011013791075233191,0.030332143374087038,0.0025787749139256984,0.0015983412509783348,0.0031018363616188063,0.00032809563456154034,0.0002033557811322546
fedcg_adapted,0.5,10,48,1.7376698953268435,0.0031907960038542117,0.001977675852543971,0.7957741363031372,0.00895749253050737,0.005551911389988321,8.624046674110456,0.0039980187962908335,0.00247799772279098,1.9730767470866202,0.001678916309057529,0.001040603109335295,1.4314569709095883,0.002506346856783876,0.001553449876072814,988451.0168983331,17953.970635562615,11127.986289423112,201316.8,3739.446804007245,2317.73314158123,964800.0,0.0,0.0,1.6863333333333332,0.014610160509845795,0.009055471301584883,5.056156601133553,0.04214088010225158,0.026119188090528128,3.4734373388661672,0.041294132461793955,0.025594368465673117,7.348766888867388,0.20179586440544095,0.12507437256904388,0.09961182849455268,0.0029685905572732216,0.001839951489884574,0.8211843523977741,0.006074236923928481,0.00376485105051335,0.09263215483699734,0.00385158358995655,0.0023872362415869822,0.00028407064989750613,4.603513502095116e-05,2.8532872295679414e-05
proposed,0.5,10,48,1.736553993894099,0.004531360036481519,0.0028085660482548747,0.7834016060223175,0.011262392362053592,0.006980503106248319,8.637199241874333,0.010554614739483166,0.006541817990860897,1.9688608808588035,0.00245996126297152,0.0015246997871677882,1.4366662338210976,0.0033155351148880454,0.002054989954561596,1011363.2938472523,31544.876424722974,19551.71697009203,208492.8,5942.53871674388,3683.223656014389,964800.0,0.0,0.0,1.552,0.02049992472133124,0.012705984980354256,4.995479917221918,0.08284773189412845,0.051349556225826654,3.526135575848678,0.07255321577686322,0.04496894903121191,7.292721002993332,0.20330703060788669,0.12601100308511184,0.09663390558687135,0.00419229313103133,0.0025984102029749934,0.6504413656724002,0.020374966448272,0.01262853504030596,0.012727544733872479,0.0021729306545878618,0.0013467963729552567,0.003973088902887988,0.00047849146286424546,0.0002965720812649906
random,0.9,10,48,1.7427260377592328,0.004706795510462653,0.0029173020815685064,0.812649838451746,0.013525240183861108,0.008383030716839787,8.632172591199069,0.005227877871652808,0.0032402722751087923,1.9714593084264656,0.0016159285110396502,0.0010015628676544083,1.4256833991537905,0.0039047240728933494,0.0024201730541471354,2552478.4755081604,67565.43361077845,41877.48961616307,504000.0,0.0,0.0,964800.0,0.0,0.0,1.625,0.03725951697134936,0.023093687876843884,5.06444141965905,0.13405840002138483,0.08309025717492612,7.070700493668713,0.15540049730479108,0.09631822611717546,6.149645026624877,0.2518970489124937,0.15612740844591078,0.2660581284843783,0.025137378060279658,0.015580308338744905,0.8858072402833518,0.019013272826479,0.011784548589548765,0.06415258869970754,0.00693611671463268,0.0042990496792606695,0.00020367635811210737,0.0001467382103866065,9.094928506133607e-05
resource,0.9,10,48,1.7472733202971837,0.0029632312778443454,0.0018366297740805171,0.8368631161480018,0.007778164831101858,0.004820956508970149,8.60924714716278,0.002690800972575878,0.0016677757214930652,1.9750518976138642,0.0011184027834782342,0.0006931932269036171,1.4164269753400927,0.0023107489087269167,0.0014322170118558155,2229551.465380341,15428.618712260537,9562.756951083315,504000.0,0.0,0.0,964800.0,0.0,0.0,1.4686666666666666,0.013535504295858683,0.00838939247936578,4.423713224960997,0.030612338714802886,0.018973724109292437,6.3279683703747365,0.03548582303819943,0.021994340987491746,6.139142633076335,0.24366851117533217,0.1510273079177434,0.13777334342197164,0.00813128679162052,0.0050398237676345025,0.7006115186745557,0.014061039720811486,0.008715122710421028,0.10573721403022718,0.007322741042840319,0.00453868192055052,0.0008175845219165562,0.0001313184738375563,8.139203333204637e-05
utility,0.9,10,48,1.7293407282633506,0.002458188573662899,0.00152360106295117,0.7771735782256555,0.008305254293574427,0.005147649942459233,8.62820179856784,0.003715818023551601,0.0023030878717251366,1.9737178551520098,0.0010853465910942465,0.0006727047865972192,1.4353629766916611,0.002693520884995318,0.0016694615406762604,2687012.664172168,28741.415354393175,17814.113796576323,504000.0,0.0,0.0,964800.0,0.0,0.0,1.6376666666666666,0.01633371125791044,0.010123739122832064,5.331374333674939,0.0570266177666525,0.03534546388209549,7.380129127595934,0.06610525531510386,0.040972461732125265,6.051157888502174,0.2838610120920533,0.17593887807777128,0.3234264761732478,0.019044854712872445,0.011804123245535123,0.5608770023826695,0.014370521637914316,0.008906941589946378,0.0408650734630445,0.0034711367301239965,0.002151432834863962,0.004158004227614301,0.0005643198967926562,0.0003497690957519246
random_adaptive,0.9,10,48,1.7542504294601984,0.012693073077432273,0.00786724820060316,0.8271524341336972,0.02814756636664312,0.017446042380631105,8.646803641571337,0.012961249861874361,0.008033465893668892,1.9678989765823993,0.002806755233478237,0.0017396449169882267,1.4255229997542482,0.007188362069285895,0.004455392969841287,976582.818122706,28994.39980871147,17970.915185875405,200884.8,2876.48229613881,1782.8621981701222,964800.0,0.0,0.0,1.6036666666666666,0.03769435232937239,0.02336320162399528,5.064004993061056,0.13404284030455457,0.08308061316251966,3.4461404816822245,0.0666871195600358,0.04133310492751307,6.178221847581272,0.2503243216117549,0.15515262196581278,0.09627091368381889,0.008729184708274357,0.005410404735714048,0.8858072402833518,0.019013272826479,0.011784548589548765,0.05401938004945846,0.005556504372229117,0.0034439570904059,0.00020367635811210737,0.0001467382103866065,9.094928506133607e-05
resource_adaptive,0.9,10,48,1.7285313777303593,0.005471949239014993,0.003391549275878045,0.7637549584632258,0.01834318708833853,0.01136922514616543,8.622760761548896,0.005460824883875427,0.003384654329128686,1.9709948270729019,0.003157962333276525,0.001957325332682019,1.440052848790301,0.004883113745497961,0.003026585255852071,916278.0424840136,21739.68930595073,13474.399030917044,184104.0,5443.963262183168,3374.203387728724,964800.0,0.0,0.0,1.6523333333333334,0.009819356042349212,0.006086099928992219,4.969106039173596,0.03718124073233568,0.02304517176126071,3.307439497713232,0.050001285403686604,0.030991117771109154,6.185426081655353,0.24545672651689357,0.15213565526927667,0.0902279909325568,0.004198262595275791,0.0026021101152459863,0.8186905933361522,0.0071570939010687975,0.004436012758395134,0.08426900260169481,0.00717427036298432,0.004446658839787187,0.00034134530189529637,5.3827469537867386e-05,3.3362611266906426e-05
utility_adaptive,0.9,10,48,1.7422436410667235,0.006724915350645244,0.004168145717654296,0.8002790391089342,0.016491048591771792,0.010221257812684185,8.636206241009898,0.012323097437668584,0.00763793492331864,1.9701185351150214,0.0031126487615577444,0.001929239689954466,1.431831086309479,0.004127248019480985,0.002558094825155866,1059632.114991197,34157.22542119832,21170.867653027017,211987.2,4254.146965021308,2636.7476064697585,964800.0,0.0,0.0,1.6283333333333334,0.035459940882739883,0.021978299061338427,5.2155356788011895,0.12875652631177253,0.07980412180429368,3.637153864479752,0.07856161846875646,0.04869299560196234,6.120985654769653,0.25993886344834166,0.16111177673488095,0.11272353029547218,0.009383471694550746,0.005815936011242029,0.5832136813946499,0.024080112160916295,0.014925008145199646,0.03246079567338465,0.005670864091583492,0.0035148379788104427,0.00472101432110658,0.0007126357558407036,0.00044169621758432387
proposed_fixed_comp,0.9,10,48,1.7369453872008584,0.00473641691947097,0.00293566162108257,0.8047926958212456,0.012874907714830514,0.007979950476494259,8.613985299877738,0.0015556065659534202,0.0009641749387390467,1.9745680508140482,0.0011368897418518,0.0007046515624155783,1.4266610483224311,0.003318090686620751,0.002056573914331857,2372897.127455671,15392.49253818806,9540.365716412833,504000.0,0.0,0.0,964800.0,0.0,0.0,1.447,0.011380077892506118,0.007053445353727836,4.708129221142206,0.030540659797990272,0.018929297056373483,6.657663393147996,0.035402732837831616,0.021942841147748943,6.046045427589061,0.2769322366015712,0.17164437853638004,0.14299646478547284,0.007662495944313347,0.00474926419018325,0.6751938314634304,0.012231891215853153,0.007581404721366443,0.028340987962540403,0.003639873263518507,0.0022560168217854743,0.002578842402664607,0.00034020263126369437,0.00021085977543203353
fedcg_adapted,0.9,10,48,1.7362216135351765,0.0036820550146745936,0.0022821613420176182,0.790275361635137,0.010517767920117037,0.006518980095609862,8.623550434542977,0.007943606723574437,0.004923498456292064,1.9733403138371455,0.0022699162907837047,0.0014069086930523255,1.4331987836950066,0.0028567748647926735,0.0017706474056726248,980180.3159216108,20875.637656745224,12938.854270324257,199910.4,3767.230494673773,2334.953651466341,964800.0,0.0,0.0,1.6780000000000002,0.015729189661499013,0.009749052755505513,5.043842808450513,0.047147230612270774,0.02922215628438216,3.4544147266197056,0.04801396661051402,0.029759364821745793,6.183349945173378,0.24550894647860377,0.15216802153686954,0.09641358996413837,0.0025550693173952126,0.001583648370025788,0.8190732935234601,0.008603017863684826,0.005332205715270564,0.09107708537710524,0.005279081171858842,0.0032720084093730054,0.0002709690327604842,4.597817020063697e-05,2.8497565134255177e-05
proposed,0.9,10,48,1.73480239243298,0.004876893507301142,0.003022729912275089,0.7789901095339365,0.009662131564350918,0.005988651187928713,8.635900925583364,0.012240224170210597,0.007586569539986361,1.9687413375656995,0.0017927403667142424,0.0011111519911799334,1.4374083749898563,0.0023649889559646336,0.0014658353414304121,992276.115288799,34405.88049321204,21324.98566337306,206467.2,6242.551273317665,3869.1733650773517,964800.0,0.0,0.0,1.546,0.022211108331943556,0.013766587570394232,4.953892320633824,0.07531050923351229,0.04667793722130791,3.482235065164236,0.07913352513438784,0.04904746702575813,6.1263046660491725,0.2544338683324356,0.15769974541230522,0.09694453452385955,0.0038236505480848323,0.002369923162865852,0.6626807861123158,0.011594179878764401,0.007186147139643717,0.011764398561541994,0.002027957881576078,0.001256941317315403,0.0037545870113881185,0.00030925703854984806,0.00019167949835417907
