seed,round,method,correlation,rmse_c,mae_c,worst_client_rmse_c,p90_client_rmse_c,client_rmse_sd_c,effective_bits,energy_j,utility_target_js,temperature_coverage_js,participation_jain,max_relay_energy_j,min_residual_energy_j
53,1,random,0.0,2.161957221017119,1.4517312929788482,8.782294152724909,2.732624175785622,1.361953467877565,65973.55284977917,0.1917391715544921,0.41952615606859134,0.009075309518025744,0.20833333333333334,0.016238634599693602,8.5333809836928
53,2,random,0.0,1.9815098636715838,1.1934972733617049,8.771689435750966,2.5535196927636044,1.3901694136575533,141616.07654664523,0.40571697605728413,0.2834951229657984,0.004496702814047317,0.3472222222222222,0.029992681017775146,8.525065405073
53,3,random,0.0,1.8606820652106109,0.9741475785370649,8.761324560042365,2.3600915249627015,1.4249762691439332,231888.7847843103,0.6533442050039138,0.24967316388121158,0.0011663556393379025,0.44642857142857145,0.04623131561746875,8.525065405073
53,4,random,0.0,1.7936080784331,0.8386637880158277,8.735558419768724,2.3081780288899068,1.4448503871394436,327578.3308352409,0.9134301609210543,0.22080012616610706,0.0005067935820537363,0.5208333333333334,0.04623131561746875,8.516749826453202
53,5,random,0.0,1.7941103696904686,0.824148782236114,8.741584265032664,2.300975339494063,1.4520516112760538,397241.26707379543,1.1136549142697298,0.2048460246643339,0.00046308136990235924,0.5314625850340136,0.06106471054923201,8.516749826453202
53,6,random,0.0,1.8122462150516307,0.8669197190456781,8.736985159446494,2.3075060573148507,1.4484811888334859,476828.60685180465,1.336705795759151,0.19022485697996405,0.0007030657323082328,0.5681818181818182,0.07678865784336297,8.508434247833403
53,7,random,0.0,1.8309030572075193,0.9065613821430962,8.73428608873881,2.3092457026905184,1.44295922914428,575352.9615329399,1.603311811525762,0.15583109047635837,0.00027738126500439933,0.6301440329218106,0.07678865784336297,8.508434247833403
53,8,random,0.0,1.8326154585051082,0.9168832898898682,8.724144346372926,2.3035552454473236,1.4392717158096717,661361.8640366944,1.8411322872843972,0.14372599490939564,0.00027367730592443786,0.6349206349206349,0.08775846610670054,8.508434247833403
53,9,random,0.0,1.841389716982029,0.9334223849753608,8.72545188135846,2.3112055543645273,1.437337051948048,737491.4899085648,2.056230426789699,0.143420280843185,0.0002665516815805345,0.6490384615384616,0.09872827437003812,8.500118669213604
53,10,random,0.0,1.8294396521460103,0.9195286727866849,8.723582372529071,2.2450658985124474,1.433311052686655,831239.8628816698,2.31185168462784,0.12871287097620068,0.0003047591675197125,0.6808278867102396,0.10969808263337569,8.491803090593805
53,11,random,0.0,1.8223337477422596,0.9093424086080298,8.713683736050292,2.25334063546967,1.434279110932968,909947.8319391467,2.5328800134600367,0.11788881047870416,0.00015127889568425005,0.7202380952380952,0.10969808263337569,8.491803090593805
53,12,random,0.0,1.8220570350122087,0.918107824774954,8.70258107313726,2.2431957890223497,1.4292471883621907,981013.4508036205,2.7363309368483266,0.10434592608303427,0.00016453423934247472,0.7425742574257426,0.10969808263337569,8.491803090593805
53,13,random,0.0,1.8005716977643569,0.8898427900655275,8.692386197476516,2.0697214542240117,1.4265460582100435,1050516.761459894,2.9361885513577564,0.09489228269723965,0.0002783139808127061,0.7555436337625179,0.10969808263337569,8.491803090593805
53,14,random,0.0,1.788315705547405,0.8737025675553034,8.684137053534801,1.9636860429244645,1.4255726248852838,1116511.3933413003,3.127976204684991,0.08795135503700006,0.0004165930959002487,0.7589838909541512,0.121291562441356,8.491803090593805
53,15,random,0.0,1.7807837503944337,0.8661146673798121,8.676132807611884,1.9649938818489976,1.4240033273245305,1209518.391532488,3.3818923005247217,0.0832848497691292,0.0003817563014675971,0.7735148514851485,0.13298239160117492,8.491803090593805
53,16,random,0.0,1.7806156252469494,0.8699570692770897,8.674594095652427,1.9659529385440673,1.4215426484546998,1300229.323790141,3.6305274447173246,0.0790555044657707,0.0003671573586405604,0.7820136852394917,0.15367505448983837,8.483487511974007
53,17,random,0.0,1.7766107319095747,0.8633459648798222,8.674040959757338,1.9664633894240138,1.4223234848922215,1386796.030015115,3.869630869034763,0.06679862307402111,0.00023566005953677368,0.8225182149362478,0.16351474687579093,8.483487511974007
53,18,random,0.0,1.769747263344561,0.8532481416927095,8.666507958901283,1.9679170160709303,1.4235267901594972,1470871.3437824736,4.103004090699686,0.06755056208134594,0.00022902563719583727,0.8251833740831296,0.17520557603560985,8.475171933354208
53,19,random,0.0,1.7695624583567062,0.8570245840787297,8.659309751909392,1.968214547230652,1.4216150810707278,1532898.2788436373,4.285666041340357,0.06663518093717108,0.00032915252430366644,0.8375092798812175,0.19404710215040694,8.475171933354208
53,20,random,0.0,1.761730960649093,0.8412859138022084,8.65328464329658,1.969324118348846,1.4249222408649833,1615049.8349077222,4.514614620287748,0.06601203352884966,0.00031170750105640507,0.8333333333333334,0.21473976503907038,8.471145246783145
53,21,random,0.0,1.7574412655405367,0.8328343965241005,8.65271605439236,1.9693670577795364,1.4259985966829316,1702539.436545984,4.755840704055746,0.06518153309558092,0.00025521181746138773,0.8413461538461539,0.21473976503907038,8.471145246783145
53,22,random,0.0,1.7548643412339162,0.8270967372401261,8.647848171752539,1.969364491011268,1.4275282319463967,1791935.9595721914,5.001452707016018,0.06759051960103624,0.00017712727927778158,0.8360972913211719,0.21473976503907038,8.466856354734409
53,23,random,0.0,1.749134831500604,0.8158204340007327,8.64489537664791,1.9706669624775677,1.4290414044354063,1882580.2774090082,5.249934638040692,0.06674311597385894,0.00017019414365126377,0.8451559304703476,0.21473976503907038,8.456159147670517
53,24,random,0.0,1.7504789729333965,0.8239648418421326,8.638392728524561,1.9715455980464465,1.4260012748992943,1955212.8311359014,5.456989511612542,0.06677501421170148,0.0001941478559739646,0.8426966292134831,0.21473976503907038,8.44117304855789
