variant,n,seed_role,rmse_c_mean,rmse_c_sd,rmse_c_ci95,mae_c_mean,mae_c_sd,mae_c_ci95,effective_bits_mean,effective_bits_sd,effective_bits_ci95,energy_j_mean,energy_j_sd,energy_j_ci95,max_relay_energy_j_mean,max_relay_energy_j_sd,max_relay_energy_j_ci95,participation_jain_mean,participation_jain_sd,participation_jain_ci95,utility_target_js_mean,utility_target_js_sd,utility_target_js_ci95,temperature_coverage_js_mean,temperature_coverage_js_sd,temperature_coverage_js_ci95
proposed,10,evaluation,1.73480239243298,0.004876893507301142,0.003022729912275089,0.7789901095339365,0.009662131564350918,0.005988651187928713,992276.115288799,34405.88049321204,21324.98566337306,3.482235065164236,0.07913352513438784,0.04904746702575813,0.09694453452385955,0.0038236505480848323,0.002369923162865852,0.6626807861123158,0.011594179878764401,0.007186147139643717,0.011764398561541994,0.002027957881576078,0.001256941317315403,0.0037545870113881185,0.00030925703854984806,0.00019167949835417907
proposed_no_rep,10,evaluation,1.735319322908861,0.008104946842495808,0.00502349809802784,0.7877983038003217,0.021820369819962427,0.013524405331582782,1022969.9988051135,37780.17280506658,23416.393705917544,3.552830997251759,0.08689439745165366,0.053857705523610674,0.09900171749625646,0.006022786511401738,0.003732961754445956,0.5947193677130216,0.014825271729971298,0.009188798617132354,0.031808384450538234,0.004434090083580373,0.0027482775068381495,0.0046547890918337675,0.0005191502929630354,0.00032177268524654766
proposed_fixed_comp,10,evaluation,1.7369453872008584,0.00473641691947097,0.00293566162108257,0.8047926958212456,0.012874907714830514,0.007979950476494259,2372897.127455671,15392.49253818806,9540.365716412833,6.657663393147996,0.035402732837831616,0.021942841147748943,0.14299646478547284,0.007662495944313347,0.00474926419018325,0.6751938314634304,0.012231891215853153,0.007581404721366443,0.028340987962540403,0.003639873263518507,0.0022560168217854743,0.002578842402664607,0.00034020263126369437,0.00021085977543203353
proposed_age_only,10,evaluation,1.7356158438685294,0.007455315740408848,0.004620852569417729,0.7843375946681654,0.015796673350460255,0.009790879579262978,990789.9240425702,32076.046261698528,19880.939445899756,3.4788168252979097,0.07377490640190668,0.04572616072556947,0.09726876189884215,0.005975634922647308,0.003703736896957078,0.6649806912472085,0.014143351011568446,0.008766139776985338,0.01149907106665625,0.0022675787278946258,0.0014054598565632645,0.0036522929665080256,0.0003701041837281823,0.0002293929496591429
proposed_no_relay,10,evaluation,1.735865603807738,0.006691777175283823,0.00414760646377204,0.7839006257696879,0.01879442319419245,0.011648904182138063,1044047.6942116745,45838.786812886094,28411.174415491674,3.6013096966868487,0.10542920966963774,0.06534570115563068,0.10623892503000713,0.005944184725587414,0.0036842438628652803,0.6661976394245863,0.026319473095387992,0.016312978432201836,0.011152762964862306,0.0021017843646213576,0.001302699445575729,0.0035894676913313757,0.0005242207352948674,0.00032491537796312006
