method,seed,correlation,clients,rmse_c,mae_c,worst_client_rmse_c,p90_client_rmse_c,client_rmse_sd_c,effective_bits,compressed_bits,raw_selected_bits,mean_selected_hops,mean_selected_etx,energy_j,min_residual_energy_j,max_relay_energy_j,participation_jain,utility_target_js,temperature_coverage_js
proposed,59,0.0,48,1.739905952070156,0.7923980755437815,8.638848541785217,1.9695034176709456,1.4347613657164293,988954.436649514,206496.0,964800.0,1.5433333333333332,4.969194664732532,3.4745952042938812,8.473012875105239,0.096283888384038,0.6028938906752411,0.014338533804014904,0.005067283401493262
proposed,61,0.0,48,1.733340717885989,0.7797164961657542,8.632351092232375,1.9698923781291762,1.4367903506855308,1029051.8513612669,208368.0,964800.0,1.5633333333333332,5.07390014927503,3.5668192581309106,8.48754247791773,0.10267552515557155,0.6036703155183516,0.017000030491720476,0.004620742717839425
proposed,67,0.0,48,1.7323588803884158,0.7684455505861892,8.650625626139098,1.966492165287479,1.440621755301187,1030360.1442523551,210864.0,964800.0,1.5833333333333333,5.063084843512048,3.569828331780414,8.454923357777396,0.09719356616040957,0.6574333800841514,0.013397050688600264,0.00377603741895122
proposed,71,0.0,48,1.7317324059101264,0.7739337607581024,8.629832494393648,1.9716974770071065,1.438635423185031,1072700.7612867546,217344.0,964800.0,1.58,5.1415738824552815,3.6672117509595332,8.481555573934973,0.09655889069508396,0.6334459459459459,0.01943468919203728,0.004372736718350848
proposed,73,0.0,48,1.7349819038925112,0.7813759971831816,8.639427439732048,1.9706129632721663,1.4371302168343842,969294.6958977138,202320.0,964800.0,1.5366666666666666,4.92297467178703,3.4293778005647386,8.49991742696214,0.0962716248697898,0.6275100401606426,0.014564921089556305,0.004183213565836054
proposed,79,0.0,48,1.7376605930530769,0.7861196131889815,8.642383801925094,1.9667033979232815,1.4364592557784128,1043709.4652731541,211344.0,964800.0,1.5933333333333333,5.101942668966974,3.600531770128253,8.477792179310377,0.09937023137678469,0.6001920614596671,0.018104611219221925,0.004659795556414877
proposed,83,0.0,48,1.7475890773324123,0.8031682574598016,8.64704069829442,1.966400160505686,1.435241149038971,1041071.1292421487,215280.0,964800.0,1.5666666666666667,5.03005118141905,3.594463597256938,8.444119365004413,0.09888531767505751,0.6044487427466151,0.01772177127101288,0.005137881425316957
proposed,89,0.0,48,1.7423435155452371,0.7998462017110548,8.651449511302937,1.9686559037534455,1.4320710693760677,995758.3225114462,206976.0,964800.0,1.5366666666666666,4.939973187219033,3.490244141776324,8.50070062482511,0.0987232923972109,0.6425633995887594,0.012089706945084273,0.003667658963586601
proposed,97,0.0,48,1.7344345508702066,0.7762743407813064,8.64535160773705,1.9712203074765549,1.440167124838992,1031966.7880879045,211152.0,964800.0,1.5666666666666667,5.046908880634325,3.5735236126021777,8.430172266361275,0.0962716248697898,0.6196298744216788,0.01681813645129006,0.004714592174624629
random,53,0.5,48,1.7467687645488006,0.8362146574770409,8.61853214193584,1.9754073724220718,1.4165578458427326,2513892.42033179,504000.0,964800.0,1.5966666666666667,4.987881786372601,6.9819525667630495,7.375296736569408,0.2352570084680835,0.872093023255814,0.05509755748717512,0.00019212944987899807
random,59,0.5,48,1.7497532398644262,0.8301951806851623,8.62684859205832,1.9707494803341694,1.4220149462163418,2563624.3571846876,504000.0,964800.0,1.6566666666666667,5.086556264255336,7.096336021524723,7.087865237168928,0.23208883234635888,0.872093023255814,0.05527323614970954,0.0002729925228538651
random,61,0.5,48,1.741105148556599,0.807377585939651,8.634145079662623,1.970698244863972,1.4271827820179868,2581185.626401615,504000.0,964800.0,1.6433333333333333,5.121400052384159,7.13672694072366,7.269514496430559,0.26089839261855813,0.922736220472441,0.0623526096314515,0.0001312683433749338
