dataset,relay_pressure_weight,compression_distortion_weight,n,rmse_c_mean,rmse_c_sd,rmse_c_ci95,effective_bits_mean,effective_bits_sd,effective_bits_ci95,energy_j_mean,energy_j_sd,energy_j_ci95,max_relay_energy_j_mean,max_relay_energy_j_sd,max_relay_energy_j_ci95,representation_js_mean,representation_js_sd,representation_js_ci95,participation_jain_mean,participation_jain_sd,participation_jain_ci95,accuracy_mean,accuracy_sd,accuracy_ci95,macro_f1_mean,macro_f1_sd,macro_f1_ci95
Intel,2.0,0.1,10,1.7410115186108228,0.0071249844987824355,0.004416111144670955,988333.8279030647,30035.408106819246,18616.138813766007,3.4731678041770473,0.0690814386456843,0.04281711927166184,0.09987888114119148,0.006420986585221838,0.003979768717198821,0.021819911799808404,0.003070074275324305,0.0019028517499994724,0.6557853165229751,0.020221739122236522,0.012533563759696291,,,,,,
Intel,2.0,0.2,10,1.7402835446988718,0.009850185212583034,0.006105208046669359,1200692.908947902,31302.74186074355,19401.64041249639,3.9615936905801723,0.07199630627970939,0.04462377294874121,0.10792049872834683,0.0055054073215743135,0.0034122868102958092,0.02346706001381665,0.0029686897923231156,0.0018400129964057255,0.6641060978979805,0.02230312190395959,0.013823618173185078,,,,,,
Intel,3.0,0.1,10,1.7417307659976191,0.008372250846620173,0.005189174836248183,982635.8705102557,30316.097132612278,18790.111674367075,3.4600625021735874,0.06972702340500828,0.04321725685104429,0.09756673513200116,0.0038927594794908585,0.0024127573223269153,0.023140083726042926,0.003753083265932747,0.0023261851082477373,0.6604515854033168,0.020392793537189615,0.012639584384491842,,,,,,
Intel,3.0,0.2,10,1.7374694460169124,0.005806141222272662,0.0035986836130792108,1200212.802292707,47046.76366190739,29159.886223409158,3.960489445273223,0.10820755642238626,0.06706773831384061,0.1079633220192862,0.004092657956758237,0.0025366556821639196,0.025821388632446873,0.0028342818639520914,0.001756706099315234,0.6566304366330631,0.020540909051928354,0.012731387331634841,,,,,,
UCI HAR,2.0,0.1,10,,,,11747598.587365547,1202688.0891943255,745433.8006155229,20.24111686673359,2.644008377005556,1.6387733702849339,1.4657075485182762,0.5681233111865489,0.35212647641647793,0.027996091209916352,0.01201049977254509,0.00744418488316264,0.8326967023371614,0.023720559748806515,0.01470215525134666,0.9036644165863066,0.004281311196598518,0.00265358417163352,0.9035018052817028,0.004559545314550169,0.002826035464590571
UCI HAR,2.0,0.2,10,,,,12264573.752838857,1101477.2433060529,682702.6684193539,21.008689762374512,2.4818854005409747,1.5382885084168398,1.4505869250070207,0.5579819668854514,0.3458408060971004,0.027829653532217613,0.010419013345241441,0.006457771375960031,0.8360179004936992,0.028999106345247924,0.01797383232744322,0.905062680810029,0.002674431452437413,0.0016576297877961225,0.9050305130177284,0.0026421015446826766,0.0016375915033666935
UCI HAR,3.0,0.1,10,,,,11638511.96515354,1150291.520949376,712958.0711583466,20.030055811286125,2.540451149033972,1.5745879354064867,1.415180482055437,0.5544876785820896,0.34367502376847825,0.032732129204276,0.012556971828093061,0.007782891772303106,0.831783001855085,0.02798030886946465,0.017342375109853765,0.9061234329797493,0.0035653048975210237,0.0022097988697074504,0.9059549010194374,0.003810072723706689,0.002361507540127732
UCI HAR,3.0,0.2,10,,,,12114998.15779969,1024007.0195517172,634686.126269664,20.74675274890783,2.3532195842839814,1.458540609286983,1.4211244910539529,0.5574967809307054,0.3455400847267791,0.030800682995919614,0.012307696382627001,0.007628389250507641,0.8241597825632487,0.032082778772876096,0.019885112299559714,0.9016393442622951,0.005745600428067971,0.0035611600400749116,0.9013626060187672,0.006065400992985094,0.0037593744837756534
