dataset,relay_pressure_weight,compression_distortion_weight,n,seed_role,rmse_c_mean,rmse_c_sd,rmse_c_ci95,effective_bits_mean,effective_bits_sd,effective_bits_ci95,energy_j_mean,energy_j_sd,energy_j_ci95,max_relay_energy_j_mean,max_relay_energy_j_sd,max_relay_energy_j_ci95,utility_target_js_mean,utility_target_js_sd,utility_target_js_ci95,temperature_coverage_js_mean,temperature_coverage_js_sd,temperature_coverage_js_ci95,participation_jain_mean,participation_jain_sd,participation_jain_ci95,accuracy_mean,accuracy_sd,accuracy_ci95,macro_f1_mean,macro_f1_sd,macro_f1_ci95,class_coverage_js_mean,class_coverage_js_sd,class_coverage_js_ci95
Intel,1.0,0.1,10,tuning,1.7426596081387795,0.00845395898304672,0.005239818063885412,992796.2802314343,35425.262035972584,21956.80488942555,3.4834314445322967,0.08147810268273717,0.0505006512456789,0.10036562929791444,0.005066420871981003,0.0031402001899333595,0.011295969493227153,0.0018412079959957816,0.0011411925390383266,0.003735920197522627,0.0004084182635644938,0.0002531402623714529,0.6611696861851686,0.013826638291969204,0.008569839199640886,,,,,,,,,
Intel,1.0,0.2,10,tuning,1.7373993975843647,0.006447376563435919,0.00399612539515633,1209965.8137592715,33411.13967366075,20708.43891579343,3.9829213716463228,0.07684562124941889,0.047629409506324376,0.11192019168003715,0.005850795697654256,0.003626360743664659,0.01154608161106887,0.0017555584317952824,0.0010881063891573452,0.003721613939071642,0.0004467860862190766,0.00027692088522763127,0.6637646449503175,0.016919475653738685,0.010486799656789801,,,,,,,,,
Intel,1.0,0.4,10,tuning,1.7351933651919236,0.005013826925775963,0.0031076021243490776,1837763.0698185586,74895.66786415571,46420.81587672123,5.426855060582644,0.17226003608755455,0.10676787651645663,0.12910428435351134,0.006754538098106799,0.004186506086750271,0.01192107998008679,0.0021285939844959225,0.0013193162201290895,0.0035869921405113268,0.0005080239207239545,0.0003148764882859565,0.6692372316182035,0.019310773386311274,0.011968941346900821,,,,,,,,,
Intel,2.0,0.1,10,tuning,1.7410115186108228,0.0071249844987824355,0.004416111144670955,988333.8279030647,30035.408106819246,18616.138813766007,3.4731678041770473,0.0690814386456843,0.04281711927166184,0.09987888114119148,0.006420986585221838,0.003979768717198821,0.011651123299174542,0.0016539537734363533,0.0010251311694630387,0.003966409504071166,0.00041280137656658945,0.00025585694395584296,0.6557853165229751,0.020221739122236522,0.012533563759696291,,,,,,,,,
Intel,2.0,0.2,10,tuning,1.7402835446988718,0.009850185212583034,0.006105208046669359,1200692.908947902,31302.74186074355,19401.64041249639,3.9615936905801723,0.07199630627970939,0.04462377294874121,0.10792049872834683,0.0055054073215743135,0.0034122868102958092,0.012081205443053276,0.0016464070456498178,0.001020453659120439,0.003852830014288537,0.00043124834144006184,0.0002672904912396323,0.6641060978979805,0.02230312190395959,0.013823618173185078,,,,,,,,,
Intel,2.0,0.4,10,tuning,1.7345185627078528,0.004461684608791299,0.002765380770759172,1830970.4672684155,70957.66025054891,43980.013470313206,5.4112320747173195,0.1632026185762605,0.10115403098171914,0.12293927409913666,0.0046545355148846085,0.002884911000727265,0.012884808757193295,0.002142702637427741,0.001328060853813436,0.003756148408654974,0.0004255768710116569,0.0002637752774493664,0.6686773597975475,0.02637763171882741,0.016349025520468966,,,,,,,,,
Intel,3.0,0.1,10,tuning,1.7417307659976191,0.008372250846620173,0.005189174836248183,982635.8705102557,30316.097132612278,18790.111674367075,3.4600625021735874,0.06972702340500828,0.04321725685104429,0.09756673513200116,0.0038927594794908585,0.0024127573223269153,0.011616201442005281,0.002366709767487801,0.0014669019114624787,0.0038013862280113888,0.0003505146965295795,0.00021725125970165288,0.6604515854033168,0.020392793537189615,0.012639584384491842,,,,,,,,,
Intel,3.0,0.2,10,tuning,1.7374694460169124,0.005806141222272662,0.0035986836130792108,1200212.802292707,47046.76366190739,29159.886223409158,3.960489445273223,0.10820755642238626,0.06706773831384061,0.1079633220192862,0.004092657956758237,0.0025366556821639196,0.012081779357612833,0.002083645560804033,0.001291456898493363,0.0038305085085020363,0.0003915652040129183,0.00024269462784126772,0.6566304366330631,0.020540909051928354,0.012731387331634841,,,,,,,,,
Intel,3.0,0.4,10,tuning,1.7351611725098106,0.0058687940303467695,0.003637516225841846,1834087.652535215,77354.80748499393,47945.00640481872,5.4184016008309595,0.1779160572154839,0.11027351473108173,0.12147498586918015,0.006560502492787995,0.004066241572594798,0.012856879766050853,0.0025498777888957294,0.0015804306273249633,0.0035756090580579903,0.0006083108618331003,0.0003770349783672669,0.6728719123178716,0.02343540886458217,0.014525416902238518,,,,,,,,,
Intel,5.0,0.1,10,tuning,1.7422909074633275,0.005904566967295504,0.0036596885218747586,988116.7291492224,29347.526171659112,18189.78517319351,3.47266847704321,0.06749931019481578,0.04183650589834497,0.09812895465875017,0.004236047029254741,0.0026255291500548394,0.011409179688271744,0.0018082983087218327,0.0011207949035398975,0.003745007589883264,0.0003682643276447531,0.0002282525950441945,0.6667182227440067,0.018306637042139137,0.011346571192828834,,,,,,,,,
Intel,5.0,0.2,10,tuning,1.739248946802999,0.006868743356974905,0.004257291239553573,1215449.912796928,28258.421643924088,17514.75119333515,3.995534799432933,0.06499436978102453,0.0402839277446703,0.1064972747542043,0.0040368018419300955,0.0025020357035193726,0.012410432298779667,0.0028222033713287105,0.0017492197720265143,0.003986967386100304,0.0004457710178124542,0.0002762917393110535,0.6559967706056775,0.025934830962279682,0.016074574768163003,,,,,,,,,
Intel,5.0,0.4,10,tuning,1.7353464322809509,0.005564568505468915,0.003448955291970895,1868515.4634323516,70325.18346388226,43588.000296555205,5.49758556589437,0.1617479219669265,0.1002524006820753,0.12162913331042761,0.004499346344568583,0.00278872375643474,0.01186593982424076,0.001661612864264884,0.0010298783231405943,0.003340483947352379,0.00040704231162843463,0.0002522874385259553,0.6876061003314853,0.022103006848897565,0.01369958557704022,,,,,,,,,
UCI HAR,1.0,0.1,10,tuning,,,,11832354.892283926,1224859.7449974108,759175.9352551905,20.42272074928827,2.701673082208424,1.6745143248574057,1.4701467841493299,0.520794947068559,0.3227920524221216,0.0209872853289654,0.005412961916028251,0.0033549885543100793,,,,0.8271540895135491,0.026461502638343952,0.016401009254953452,0.8858690300344658,0.004052204001184591,0.002511582060728626,0.881684410448867,0.0039603590823296415,0.0024546559902500096,6.90363571407542e-05,3.412107818468182e-05,2.1148463363718476e-05
UCI HAR,1.0,0.2,10,tuning,,,,12458401.235388096,1045569.0899334446,648050.4359507866,21.356444665084236,2.4166445794751756,1.4978518285833056,1.4345025339676976,0.4931782466989386,0.3056750441953444,0.01948904512993095,0.0028018870314143285,0.0017366275740883774,,,,0.8285420601231284,0.016232701938724944,0.010061132898180359,0.8857213195470213,0.0034539946617564003,0.002140808070813768,0.8818359677398068,0.0033054195499767278,0.0020487202624735437,6.989645240415122e-05,2.9705479878222694e-05,1.8411647179083047e-05
UCI HAR,1.0,0.4,10,tuning,,,,15089469.335896183,1064885.1460097856,660022.6515428899,25.310219247936736,2.2013997998895256,1.3644417320247981,1.474233028669275,0.466227845037458,0.28897101218643806,0.017422544388740066,0.004180695780658842,0.002591222090742981,,,,0.8422082804589028,0.018218864043045145,0.011292168924365457,0.8772525849335302,0.013420084666202925,0.008317854651750339,0.8725505036973777,0.016110588285910703,0.009985446072026337,6.938879864030716e-05,3.256846369520987e-05,2.0186142933195945e-05
UCI HAR,2.0,0.1,10,tuning,,,,11765257.845367163,1180410.9797386837,731626.3051248413,20.281708074474487,2.5961257064518652,1.6090953836023105,1.44013461917054,0.5479376200471611,0.3396152554280295,0.022806629654579212,0.005090211083126986,0.0031549455155679357,,,,0.8236420064328168,0.027512271243322388,0.017052282383717254,0.8835548990645001,0.003436794943602842,0.0021301475750560425,0.8794153008315954,0.0033683684554045865,0.0020877363982773913,7.30657270740988e-05,3.5863106994974646e-05,2.2228184006589582e-05
UCI HAR,2.0,0.2,10,tuning,,,,12311455.353140784,1022781.3101143262,633926.423689607,21.08927888236493,2.355038345854926,1.4596678893876374,1.379072771772123,0.49330834081609026,0.30575567736454046,0.021716558928686396,0.004477561983887494,0.0027752216697986593,,,,0.8240444769689986,0.021311789508273338,0.013209183988603828,0.8809453471196456,0.006989394846568085,0.004332071807554057,0.8759792278464127,0.008795924084159221,0.0054517702294472475,6.51148011460019e-05,2.3732413678398942e-05,1.4709502393026788e-05
UCI HAR,2.0,0.4,10,tuning,,,,14976906.278391868,926488.156098558,574243.3084944485,25.088419753125116,1.9082238737266923,1.1827294103912336,1.445401719353351,0.48170389356274357,0.29856316644019976,0.01768542808399386,0.00313278718482121,0.0019417216140098924,,,,0.8269045891071315,0.01623130963320174,0.010060269938276535,0.8714426390940423,0.013783283373030343,0.008542967542483607,0.8649797123393205,0.016148639243684034,0.0100090302999944,5.217747031161776e-05,2.185693010894966e-05,1.3547065633465054e-05
UCI HAR,3.0,0.1,10,tuning,,,,11705209.411149431,1179873.9235144039,731293.4342283836,20.145459988310485,2.576811008647516,1.5971240098759096,1.3812609898348334,0.5019622154550232,0.3111194044356811,0.025774584930469864,0.006291476727283847,0.003899497675615159,,,,0.8245366707452915,0.020868112466823935,0.01293419010928884,0.8836533727227966,0.005373861508277085,0.0033307538705068217,0.8796155892079127,0.005520567987633057,0.003421683488471613,6.765062891974123e-05,4.206465573439404e-05,2.6071943737863402e-05
UCI HAR,3.0,0.2,10,tuning,,,,12200025.885604914,983218.1897694779,609404.947649526,20.85949518543655,2.2656782269060205,1.4042819138466633,1.3253808365046713,0.4705266362569967,0.291635430588536,0.02459072905940879,0.005609875910515743,0.0034770371125555735,,,,0.8212879428811835,0.023129345363746993,0.014335716779066853,0.8842934515017233,0.004879720580114412,0.003024482150158499,0.8798701494673169,0.006413844398257896,0.003975341943855781,7.424515094783002e-05,3.9182990954619704e-05,2.428586940305722e-05
UCI HAR,3.0,0.4,10,tuning,,,,14635863.970865617,908315.936361573,562980.0500105006,24.484385563638874,1.739746003980242,1.0783057448597697,1.3231366371788025,0.4413889224507705,0.2735756884667255,0.02179986601711198,0.003362129584249096,0.0020838695058729745,,,,0.8261221255213227,0.01999487108265035,0.012392949491951938,0.8842934515017232,0.004026864975015712,0.00249587676959731,0.8805465294849567,0.004108736005065388,0.002546620959748159,5.988772610434965e-05,1.941787061354778e-05,1.2035320896055392e-05
UCI HAR,5.0,0.1,10,tuning,,,,11519735.158739168,1084476.8088367356,672165.6899688,19.737632312193973,2.3759035691943464,1.4726002887972092,1.2464634869761322,0.44698613242914303,0.27704487515320575,0.030437758592222232,0.00761188786743573,0.004717896979160152,,,,0.8124471879858832,0.02199667186440515,0.013633678470833095,0.8855736090595766,0.005339415740709393,0.003309404162578556,0.8814046004471943,0.0050575491151369865,0.003134701418072401,7.422505613027179e-05,3.068697324185534e-05,1.901998306841718e-05
UCI HAR,5.0,0.2,10,tuning,,,,12052996.306929417,901564.6991612589,558795.5898413985,20.536177084309138,2.100393370385161,1.3018372984160136,1.263366940987726,0.46383620849553087,0.2874886605001135,0.028516946034382196,0.00596630102642609,0.0036979516881425513,,,,0.8137952055401341,0.023062928912164455,0.014294551435889858,0.8847365829640571,0.005659023343454317,0.003507499007085883,0.8808517329437373,0.004581379513983676,0.0028395684416054343,7.424237623017281e-05,3.0950509373699165e-05,1.9183324455203053e-05
UCI HAR,5.0,0.4,10,tuning,,,,14254223.157112379,1080901.0353649377,669949.402609533,23.822039634899088,1.837894494851362,1.1391388097517223,1.260085746120843,0.390426710140992,0.24198898202873126,0.026724996454084382,0.007585083007807282,0.0047012831550379015,,,,0.8149550633804242,0.02255364144910422,0.013978891795950172,0.8805022156573117,0.0066547682595985485,0.004124668100181515,0.8752167517519884,0.0074992634946854245,0.004648091669724153,6.832140984327728e-05,3.4041744776390816e-05,2.1099292007828724e-05
