dataset,metric,proposed_mean,resource_mean,difference,percent_change,bootstrap95_low,bootstrap95_high,signflip_p,holm_p,paired_cohen_d
intel_lab,rmse_c,1.7417307659976191,1.7450666134344683,-0.0033358474368492042,-0.1911587449538054,-0.007752134675778732,0.0016912522844329426,0.224609375,0.224609375,-0.40977418053545456
intel_lab,mae_c,0.7968487882728494,0.82967070193985,-0.03282191366700064,-3.9560169583257365,-0.044765370389127715,-0.021276835612434864,0.001953125,0.01171875,-1.6307061511010015
intel_lab,effective_bits,982635.8705102557,2216534.0864508934,-1233898.2159406375,-55.66791070271115,-1253595.5099474022,-1214227.7805234692,0.001953125,0.01171875,-37.01882043605418
intel_lab,energy_j,3.4600625021735874,6.298028398837009,-2.837965896663422,-45.06117973662169,-2.8832696728789813,-2.7927238952039333,0.001953125,0.01171875,-37.018820436053204
intel_lab,max_relay_energy_j,0.09756673513200116,0.13926647618962557,-0.04169974105762442,-29.942411266905292,-0.04725939349183825,-0.035966839483016336,0.001953125,0.01171875,-4.32567774068352
intel_lab,representation_js,0.023140083726042926,0.12313266248141122,-0.09999257875536828,-81.20719290908187,-0.10753652123635242,-0.09332072439582408,0.001953125,0.01171875,-8.03285248800724
uci_har,accuracy,0.9061234329797493,0.8753616200578593,0.030761812921890064,3.5141834205453035,0.01523625843780133,0.0508678881388621,0.001953125,0.015625,0.9980995494640006
uci_har,macro_f1,0.9059549010194374,0.8724017636406425,0.033553137378795096,3.8460648266887527,0.015555911454972681,0.05656528546837354,0.001953125,0.015625,0.9437164546248492
uci_har,worst_client_accuracy,0.716923076923077,0.6813768105717258,0.03554626635135112,5.2168294840449825,0.015704295704295712,0.058826597131681924,0.015625,0.015625,0.9730968103795262
uci_har,effective_bits,11638511.96515354,29651088.824328907,-18012576.85917537,-60.7484499671929,-19036678.60355229,-17053057.774080526,0.001953125,0.015625,-10.783518723002969
uci_har,energy_j,20.030055811286125,45.92159163284516,-25.891535821559028,-56.38205232207207,-27.52660341556642,-24.29472793372893,0.001953125,0.015625,-9.547182167879672
uci_har,max_relay_energy_j,1.415180482055437,0.4575705201514766,0.9576099619039604,209.28139373728624,0.6469935109559051,1.2256092139396422,0.001953125,0.015625,1.9502122775800417
uci_har,representation_js,0.032732129204276,0.16341510537785914,-0.1306829761735831,-79.96994884371878,-0.15755505317081572,-0.10545516103784958,0.001953125,0.015625,-2.9094640085267267
