dataset,baseline,metric,n,seed_role,mean_proposed,mean_baseline,mean_diff,percent_change_vs_baseline,bootstrap95_low,bootstrap95_high,signflip_p,cohen_d_paired,cliffs_delta_unpaired,holm_p
intel_lab,resource,rmse_c,10,held-out evaluation,1.73480239243298,1.7472733202971837,-0.012470927864203629,-0.7137365241794295,-0.015576033168079473,-0.008427702888620537,0.00390625,-1.9637328763266368,-0.96,0.013671875
intel_lab,resource,mae_c,10,held-out evaluation,0.7789901095339365,0.8368631161480018,-0.05787300661406526,-6.915468670724668,-0.06485580728389803,-0.05051854423349091,0.001953125,-4.644450280095595,-1.0,0.013671875
intel_lab,resource,effective_bits,10,held-out evaluation,992276.115288799,2229551.465380341,-1237275.3500915417,-55.49436150290767,-1260671.784503201,-1213445.6133822156,0.001953125,-30.3040102898892,-1.0,0.013671875
intel_lab,resource,energy_j,10,held-out evaluation,3.482235065164236,6.3279683703747365,-2.8457333052105005,-44.97072581040696,-2.899545104357317,-2.7909249107790512,0.001953125,-30.304010289888662,-1.0,0.013671875
intel_lab,resource,max_relay_energy_j,10,held-out evaluation,0.09694453452385955,0.13777334342197164,-0.04082880889811211,-29.63476670016042,-0.04594428584020925,-0.036059191587960594,0.001953125,-4.766132970389343,-1.0,0.013671875
intel_lab,resource,utility_target_js,10,held-out evaluation,0.011764398561541994,0.10573721403022718,-0.09397281546868518,-88.87392800213281,-0.0979535095579202,-0.09017528494926035,0.001953125,-14.11345189828227,-1.0,0.013671875
intel_lab,resource,temperature_coverage_js,10,held-out evaluation,0.0037545870113881185,0.0008175845219165562,0.0029370024894715624,359.22921859953175,0.0027293594936397066,0.0031463882151027515,0.001953125,8.370876282329622,1.0,0.013671875
intel_lab,resource_adaptive,rmse_c,10,held-out evaluation,1.73480239243298,1.7285313777303593,0.0062710147026206805,0.3627943804442133,0.0030644720668958846,0.010139115327542147,0.00390625,1.044205637600167,0.56,0.013671875
intel_lab,resource_adaptive,mae_c,10,held-out evaluation,0.7789901095339365,0.7637549584632258,0.015235151070710783,1.9947695136887735,0.004887262157669592,0.0255583309269116,0.02734375,0.871372103802265,0.5,0.02734375
intel_lab,resource_adaptive,effective_bits,10,held-out evaluation,992276.115288799,916278.0424840136,75998.07280478558,8.29421521427668,52414.44355021836,100211.76707188807,0.001953125,1.8410194562080933,0.94,0.013671875
intel_lab,resource_adaptive,energy_j,10,held-out evaluation,3.482235065164236,3.307439497713232,0.17479556745100386,5.284921086896911,0.12055322016549938,0.23048706426533966,0.001953125,1.8410194562080628,0.94,0.013671875
intel_lab,resource_adaptive,max_relay_energy_j,10,held-out evaluation,0.09694453452385955,0.0902279909325568,0.006716543591302741,7.443968907966921,0.004070726119836869,0.009084117002701212,0.0078125,1.5570314235092804,0.78,0.015625
intel_lab,resource_adaptive,utility_target_js,10,held-out evaluation,0.011764398561541994,0.08426900260169481,-0.07250460404015283,-86.0394709818182,-0.07713531115437007,-0.068084153144352,0.001953125,-9.395161987965247,-1.0,0.013671875
intel_lab,resource_adaptive,temperature_coverage_js,10,held-out evaluation,0.0037545870113881185,0.00034134530189529637,0.003413241709492822,999.9380951022415,0.0032532867588193045,0.0035820105301563217,0.001953125,12.252315937368307,1.0,0.013671875
intel_lab,fedcg_adapted,rmse_c,10,held-out evaluation,1.73480239243298,1.7362216135351765,-0.001419221102196433,-0.08174193266185135,-0.0051697919276859185,0.0024031915833568228,0.5,-0.2170597785097112,-0.2,1.0
intel_lab,fedcg_adapted,mae_c,10,held-out evaluation,0.7789901095339365,0.790275361635137,-0.011285252101200516,-1.4280151766152132,-0.019699556866601287,-0.0028844919548996818,0.041015625,-0.777862186028802,-0.6,0.205078125
intel_lab,fedcg_adapted,effective_bits,10,held-out evaluation,992276.115288799,980180.3159216108,12095.799367188312,1.2340381836596346,-14435.800291129655,41309.884812155025,0.451171875,0.24837930712523149,0.2,1.0
intel_lab,fedcg_adapted,energy_j,10,held-out evaluation,3.482235065164236,3.4544147266197056,0.027820338544530365,0.8053560659681929,-0.03320234066960146,0.09501273506795371,0.451171875,0.24837930712520703,0.2,1.0
intel_lab,fedcg_adapted,max_relay_energy_j,10,held-out evaluation,0.09694453452385955,0.09641358996413837,0.0005309445597211721,0.5506947308140483,-0.0020949160879538548,0.0031590827786101227,0.70703125,0.12076806558469519,0.02,1.0
intel_lab,fedcg_adapted,utility_target_js,10,held-out evaluation,0.011764398561541994,0.09107708537710524,-0.07931268681556325,-87.08303135433965,-0.0822946842577561,-0.07641178063120319,0.001953125,-15.637191658477006,-1.0,0.013671875
intel_lab,fedcg_adapted,temperature_coverage_js,10,held-out evaluation,0.0037545870113881185,0.0002709690327604842,0.0034836179786276343,1285.6147963250417,0.0033093999952466813,0.0036678205470660414,0.001953125,11.329475590581453,1.0,0.013671875
intel_lab,proposed_fixed_comp,rmse_c,10,held-out evaluation,1.73480239243298,1.7369453872008584,-0.002142994767878581,-0.12337721057148975,-0.004801508246881548,0.00038788447191349105,0.162109375,-0.48735706134256457,-0.3,0.162109375
intel_lab,proposed_fixed_comp,mae_c,10,held-out evaluation,0.7789901095339365,0.8047926958212456,-0.025802586287308926,-3.206115863288103,-0.03301145242863881,-0.019771837557506555,0.001953125,-2.269855608064897,-0.9,0.013671875
intel_lab,proposed_fixed_comp,effective_bits,10,held-out evaluation,992276.115288799,2372897.127455671,-1380621.0121668717,-58.18292736724061,-1400858.456700041,-1360643.172968453,0.001953125,-39.639117831705306,-1.0,0.013671875
intel_lab,proposed_fixed_comp,energy_j,10,held-out evaluation,3.482235065164236,6.657663393147996,-3.1754283279837594,-47.69583772066157,-3.2219744504100505,-3.1294792978273973,0.001953125,-39.63911783170482,-1.0,0.013671875
intel_lab,proposed_fixed_comp,max_relay_energy_j,10,held-out evaluation,0.09694453452385955,0.14299646478547284,-0.046051930261613284,-32.204943199611,-0.05068088384566163,-0.04102062922320154,0.001953125,-5.597396946981978,-1.0,0.013671875
intel_lab,proposed_fixed_comp,utility_target_js,10,held-out evaluation,0.011764398561541994,0.028340987962540403,-0.01657658940099841,-58.48980784617832,-0.018644548618213436,-0.014626843229504801,0.001953125,-4.819352950354917,-1.0,0.013671875
intel_lab,proposed_fixed_comp,temperature_coverage_js,10,held-out evaluation,0.0037545870113881185,0.002578842402664607,0.0011757446087235115,45.59195271136635,0.0009527533294936246,0.0013936597415961914,0.001953125,3.1279409950201122,1.0,0.013671875
uci_har,resource,accuracy,10,held-out evaluation,0.8867060561299853,0.86410635155096,0.02259970457902515,2.6153846153846203,0.012555391432791774,0.03338257016248155,0.001953125,1.264053044316724,1.0,0.017578125
uci_har,resource,macro_f1,10,held-out evaluation,0.8826666012507411,0.8565429468633268,0.02612365438741431,3.049894285287098,0.013866214988192172,0.03930226217921775,0.001953125,1.1982086859753764,0.98,0.017578125
uci_har,resource,worst_client_accuracy,10,held-out evaluation,0.5683333333333334,0.5466666666666666,0.021666666666666657,3.9634146341463397,-0.0016666666666666718,0.049999999999999975,0.25,0.48711958636422803,0.27,0.5
uci_har,resource,p10_client_accuracy,10,held-out evaluation,0.7538068658416611,0.7075786444939218,0.04622822134773928,6.533297988494675,0.03152364555825955,0.06010460858258972,0.001953125,1.8987872450532193,0.9,0.017578125
