correlation,method,learning,effective_bits,energy_j,max_relay_energy_j,representation_js
0.0,random,0.8201542912246866,42056174.756027825,72.25622525885984,4.090285377725646,0.0541807952364753
0.0,resource,0.8577145612343298,29666918.284818,46.009680531259626,0.5822626679166883,0.15926375681798116
0.0,utility,0.7016875602700097,42410868.25402456,72.50299735097262,5.175254612776974,0.09834702282186328
0.0,proposed,0.9038572806171649,11656258.986200256,20.05592653584145,1.4303519411537864,0.03504560483432877
0.5,random,0.8182256509161041,41663017.53095351,71.41016732965602,3.973341430652532,0.05767582962517165
0.5,resource,0.8677434908389585,29573626.94316811,45.80882237978155,0.5109467204218274,0.16055919782988937
0.5,utility,0.7392478302796528,42332754.36792411,72.38330866286383,4.94677797313677,0.08482640591414799
0.5,proposed,0.9024108003857281,11630277.084860371,20.00009916447481,1.4203563016272907,0.033877407437531044
0.9,random,0.8215525554484089,41416156.13223595,70.8317382982098,3.811680975833532,0.05903520197231675
0.9,resource,0.8753616200578593,29651088.824328907,45.92159163284516,0.4575705201514766,0.16341510537785914
0.9,utility,0.7187560270009643,42333751.40277141,72.35253699825071,5.036039820197093,0.07629475310508721
0.9,proposed,0.9061234329797493,11638511.96515354,20.030055811286125,1.415180482055437,0.032732129204276
