correlation,method,learning,effective_bits,energy_j,max_relay_energy_j,representation_js
0.0,random,1.7385199505295792,2516875.2061324976,6.98881297410469,0.26131293564624614,0.06650462812994502
0.0,resource,1.7433494668520733,2228950.2964726076,6.326585681886952,0.13670105415445868,0.1212801610887095
0.0,utility,1.730420046189544,2684391.7982591814,7.374101135996068,0.31724241607936554,0.06777246259425931
0.0,proposed,1.739936022855082,1014356.7995663931,3.5330206390027024,0.09579916395077508,0.029433670899699726
0.5,random,1.738402997564275,2510721.8315968276,6.974660212672648,0.2748241824817165,0.07406172201234193
0.5,resource,1.7474221343628742,2213284.2427524417,6.290553758330569,0.13291023008996541,0.12213690558038352
0.5,utility,1.7314056374319489,2683605.908866889,7.372293590393791,0.32027512217121334,0.0650506675836947
0.5,proposed,1.7397833726169067,1008503.1170658435,3.5195571692514385,0.09690699467282834,0.02491429446349289
0.9,random,1.7381401328302295,2515488.0457388735,6.985622505199355,0.27359867083442235,0.07491527484623957
0.9,resource,1.7450666134344683,2216534.0864508934,6.298028398837009,0.13926647618962557,0.12313266248141122
0.9,utility,1.7293007646019412,2692319.971227442,7.392335933823065,0.3135820310765694,0.056110496074063355
0.9,proposed,1.7417307659976191,982635.8705102557,3.4600625021735874,0.09756673513200116,0.023140083726042926
