dataset,variant,learning_metric,learning_mean,effective_mbit,energy_j,max_relay_energy_j,representation_js
Intel,proposed,rmse_c,1.7417307659976191,0.9826358705102557,3.4600625021735874,0.09756673513200116,0.023140083726042926
Intel,proposed_no_rep,rmse_c,1.7412672185543172,1.006293552242535,3.5144751701578287,0.10227608953211567,0.040133898876653896
Intel,proposed_fixed_comp,rmse_c,1.7332557317285744,2.418801588594558,6.763243653767438,0.16423745623805852,0.04080694369258682
Intel,proposed_age_only,rmse_c,1.7422805234721228,0.9838175569227519,3.462780380922328,0.09671504122621484,0.02389441087667626
Intel,proposed_no_relay,rmse_c,1.741932145761589,1.0393194932850893,3.5904348345557033,0.10894993825029979,0.021349883128761245
UCI HAR,proposed,accuracy,0.9061234329797493,11.638511965153539,20.030055811286125,1.415180482055437,0.032732129204276
UCI HAR,proposed_no_rep,accuracy,0.9038090646094504,11.324494577776337,19.27372209349669,1.1251303749160984,0.06650400415322665
UCI HAR,proposed_fixed_comp,accuracy,0.7911764705882354,33.62169901910345,53.735493713292875,1.639220235986802,0.08873917000567744
UCI HAR,proposed_age_only,accuracy,0.905400192864031,11.648639419205736,20.04561606235633,1.3940203329230794,0.031662879500644496
UCI HAR,proposed_no_relay,accuracy,0.9036644165863066,11.934974287848483,20.651954543271753,1.6536515834799068,0.02731500130157477
