round,lambda_energy,alive_nodes,dead_nodes,generated_round,delivered_round,channel_drops_round,energy_drops_round,route_drops_round,fallback_direct_round,round_airtime_s,elapsed_channel_time_s,pdr,goodput_bps,average_delay_s,residual_energy_j,mean_alive_energy_j,std_alive_energy_j,jain_energy_fairness,route_changes_total
1,1.0,100,0,100,100,0,0,0,0,2.641599999999995,2.641599999999995,1.0,151423.37976983676,1.390985164780373,49.85113359843778,0.49851133598437775,0.0032150503186526244,0.9999584082294565,0
2,1.0,100,0,100,100,0,0,0,0,2.641599999999995,5.28319999999999,1.0,151423.37976983676,1.3940331595061322,49.71642693473191,0.4971642693473191,0.003995086615443306,0.9999354309289337,30
3,1.0,100,0,100,100,0,0,0,0,2.641599999999995,7.924799999999985,1.0,151423.37976983676,1.3970811584166472,49.57581025824019,0.4957581025824019,0.005152238716540921,0.9998920045627112,56
4,1.0,100,0,100,100,0,0,0,0,2.6415999999999946,10.56639999999998,1.0,151423.37976983676,1.4001291578903778,49.43781057579811,0.4943781057579811,0.006287609871174323,0.999838273021409,80
5,1.0,100,0,100,100,0,0,0,0,2.6415999999999946,13.207999999999975,1.0,151423.37976983676,1.4031771580510226,49.29686517042272,0.4929686517042272,0.007697281543814066,0.9997562580566483,101
6,1.0,100,0,100,100,0,0,0,0,2.6415999999999946,15.84959999999997,1.0,151423.37976983676,1.4028384911500074,49.158109360181356,0.49158109360181357,0.00901909865213158,0.9996634963606397,126
7,1.0,100,0,100,100,0,0,0,0,2.6456639999999947,18.495263999999963,1.0,151390.10721879968,1.400703923162917,49.02382400802604,0.4902382400802604,0.010188816627876109,0.9995682368531431,147
8,1.0,100,0,100,100,0,0,0,0,2.6497279999999943,21.14499199999996,1.0,151336.07049839536,1.4002155173835786,48.883537031910265,0.4888353703191026,0.011436103121320042,0.9994529925343787,171
9,1.0,100,0,100,100,0,0,0,0,2.641599999999994,23.786591999999953,1.0,151345.76655621818,1.3978352548401785,48.75087728649252,0.48750877286492517,0.012617928892423271,0.9993305464587657,194
10,1.0,100,0,100,100,0,0,0,0,2.6497279999999943,26.436319999999945,1.0,151306.98977770007,1.394963813106994,48.610273548265255,0.48610273548265254,0.014040803245103307,0.9991663848636914,218
11,1.0,100,0,100,100,0,0,0,0,2.641599999999994,29.07791999999994,1.0,151317.5632920102,1.3909075716693085,48.471477208399435,0.4847147720839943,0.015312785680388536,0.999002982727116,243
12,1.0,100,0,100,100,0,0,0,0,2.6456639999999942,31.72358399999993,1.0,151306.9897777001,1.3881437435500896,48.33739029997203,0.4833739029997203,0.016572020643386812,0.9988259830592991,268
13,1.0,100,0,100,100,0,0,0,0,2.641599999999994,34.36518399999993,1.0,151315.93650131513,1.3846109291538875,48.20104725302743,0.48201047253027435,0.017663218949643473,0.9986589531315192,293
14,1.0,100,0,100,100,0,0,0,0,2.6415999999999937,37.006783999999925,1.0,151323.60596370685,1.382018231107897,48.065143716258575,0.48065143716258574,0.018785731133219113,0.9984747788694316,314
