round,lambda_energy,alive_nodes,dead_nodes,generated_round,delivered_round,channel_drops_round,energy_drops_round,route_drops_round,fallback_direct_round,round_airtime_s,elapsed_channel_time_s,pdr,goodput_bps,average_delay_s,residual_energy_j,mean_alive_energy_j,std_alive_energy_j,jain_energy_fairness,route_changes_total
1,0.25,100,0,100,100,0,0,0,0,2.6619199999999936,2.6619199999999936,1.0,150267.47610747165,1.344868771030843,49.84335004380734,0.4984335004380734,0.0027832175273627704,0.9999688207035072,0
2,0.25,100,0,100,100,0,0,0,0,2.6700479999999938,5.331967999999987,1.0,150038.4098329176,1.3506396485087901,49.6971045977808,0.496971045977808,0.003929972408049602,0.9999374698211237,31
3,0.25,100,0,100,100,0,0,0,0,2.670047999999994,8.002015999999982,1.0,149962.2095232005,1.3477813009043844,49.54646470098854,0.49546464700988535,0.00530041891842088,0.9998855685640411,60
4,0.25,100,0,100,100,0,0,0,0,2.661919999999994,10.663935999999975,1.0,150038.4098329176,1.3416175670732025,49.402236224129034,0.4940223622412903,0.00638888500008059,0.9998327815098855,88
5,0.25,100,0,100,100,0,0,0,0,2.661919999999994,13.32585599999997,1.0,150084.16720096665,1.339179166907474,49.25769473973794,0.49257694739737945,0.007599628576861902,0.9997620239759463,116
6,0.25,100,0,100,100,0,0,0,0,2.661919999999994,15.987775999999965,1.0,150114.68762134304,1.3386034331915735,49.117311548282494,0.49117311548282494,0.008697212152622502,0.9996865597202568,138
7,0.25,100,0,100,100,0,0,0,0,2.665983999999994,18.65375999999996,1.0,150103.78604635238,1.3390978862922982,48.97021305108095,0.48970213051080946,0.010083544407593658,0.9995761830291043,161
8,0.25,100,0,100,100,0,0,0,0,2.661919999999994,21.315679999999954,1.0,150124.2277985036,1.337711046227489,48.82634160819046,0.4882634160819046,0.011251152700636646,0.9994692926249733,184
9,0.25,100,0,100,100,0,0,0,0,2.6700479999999946,23.98572799999995,1.0,150089.25307582942,1.337702579520121,48.68278837809711,0.4868278837809711,0.012490964861706144,0.9993421069936368,207
10,0.25,100,0,100,100,0,0,0,0,2.661919999999994,26.647647999999943,1.0,150107.056352591,1.3359604781765475,48.53911238638119,0.4853911238638119,0.013762143901948446,0.9991967706846311,226
11,0.25,100,0,100,100,0,0,0,0,2.670047999999994,29.317695999999938,1.0,150080.0062869882,1.3351447224945756,48.39419410783101,0.4839419410783101,0.015076907648970102,0.9990303461961244,247
12,0.25,100,0,100,100,0,0,0,0,2.661919999999994,31.979615999999933,1.0,150095.61090414625,1.3332626593806074,48.251558506925214,0.48251558506925213,0.016354074971440258,0.9988525582070482,270
13,0.25,100,0,100,100,0,0,0,0,2.665983999999994,34.645599999999924,1.0,150091.20927332796,1.3321765813685031,48.10632687364378,0.4810632687364378,0.017633664886705105,0.9986581695916199,293
