round,lambda_energy,alive_nodes,dead_nodes,generated_round,delivered_round,channel_drops_round,energy_drops_round,route_drops_round,fallback_direct_round,round_airtime_s,elapsed_channel_time_s,pdr,goodput_bps,average_delay_s,residual_energy_j,mean_alive_energy_j,std_alive_energy_j,jain_energy_fairness,route_changes_total
1,4.0,100,0,100,100,0,0,0,0,2.600959999999994,2.600959999999994,1.0,153789.37007874053,1.3623139537196491,49.861351492454155,0.49861351492454153,0.0025735748319141716,0.9999733600172057,0
2,4.0,100,0,100,100,0,0,0,0,2.600959999999994,5.201919999999988,1.0,153789.37007874053,1.3549987508222168,49.73402471296973,0.49734024712969727,0.0034382216664256204,0.9999522096976304,28
3,4.0,100,0,100,100,0,0,0,0,2.6050239999999945,7.806943999999982,1.0,153709.31314481093,1.3556896304801278,49.601564933837,0.49601564933836995,0.004549537237579625,0.9999158784714444,56
4,4.0,100,0,100,100,0,0,0,0,2.6090879999999945,10.416031999999976,1.0,153609.35911103227,1.357630191332458,49.461339581138965,0.49461339581138963,0.006174696334702211,0.9998441769210266,82
5,4.0,100,0,100,100,0,0,0,0,2.605023999999994,13.02105599999997,1.0,153597.37336203796,1.3598186551252778,49.327952810417884,0.49327952810417885,0.007323216042380132,0.9997796455629745,108
6,4.0,100,0,100,100,0,0,0,0,2.600959999999994,15.622015999999963,1.0,153629.3395167439,1.3615892040222448,49.19976073109078,0.49199760731090775,0.008454185726500795,0.9997048183386231,134
7,4.0,100,0,100,100,0,0,0,0,2.605023999999994,18.227039999999956,1.0,153617.92150563156,1.3642182247473162,49.070649155449374,0.49070649155449375,0.009595052260619593,0.9996178049433884,153
8,4.0,100,0,100,100,0,0,0,0,2.605023999999994,20.83206399999995,1.0,153609.3591110323,1.3640563901359835,48.94357082184403,0.4894357082184403,0.010726053990699097,0.999519957018412,175
9,4.0,100,0,100,100,0,0,0,0,2.600959999999994,23.433023999999943,1.0,153629.33951674393,1.3621468744276977,48.81318857167666,0.48813188571676663,0.011952088154346762,0.9994008260487889,201
10,4.0,100,0,100,100,0,0,0,0,2.600959999999994,26.033983999999936,1.0,153645.3275841304,1.3591562219998323,48.682855090198046,0.48682855090198046,0.01318119502820693,0.9992674466971387,227
