round,lambda_energy,alive_nodes,dead_nodes,generated_round,delivered_round,channel_drops_round,energy_drops_round,route_drops_round,fallback_direct_round,round_airtime_s,elapsed_channel_time_s,pdr,goodput_bps,average_delay_s,residual_energy_j,mean_alive_energy_j,std_alive_energy_j,jain_energy_fairness,route_changes_total
1,0.25,100,0,100,100,0,0,0,0,2.609087999999994,2.609087999999994,1.0,153310.2754679033,1.3527635634206927,49.86039522716447,0.49860395227164467,0.0022285459535131484,0.9999800233307816,0
2,0.25,100,0,100,100,0,0,0,0,2.6009599999999935,5.210047999999988,1.0,153549.44906457711,1.3548971600197899,49.727859184553225,0.49727859184553225,0.003088324274394552,0.9999614317872804,28
3,0.25,100,0,100,100,0,0,0,0,2.6009599999999935,7.8110079999999815,1.0,153629.3395167439,1.3575048924506974,49.59389117459024,0.4959389117459024,0.004065115499746118,0.9999328168703232,53
4,0.25,100,0,100,100,0,0,0,0,2.6009599999999935,10.411967999999975,1.0,153669.31592567358,1.3551511588761898,49.4558576985599,0.494558576985599,0.005245993441404103,0.9998874951752731,80
5,0.25,100,0,100,100,0,0,0,0,2.6009599999999935,13.012927999999969,1.0,153693.3117588912,1.3508128387029141,49.322048540624486,0.49322048540624486,0.006277671350536016,0.9998380262679599,105
6,0.25,100,0,100,100,0,0,0,0,2.605023999999993,15.617951999999962,1.0,153669.3159256736,1.3459495854299763,49.18734843335941,0.4918734843335941,0.007353671081426667,0.9997765375690308,129
7,0.25,100,0,100,100,0,0,0,0,2.600959999999993,18.218911999999953,1.0,153686.45504188215,1.3399851814059789,49.05485201570775,0.4905485201570775,0.00843756162025874,0.9997042385895173,147
8,0.25,100,0,100,100,0,0,0,0,2.600959999999993,20.819871999999947,1.0,153699.31188818108,1.3336830783316018,48.92367864371493,0.4892367864371493,0.009498043240971121,0.999623238585309,167
9,0.25,100,0,100,100,0,0,0,0,2.6009599999999935,23.42083199999994,1.0,153709.31314481096,1.329413620483196,48.79147974044747,0.4879147974044747,0.010578616792689762,0.9995301430154477,187
10,0.25,100,0,100,100,0,0,0,0,2.6050239999999936,26.025855999999933,1.0,153693.31175889124,1.3269368381613096,48.66000999201404,0.4866000999201404,0.011640737205633396,0.9994280367689433,208
