round,lambda_energy,alive_nodes,dead_nodes,generated_round,delivered_round,channel_drops_round,energy_drops_round,route_drops_round,fallback_direct_round,round_airtime_s,elapsed_channel_time_s,pdr,goodput_bps,average_delay_s,residual_energy_j,mean_alive_energy_j,std_alive_energy_j,jain_energy_fairness,route_changes_total
1,0.25,100,0,100,100,0,0,0,0,2.600959999999994,2.600959999999994,1.0,153789.37007874053,1.3623139537196491,49.861351492454155,0.49861351492454153,0.0025735748319141716,0.9999733600172057,0
2,0.25,100,0,100,100,0,0,0,0,2.600959999999994,5.201919999999988,1.0,153789.37007874053,1.3549987508222168,49.73402471296973,0.49734024712969727,0.0034382216664256204,0.9999522096976304,28
3,0.25,100,0,100,100,0,0,0,0,2.6050239999999945,7.806943999999982,1.0,153709.31314481093,1.355689631440989,49.59166325607377,0.4959166325607377,0.005148803637289688,0.9998922174391791,55
4,0.25,100,0,100,100,0,0,0,0,2.6090879999999945,10.416031999999976,1.0,153609.35911103227,1.3576301912544324,49.46126549748202,0.49461265497482015,0.006370061915541894,0.9998341617024205,81
5,0.25,100,0,100,100,0,0,0,0,2.6009599999999944,13.01699199999997,1.0,153645.3275841304,1.359054622872703,49.33267739354637,0.4933267739354637,0.007584183899507185,0.9997637098020348,103
6,0.25,100,0,100,100,0,0,0,0,2.600959999999994,15.617951999999963,1.0,153669.31592567358,1.3609525106671676,49.19883331159386,0.4919883331159386,0.008984166493787266,0.9996666494480548,126
7,0.25,100,0,100,100,0,0,0,0,2.600959999999994,18.218911999999957,1.0,153686.45504188212,1.3631209445830363,49.07250822434699,0.4907250822434699,0.009990723517933417,0.9995856785734776,145
8,0.25,100,0,100,100,0,0,0,0,2.609087999999994,20.82799999999995,1.0,153639.3316689076,1.3631572299733472,48.943098297953156,0.4894309829795316,0.011297494098852076,0.9994674627519103,166
9,0.25,100,0,100,100,0,0,0,0,2.605023999999994,23.433023999999943,1.0,153629.33951674393,1.361424385419301,48.81353619244411,0.4881353619244411,0.012628496668540773,0.9993311446734816,189
10,0.25,100,0,100,100,0,0,0,0,2.600959999999994,26.033983999999936,1.0,153645.3275841304,1.358505981814175,48.68563927347911,0.4868563927347911,0.01375071652805132,0.9992029187404714,208
11,0.25,100,0,100,100,0,0,0,0,2.6009599999999935,28.63494399999993,1.0,153658.41120555397,1.3566354333827408,48.55692257263082,0.4855692257263082,0.01502291115915432,0.999043708317719,228
12,0.25,100,0,100,100,0,0,0,0,2.6090879999999936,31.244031999999923,1.0,153629.33951674393,1.3543891496567064,48.42720958601551,0.48427209586015507,0.016316787782221155,0.9988660401247387,251
13,0.25,100,0,100,100,0,0,0,0,2.6009599999999935,33.84499199999992,1.0,153641.63773476478,1.3524353033714478,48.300021950041014,0.48300021950041017,0.0174385394573946,0.9986981534176047,273
14,0.25,100,0,100,100,0,0,0,0,2.6009599999999935,36.44595199999991,1.0,153652.1806317479,1.3511669783107163,48.16061669547222,0.4816061669547222,0.019095417208445306,0.9984303890660466,296
15,0.25,100,0,100,100,0,0,0,0,2.6050239999999936,39.050975999999906,1.0,153645.3275841304,1.3505608616318525,48.03247286958966,0.4803247286958966,0.020336063402588932,0.9982106879041832,319
16,0.25,100,0,100,100,0,0,0,0,2.6050239999999936,41.6559999999999,1.0,153639.3316689076,1.3492253295957408,47.90171293608996,0.4790171293608996,0.0216792788538887,0.9979559150894609,342
17,0.25,100,0,100,100,0,0,0,0,2.6009599999999935,44.25695999999989,1.0,153648.14935323203,1.3481784013278697,47.77460824840679,0.4777460824840679,0.02280961856007811,0.9977256729130161,362
18,0.25,100,0,100,100,0,0,0,0,2.6009599999999935,46.857919999999886,1.0,153655.98814458723,1.347563887267469,47.64506626197303,0.4764506626197303,0.024119281885938045,0.9974438793692196,386
19,0.25,100,0,100,100,0,0,0,0,2.6009599999999935,49.45887999999988,1.0,153663.0024780185,1.347313511582115,47.514779138281845,0.47514779138281843,0.025396019332134267,0.997151377097744,409
20,0.25,100,0,100,100,0,0,0,0,2.600959999999994,52.05983999999987,1.0,153669.3159256736,1.347372653417876,47.38824634445983,0.4738824634445983,0.02654590320691682,0.9968718105042536,427
