round,lambda_energy,alive_nodes,dead_nodes,generated_round,delivered_round,channel_drops_round,energy_drops_round,route_drops_round,fallback_direct_round,round_airtime_s,elapsed_channel_time_s,pdr,goodput_bps,average_delay_s,residual_energy_j,mean_alive_energy_j,std_alive_energy_j,jain_energy_fairness,route_changes_total
1,1.0,100,0,100,100,0,0,0,0,2.6619199999999936,2.6619199999999936,1.0,150267.47610747165,1.344868771030843,49.84335004380734,0.4984335004380734,0.0027832175273627704,0.9999688207035072,0
2,1.0,100,0,100,100,0,0,0,0,2.6700479999999938,5.331967999999987,1.0,150038.4098329176,1.350639648435136,49.70066264489404,0.4970066264489404,0.0036503989294545025,0.9999460572763392,31
3,1.0,100,0,100,100,0,0,0,0,2.670047999999994,8.002015999999982,1.0,149962.2095232005,1.3477813007841382,49.55358595397544,0.49553585953975443,0.004935239359336481,0.9999008202085473,59
4,1.0,100,0,100,100,0,0,0,0,2.661919999999994,10.663935999999975,1.0,150038.4098329176,1.3416175671798425,49.407308257738755,0.4940730825773876,0.006113821222688373,0.9998468995078587,89
5,1.0,100,0,100,100,0,0,0,0,2.661919999999994,13.32585599999997,1.0,150084.16720096665,1.3391791669900128,49.26339392368047,0.49263393923680465,0.007284424129867411,0.9997814016673469,117
6,1.0,100,0,100,100,0,0,0,0,2.661919999999994,15.987775999999965,1.0,150114.68762134304,1.3386034333520076,49.120269338943594,0.49120269338943595,0.008375934669063162,0.9997093175423433,144
7,1.0,100,0,100,100,0,0,0,0,2.665983999999994,18.65375999999996,1.0,150103.78604635238,1.3390978865000442,48.9771715084732,0.489771715084732,0.00952270821686946,0.999622106513959,173
8,1.0,100,0,100,100,0,0,0,0,2.661919999999994,21.315679999999954,1.0,150124.2277985036,1.337711046510943,48.829649145717795,0.48829649145717796,0.01085812853224726,0.9995057711933598,196
9,1.0,100,0,100,100,0,0,0,0,2.6700479999999946,23.98572799999995,1.0,150089.25307582942,1.3377025797608368,48.68407592820245,0.48684075928202447,0.012152956810593227,0.9993772417320201,219
10,1.0,100,0,100,100,0,0,0,0,2.661919999999994,26.647647999999943,1.0,150107.056352591,1.3359604782971326,48.54372543802211,0.48543725438022106,0.013363080709394503,0.9992427871081115,244
11,1.0,100,0,100,100,0,0,0,0,2.670047999999994,29.317695999999938,1.0,150080.0062869882,1.335144722510494,48.398971164091265,0.48398971164091265,0.014612961112700315,0.9990892305068554,271
12,1.0,100,0,100,100,0,0,0,0,2.661919999999994,31.979615999999933,1.0,150095.61090414625,1.3332626593688024,48.25563314946148,0.4825563314946148,0.015874301493263434,0.9989190054898016,298
13,1.0,100,0,100,100,0,0,0,0,2.665983999999994,34.645599999999924,1.0,150091.20927332796,1.3321765813948347,48.11194533631416,0.48111945336314155,0.0171305828370633,0.9987338411067879,325
14,1.0,100,0,100,100,0,0,0,0,2.661919999999994,37.30751999999992,1.0,150103.78604635238,1.330223851606464,47.97096215418201,0.4797096215418201,0.01834387913330517,0.9985398720544116,351
15,1.0,100,0,100,100,0,0,0,0,2.661919999999994,39.96943999999991,1.0,150114.68762134304,1.3275967658586925,47.82684951441504,0.4782684951441504,0.019597481339808775,0.9983237901345186,375
16,1.0,100,0,100,100,0,0,0,0,2.661919999999994,42.63135999999991,1.0,150124.2277985036,1.3256917658252982,47.68435261321719,0.47684352613217196,0.020882044047073806,0.9980859108633773,397
17,1.0,100,0,100,100,0,0,0,0,2.6619199999999945,45.2932799999999,1.0,150132.6466089454,1.323186130535703,47.541003130856915,0.4754100313085691,0.022127665218867824,0.997838303731623,420
18,1.0,100,0,100,100,0,0,0,0,2.6619199999999945,47.9551999999999,1.0,150140.13078873648,1.3213088546715739,47.397164815966846,0.47397164815966847,0.02341430323911614,0.997565559322869,446
19,1.0,100,0,100,100,0,0,0,0,2.6659839999999946,50.62118399999989,1.0,150134.7736157261,1.3189190562742739,47.254255606319866,0.47254255606319867,0.024673415100782643,0.9972810935557062,471
20,1.0,100,0,100,100,0,0,0,0,2.665983999999994,53.28716799999989,1.0,150129.95248687296,1.3171990216685734,47.11220066592952,0.4711220066592952,0.025901935839829915,0.996986391067116,498
21,1.0,100,0,100,100,0,0,0,0,2.661919999999994,55.94908799999988,1.0,150136.49552250106,1.3158072952080564,46.96773089803677,0.4696773089803677,0.02719433945852358,0.9966587854034751,524
22,1.0,100,0,100,100,0,0,0,0,2.661919999999994,58.61100799999988,1.0,150142.4442316368,1.3148284165491824,46.82705219051531,0.4682705219051531,0.028416725262012072,0.9963309128839598,549
23,1.0,100,0,100,100,0,0,0,0,2.661919999999994,61.27292799999987,1.0,150147.87607342706,1.3142085361109175,46.680660476429765,0.46680660476429764,0.029724757272772358,0.9959616378734684,576
24,1.0,100,0,100,100,0,0,0,0,2.6619199999999945,63.93484799999987,1.0,150152.85560700824,1.3139027789739837,46.53703278667471,0.4653703278667471,0.03100112464229127,0.9955819104208469,602
25,1.0,100,0,100,100,0,0,0,0,2.6659839999999946,66.60083199999985,1.0,150148.27442395946,1.3139043368256746,46.39322127540725,0.4639322127540725,0.032260650918258624,0.9951878157757791,629
26,1.0,100,0,100,100,0,0,0,0,2.665983999999994,69.26681599999985,1.0,150144.0458877166,1.3141496148477256,46.25023989165381,0.4625023989165381,0.03352921510918206,0.9947719189468612,654
27,1.0,100,0,100,100,0,0,0,0,2.6619199999999945,71.92873599999984,1.0,150148.61376126535,1.3138273315062619,46.10982470263419,0.46109824702634195,0.034739559039884384,0.9943557860742877,681
28,1.0,100,0,100,100,0,0,0,0,2.6659839999999946,74.59471999999984,1.0,150144.67511909723,1.3138430284387361,45.96379310182047,0.4596379310182047,0.03606290526218251,0.9938817892473403,703
29,1.0,100,0,100,100,0,0,0,0,2.6619199999999945,77.25663999999983,1.0,150148.90629465668,1.313987971059081,45.822220975056894,0.45822220975056893,0.037305278338008514,0.9934155537923361,725
30,1.0,100,0,100,100,0,0,0,0,2.6619199999999945,79.91855999999983,1.0,150152.85560700824,1.314333224187366,45.678294332552554,0.45678294332552555,0.038581979472239965,0.9929162719159036,752
31,1.0,100,0,100,100,0,0,0,0,2.6619199999999945,82.58047999999982,1.0,150156.55031310095,1.3148594029748937,45.53343528034239,0.4553343528034239,0.039877622683267805,0.9923883407354791,780
32,1.0,100,0,100,100,0,0,0,0,2.6619199999999945,85.24239999999982,1.0,150160.01426520167,1.3155495455516362,45.39062663022477,0.45390626630224773,0.041126982791908955,0.9918572609139569,806
33,1.0,100,0,100,100,0,0,0,0,2.6659839999999946,87.90838399999981,1.0,150156.32638634363,1.3158062394573542,45.24823080292273,0.4524823080292273,0.042385105948199026,0.9913018030663804,829
34,1.0,100,0,100,100,0,0,0,0,2.665983999999994,90.57436799999981,1.0,150152.85560700824,1.316282111393067,45.10430283641286,0.45104302836412863,0.04366012887989848,0.9907170986264056,854
35,1.0,100,0,100,100,0,0,0,0,2.661919999999994,93.2362879999998,1.0,150156.12805177347,1.3168318100570124,44.95945052563696,0.4495945052563696,0.04495999223607476,0.9900987736704899,881
36,1.0,100,0,100,100,0,0,0,0,2.6619199999999945,95.8982079999998,1.0,150159.21882502778,1.31752594769104,44.81843350880095,0.4481843350880095,0.046184571266953675,0.9894926533397996,909
