round,lambda_energy,alive_nodes,dead_nodes,generated_round,delivered_round,channel_drops_round,energy_drops_round,route_drops_round,fallback_direct_round,round_airtime_s,elapsed_channel_time_s,pdr,goodput_bps,average_delay_s,residual_energy_j,mean_alive_energy_j,std_alive_energy_j,jain_energy_fairness,route_changes_total
1,0.5,100,0,100,100,0,0,0,0,2.6212799999999943,2.6212799999999943,1.0,152597.20441921538,1.280434355610949,49.85360497473688,0.4985360497473688,0.003405240251638092,0.9999533467268727,0
2,0.5,100,0,100,100,0,0,0,0,2.6212799999999943,5.242559999999989,1.0,152597.20441921538,1.2732207499474633,49.72482399790183,0.4972482399790183,0.004110492053309728,0.9999316699969197,29
3,0.5,100,0,100,100,0,0,0,0,2.6212799999999943,7.863839999999983,1.0,152597.20441921538,1.2727804815967305,49.59430754026361,0.49594307540263605,0.005029311549748542,0.9998971726229278,54
4,0.5,100,0,100,100,0,0,0,0,2.621279999999994,10.485119999999977,1.0,152597.20441921538,1.2740335476214069,49.46380274386781,0.4946380274386781,0.006146248556446666,0.9998456245680198,77
5,0.5,100,0,100,100,0,0,0,0,2.621279999999994,13.10639999999997,1.0,152597.20441921538,1.2759639470550317,49.334044295299904,0.49334044295299906,0.007306469094144579,0.9997807061683992,100
6,0.5,100,0,100,100,0,0,0,0,2.625343999999994,15.731743999999964,1.0,152557.78380324558,1.2752188799528825,49.20432692977111,0.49204326929771114,0.00854685050234933,0.9996983699485412,124
7,0.5,100,0,100,100,0,0,0,0,2.621279999999994,18.35302399999996,1.0,152563.41407279836,1.2752092034404632,49.074718196043726,0.49074718196043726,0.00978485524755706,0.9996026066807281,147
8,0.5,100,0,100,100,0,0,0,0,2.621279999999994,20.974303999999954,1.0,152567.6370476945,1.2759385459989185,48.94312494664561,0.4894312494664561,0.011209514221229568,0.9994757210228374,167
9,0.5,100,0,100,100,0,0,0,0,2.621279999999994,23.59558399999995,1.0,152570.92174535742,1.2771605680477502,48.81419601560578,0.4881419601560578,0.012469045929567471,0.9993479350038658,191
10,0.5,100,0,100,100,0,0,0,0,2.6212799999999943,26.216863999999944,1.0,152573.54960532306,1.2787274656349368,48.681504912502284,0.4868150491250228,0.013713324720686638,0.9992071098097336,214
11,0.5,100,0,100,100,0,0,0,0,2.6212799999999943,28.83814399999994,1.0,152575.69973990036,1.2786979090730524,48.552815194663,0.48552815194662996,0.014957066384112618,0.9990519045510433,237
12,0.5,100,0,100,100,0,0,0,0,2.6212799999999943,31.459423999999935,1.0,152577.49156500798,1.2791643453034838,48.4238109877317,0.48423810987731697,0.01624576986774581,0.9988757209464197,258
13,0.5,100,0,100,100,0,0,0,0,2.6253439999999943,34.084767999999926,1.0,152560.81543521176,1.2803092990495717,48.29491106687005,0.4829491106687005,0.017481397435350758,0.9986914784005558,278
14,0.5,100,0,100,100,0,0,0,0,2.6294079999999944,36.714175999999924,1.0,152529.6386877922,1.2817086993869657,48.16674826469023,0.4816674826469023,0.018615950604283452,0.9985084852949722,299
15,0.5,100,0,100,100,0,0,0,0,2.6212799999999943,39.335455999999915,1.0,152534.14120837985,1.2830596890453068,48.035819942207965,0.48035819942207963,0.019990120920376855,0.9982711832544391,321
16,0.5,100,0,100,100,0,0,0,0,2.6253439999999943,41.96079999999991,1.0,152523.30746792277,1.2847523450177913,47.904295182969705,0.47904295182969703,0.021330495916234638,0.9980212415596723,345
17,0.5,100,0,100,100,0,0,0,0,2.6212799999999943,44.5820799999999,1.0,152527.65236615285,1.2864586272708514,47.77640439471996,0.4777640439471996,0.022572207446537165,0.9977728328277544,367
18,0.5,100,0,100,100,0,0,0,0,2.6212799999999947,47.20335999999989,1.0,152531.51470573316,1.2883027003889906,47.64703842414413,0.4764703842414413,0.02366539764661838,0.9975391466290785,390
19,0.5,100,0,100,100,0,0,0,0,2.6212799999999943,49.82463999999988,1.0,152534.97064906074,1.2902628078889908,47.517433269609164,0.47517433269609166,0.024927265875125594,0.9972555847625529,414
20,0.5,100,0,100,100,0,0,0,0,2.6212799999999943,52.44591999999987,1.0,152538.08113195497,1.2923215446861933,47.38934774745864,0.47389347747458643,0.02615203135380557,0.99696381110062,436
21,0.5,100,0,100,100,0,0,0,0,2.625343999999995,55.07126399999987,1.0,152529.63868779223,1.293679114156773,47.259558330030224,0.4725955833003022,0.027323144275749195,0.9966685539122156,460
22,0.5,100,0,100,100,0,0,0,0,2.625343999999995,57.69660799999987,1.0,152521.9645494588,1.2951220100671765,47.12963180952087,0.4712963180952087,0.0285433317980949,0.9963454728738185,483
23,0.5,100,0,100,100,0,0,0,0,2.625343999999995,60.32195199999987,1.0,152514.958401877,1.2957821289090083,47.000345652557115,0.47000345652557113,0.029827572476945785,0.9959886725563,503
24,0.5,100,0,100,100,0,0,0,0,2.625343999999995,62.94729599999987,1.0,152508.53666534016,1.2965667312109093,46.86877122896693,0.46868771228966927,0.031199547574456334,0.9955882669360783,526
25,0.5,100,0,100,100,0,0,0,0,2.6212799999999947,65.56857599999987,1.0,152512.08139704025,1.2975145236925072,46.741209187460626,0.46741209187460625,0.03238299741914631,0.9952230069326478,547
26,0.5,100,0,100,100,0,0,0,0,2.6212799999999947,68.18985599999986,1.0,152515.35360332805,1.29861605524181,46.6083376966287,0.46608337696628704,0.03373535290168969,0.994788365089838,571
27,0.5,100,0,100,100,0,0,0,0,2.6212799999999947,70.81113599999986,1.0,152518.38354916408,1.2991016510791078,46.480768308946274,0.46480768308946274,0.034933300212572835,0.9943832327386077,595
28,0.5,100,0,100,100,0,0,0,0,2.6212799999999947,73.43241599999986,1.0,152521.19717809669,1.2990373044233319,46.35044389105756,0.4635044389105756,0.03622773696150522,0.9939280308682408,620
29,0.5,100,0,100,100,0,0,0,0,2.6212799999999947,76.05369599999986,1.0,152523.8168569746,1.2991805954244267,46.21878710025176,0.46218787100251757,0.03752922013993527,0.9934498995342366,642
30,0.5,100,0,100,100,0,0,0,0,2.6212799999999947,78.67497599999986,1.0,152526.2619717866,1.2995107603657612,46.091142075650374,0.46091142075650376,0.03871298593437528,0.9929947225442206,665
31,0.5,100,0,100,100,0,0,0,0,2.6212799999999947,81.29625599999986,1.0,152528.54940822886,1.300009714641078,45.96347504808938,0.4596347504808938,0.03990874984986546,0.9925174660919455,685
32,0.5,100,0,100,100,0,0,0,0,2.6212799999999947,83.91753599999986,1.0,152530.69394220563,1.3006616342931248,45.83576081353928,0.45835760813539284,0.04111777596548211,0.9920169393097565,702
