round,lambda_energy,alive_nodes,dead_nodes,generated_round,delivered_round,channel_drops_round,energy_drops_round,route_drops_round,fallback_direct_round,round_airtime_s,elapsed_channel_time_s,pdr,goodput_bps,average_delay_s,residual_energy_j,mean_alive_energy_j,std_alive_energy_j,jain_energy_fairness,route_changes_total
1,0.5,100,0,100,100,0,0,0,0,2.641599999999995,2.641599999999995,1.0,151423.37976983676,1.390985164780373,49.85113359843778,0.49851133598437775,0.0032150503186526244,0.9999584082294565,0
2,0.5,100,0,100,100,0,0,0,0,2.641599999999995,5.28319999999999,1.0,151423.37976983676,1.3940331594357334,49.71643127247623,0.4971643127247623,0.003995145885731109,0.9999354290244431,30
3,0.5,100,0,100,100,0,0,0,0,2.641599999999995,7.924799999999985,1.0,151423.37976983676,1.3970811584166472,49.57581025824019,0.4957581025824019,0.005152238716540921,0.9998920045627112,56
4,0.5,100,0,100,100,0,0,0,0,2.6415999999999946,10.56639999999998,1.0,151423.37976983676,1.4001291577921378,49.43820826942796,0.4943820826942796,0.006274544934191552,0.9998389469061933,79
5,0.5,100,0,100,100,0,0,0,0,2.6415999999999946,13.207999999999975,1.0,151423.37976983676,1.4031771579699976,49.297013184025495,0.49297013184025495,0.007717749285301808,0.9997549618602838,98
6,0.5,100,0,100,100,0,0,0,0,2.6415999999999946,15.84959999999997,1.0,151423.37976983676,1.4028384912244143,49.1568857789505,0.49156885778950504,0.009101856147193074,0.9996572777155749,121
7,0.5,100,0,100,100,0,0,0,0,2.6456639999999947,18.495263999999963,1.0,151390.10721879968,1.4007039232546643,49.020145088421344,0.49020145088421346,0.010413709170415956,0.9995489073472277,142
8,0.5,100,0,100,100,0,0,0,0,2.6456639999999942,21.140927999999956,1.0,151365.16239968306,1.3997735574396146,48.88101381227209,0.4888101381227209,0.011770859043054971,0.9994204590290026,164
9,0.5,100,0,100,100,0,0,0,0,2.641599999999994,23.78252799999995,1.0,151371.62878563657,1.3974424016816174,48.745323346152865,0.48745323346152863,0.013017525678874629,0.999287341677824,189
10,0.5,100,0,100,100,0,0,0,0,2.6497279999999943,26.432255999999946,1.0,151330.25346001523,1.3945980532024613,48.60741842219829,0.48607418422198295,0.01432179834151219,0.9991326125549486,211
11,0.5,100,0,100,100,0,0,0,0,2.641599999999994,29.07385599999994,1.0,151338.71475458945,1.3905750624762232,48.47331642587866,0.4847331642587866,0.015545142287220582,0.9989726048446139,234
12,0.5,100,0,100,100,0,0,0,0,2.6456639999999942,31.71951999999993,1.0,151326.37568286058,1.387838943725718,48.333775698198096,0.48333775698198095,0.016929149225264856,0.9987747171302118,258
13,0.5,100,0,100,100,0,0,0,0,2.641599999999994,34.36111999999993,1.0,151333.8331230184,1.3843295754586011,48.19913044247077,0.48199130442470767,0.01821314404993933,0.9985741568261084,283
14,0.5,100,0,100,100,0,0,0,0,2.6415999999999937,37.002719999999925,1.0,151340.2257996172,1.3817569741674862,48.0622802790688,0.48062280279068803,0.019284771118073044,0.9983926087815882,306
15,0.5,100,0,100,100,0,0,0,0,2.6415999999999937,39.64431999999992,1.0,151345.76655621818,1.3799337862897794,47.924326208765855,0.47924326208765855,0.02067787253315747,0.9981418022894444,329
16,0.5,100,0,100,100,0,0,0,0,2.641599999999994,42.28591999999992,1.0,151350.6150510622,1.3787194968927208,47.78827040131628,0.4778827040131628,0.021965195738881324,0.9978918039934165,355
17,0.5,100,0,100,100,0,0,0,0,2.649727999999994,44.935647999999915,1.0,151327.5161849232,1.3784489121132522,47.653038574740926,0.47653038574740925,0.02324604746259555,0.9976259777065506,379
18,0.5,100,0,100,100,0,0,0,0,2.6415999999999937,47.57724799999991,1.0,151332.8387551969,1.3781293701570103,47.51467290686095,0.4751467290686095,0.02443808133217421,0.9973616561749438,401
19,0.5,100,0,100,100,0,0,0,0,2.6415999999999937,50.21884799999991,1.0,151337.6013722978,1.3770948326290613,47.375585659010284,0.47375585659010283,0.025836014181484488,0.9970348124541865,422
20,0.5,100,0,100,100,0,0,0,0,2.6415999999999937,52.860447999999906,1.0,151341.8879839992,1.376468548820449,47.23802409101532,0.4723802409101532,0.02722048442350536,0.9966904530138483,446
21,0.5,100,0,100,100,0,0,0,0,2.649727999999994,55.5101759999999,1.0,151323.60596370682,1.3753813320612465,47.10003801014013,0.47100038010140133,0.02833294263656146,0.9963944448154163,469
22,0.5,100,0,100,100,0,0,0,0,2.6415999999999933,58.1517759999999,1.0,151328.1382842033,1.3735967785728576,46.96567621056444,0.4696567621056444,0.029496427094159144,0.9960711267516554,490
23,0.5,100,0,100,100,0,0,0,0,2.6456639999999934,60.797439999999895,1.0,151322.16093309218,1.3714196471099425,46.828399680417334,0.4682839968041733,0.030667834717121634,0.9957293997084996,511
24,0.5,100,0,100,100,0,0,0,0,2.6415999999999933,63.43903999999989,1.0,151326.37568286053,1.3696102098966756,46.69538736643415,0.4669538736643415,0.0318914184134076,0.9953572139122262,535
