round,lambda_energy,alive_nodes,dead_nodes,generated_round,delivered_round,channel_drops_round,energy_drops_round,route_drops_round,fallback_direct_round,round_airtime_s,elapsed_channel_time_s,pdr,goodput_bps,average_delay_s,residual_energy_j,mean_alive_energy_j,std_alive_energy_j,jain_energy_fairness,route_changes_total
1,0.25,100,0,100,100,0,0,0,0,2.6212799999999943,2.6212799999999943,1.0,152597.20441921538,1.280434355610949,49.85360497473688,0.4985360497473688,0.003405240251638092,0.9999533467268727,0
2,0.25,100,0,100,100,0,0,0,0,2.6212799999999943,5.242559999999989,1.0,152597.20441921538,1.2732207499474633,49.72482399790183,0.4972482399790183,0.004110492053309728,0.9999316699969197,29
3,0.25,100,0,100,100,0,0,0,0,2.6212799999999943,7.863839999999983,1.0,152597.20441921538,1.272780481522139,49.59408005770578,0.4959408005770578,0.005113924527792176,0.9998936829847179,52
4,0.25,100,0,100,100,0,0,0,0,2.621279999999994,10.485119999999977,1.0,152597.20441921538,1.2740335476142166,49.46370864490069,0.4946370864490069,0.0061467621394655295,0.9998455981842076,75
5,0.25,100,0,100,100,0,0,0,0,2.621279999999994,13.10639999999997,1.0,152597.20441921538,1.2759639470213657,49.33381918675067,0.49333819186750666,0.007375705508156136,0.9997765292955914,98
6,0.25,100,0,100,100,0,0,0,0,2.625343999999994,15.731743999999964,1.0,152557.78380324558,1.2752188799363395,49.203905525424105,0.4920390552542411,0.00866788575625262,0.9996897638154447,122
7,0.25,100,0,100,100,0,0,0,0,2.621279999999994,18.35302399999996,1.0,152563.41407279836,1.2752092034983442,49.074183611426534,0.49074183611426536,0.009860961539967785,0.9995963945296418,145
8,0.25,100,0,100,100,0,0,0,0,2.625343999999994,20.978367999999953,1.0,152538.08113195494,1.2761620660872808,48.94440848932923,0.4894440848932923,0.011168513204822244,0.9994795746070587,163
9,0.25,100,0,100,100,0,0,0,0,2.621279999999994,23.59964799999995,1.0,152544.64812356557,1.2773592525227004,48.8152427141489,0.488152427141489,0.012485397192873521,0.999346252850507,185
10,0.25,100,0,100,100,0,0,0,0,2.6212799999999943,26.220927999999944,1.0,152549.90212398313,1.2789062816538952,48.68486101798879,0.4868486101798879,0.013737111034410289,0.9992044686191617,207
11,0.25,100,0,100,100,0,0,0,0,2.6212799999999943,28.84220799999994,1.0,152554.20112080217,1.2788604691511498,48.555635931354864,0.4855563593135486,0.01501884775833997,0.9990441744643631,230
12,0.25,100,0,100,100,0,0,0,0,2.6212799999999943,31.463487999999934,1.0,152557.78380324552,1.2793133587520111,48.426461936059354,0.48426461936059356,0.016340483920328518,0.9988627128074221,251
13,0.25,100,0,100,100,0,0,0,0,2.6253439999999943,34.088831999999925,1.0,152542.62745053897,1.2804468498807953,48.2968691722086,0.482968691722086,0.01764630034909333,0.9986668162981844,271
14,0.25,100,0,100,100,0,0,0,0,2.6253439999999943,36.71417599999992,1.0,152529.63868779223,1.2815838766344498,48.16658359738306,0.4816658359738306,0.01893028933182789,0.9984577580478335,295
15,0.25,100,0,100,100,0,0,0,0,2.6212799999999943,39.33545599999991,1.0,152534.14120837988,1.2829431877226942,48.037037936766176,0.48037037936766175,0.02016228207933501,0.9982414184272043,317
16,0.25,100,0,100,100,0,0,0,0,2.6253439999999943,41.9607999999999,1.0,152523.3074679228,1.2846431250040415,47.90751039829968,0.4790751039829968,0.021481220251534636,0.9979935035058345,339
17,0.25,100,0,100,100,0,0,0,0,2.6212799999999943,44.58207999999989,1.0,152527.65236615288,1.2863558320205726,47.776398360866594,0.47776398360866595,0.022845906512905446,0.9977186177800088,362
18,0.25,100,0,100,100,0,0,0,0,2.6212799999999947,47.20335999999988,1.0,152531.5147057332,1.2882056159792272,47.64639168783026,0.4764639168783026,0.024106692466467163,0.997446681971025,385
19,0.25,100,0,100,100,0,0,0,0,2.6212799999999943,49.824639999999874,1.0,152534.97064906076,1.2901708332464457,47.5175191265426,0.475175191265426,0.025384334651583674,0.9971543176064654,408
20,0.25,100,0,100,100,0,0,0,0,2.6212799999999943,52.445919999999866,1.0,152538.08113195497,1.292234168844641,47.38737409908478,0.4738737409908478,0.026677830633215445,0.996840622922381,431
21,0.25,100,0,100,100,0,0,0,0,2.625343999999995,55.07126399999986,1.0,152529.63868779226,1.2935958990820313,47.25681385632987,0.4725681385632987,0.027943637838240158,0.996515655085601,453
22,0.25,100,0,100,100,0,0,0,0,2.625343999999995,57.696607999999856,1.0,152521.96454945882,1.2950425774727716,47.127934966379996,0.4712793496638,0.029226992889465724,0.9961687160008085,474
23,0.25,100,0,100,100,0,0,0,0,2.625343999999995,60.321951999999854,1.0,152514.95840187703,1.2957061499666167,46.995809482841764,0.46995809482841766,0.03060280663139731,0.9957775300328435,497
24,0.25,100,0,100,100,0,0,0,0,2.625343999999995,62.94729599999985,1.0,152508.5366653402,1.2964939180064068,46.86792234796908,0.46867922347969077,0.031736050208108,0.9954357692978472,520
25,0.25,100,0,100,100,0,0,0,0,2.6212799999999947,65.56857599999985,1.0,152512.08139704028,1.2974446230425802,46.738082999006174,0.46738082999006175,0.03302032952327529,0.9950334058081907,543
26,0.25,100,0,100,100,0,0,0,0,2.6212799999999947,68.18985599999985,1.0,152515.35360332808,1.2985488430767747,46.61001874536615,0.4661001874536615,0.034164610729356344,0.9946559895283245,566
27,0.25,100,0,100,100,0,0,0,0,2.6212799999999947,70.81113599999985,1.0,152518.3835491641,1.2990369282436913,46.48276449840065,0.46482764498400647,0.03533106300523463,0.9942558251104212,587
28,0.25,100,0,100,100,0,0,0,0,2.6212799999999947,73.43241599999985,1.0,152521.1971780967,1.2989748931005456,46.351460105242346,0.4635146010524235,0.0366924369288306,0.9937725069451893,610
29,0.25,100,0,100,100,0,0,0,0,2.6212799999999947,76.05369599999985,1.0,152523.81685697462,1.2991203361983905,46.22337847539943,0.4622337847539943,0.03779793643762924,0.9933577002021853,634
30,0.25,100,0,100,100,0,0,0,0,2.6212799999999947,78.67497599999984,1.0,152526.2619717866,1.299452509788478,46.09351920098489,0.46093519200984895,0.03907793433970025,0.992863700052629,656
31,0.25,100,0,100,100,0,0,0,0,2.6212799999999947,81.29625599999984,1.0,152528.5494082289,1.299953343131216,45.96479691917455,0.45964796919174555,0.04034751283871436,0.9923537348475426,678
32,0.25,100,0,100,100,0,0,0,0,2.6212799999999947,83.91753599999984,1.0,152530.69394220563,1.300607024438138,45.83335942146686,0.45833359421466857,0.041589109160147325,0.99183352497489,701
33,0.25,100,0,100,100,0,0,0,0,2.6212799999999943,86.53881599999984,1.0,152532.70855935937,1.3007839007443112,45.70503841534461,0.4570503841534461,0.04272121015198176,0.9913387412184758,722
34,0.25,100,0,100,100,0,0,0,0,2.6253439999999943,89.16415999999984,1.0,152527.65236615276,1.301212142015903,45.57431214122222,0.45574312141222223,0.0440143253273673,0.9907590651587515,745
35,0.25,100,0,100,100,0,0,0,0,2.6212799999999943,91.78543999999984,1.0,152529.63868779215,1.3016983534662303,45.44699325035543,0.45446993250355433,0.04519455066275157,0.9902076235732867,768
36,0.25,100,0,100,100,0,0,0,0,2.6212799999999943,94.40671999999984,1.0,152531.51470573308,1.3023212421019614,45.31564433914513,0.4531564433914513,0.046542952709365794,0.9895611137556157,793
37,0.25,100,0,100,100,0,0,0,0,2.6253439999999943,97.03206399999983,1.0,152526.9007984827,1.3025996199598109,45.18811790866961,0.4518811790866961,0.04771688173544731,0.9889724308758101,817
38,0.25,100,0,100,100,0,0,0,0,2.6212799999999943,99.65334399999983,1.0,152528.7500638215,1.3029414179793535,45.05875635701587,0.45058756357015867,0.04898094890179476,0.9883213095704705,837
39,0.25,100,0,100,100,0,0,0,0,2.6212799999999943,102.27462399999983,1.0,152530.5045364921,1.3034167852761946,44.930035805019486,0.44930035805019486,0.05014428727144025,0.987697500641237,860
40,0.25,100,0,100,100,0,0,0,0,2.6212799999999943,104.89590399999983,1.0,152532.17132291483,1.3040157042575207,44.79955774690164,0.4479955774690164,0.05145118244403935,0.986981756459499,882
41,0.25,100,0,100,100,0,0,0,0,2.6212799999999943,107.51718399999983,1.0,152533.7568364888,1.3047291344841137,44.668618594831806,0.44668618594831805,0.05269665671183336,0.9862735426568706,904
42,0.25,100,0,100,100,0,0,0,0,2.6212799999999943,110.13846399999983,1.0,152535.26688006133,1.3055488965955122,44.541407135994824,0.44541407135994826,0.0538848419232661,0.9855756803237226,925
43,0.25,100,0,100,100,0,0,0,0,2.6212799999999943,112.75974399999983,1.0,152536.70671689382,1.3059950139807721,44.41032390188098,0.44410323901880977,0.05523559796647333,0.9847663684673589,945
44,0.25,100,0,100,100,0,0,0,0,2.6212799999999943,115.38102399999983,1.0,152538.08113195482,1.3060929623610027,44.28185934790313,0.4428185934790313,0.05642707302117877,0.9840217921437457,969
45,0.25,100,0,100,100,0,0,0,0,2.6212799999999943,118.00230399999982,1.0,152539.3944850435,1.3063175086270233,44.15270219408364,0.4415270219408364,0.05768947115207875,0.9832147838010105,993
46,0.25,100,0,100,100,0,0,0,0,2.6253439999999943,120.62764799999982,1.0,152535.51159349494,1.3067028033211132,44.02335621436932,0.44023356214369325,0.058933916910494315,0.9823944253698116,1015
47,0.25,100,0,100,100,0,0,0,0,2.6212799999999943,123.24892799999982,1.0,152536.8236874241,1.3071555765117158,43.89456105314454,0.43894561053144543,0.06013467412595356,0.9815773112775491,1038
48,0.25,100,0,100,100,0,0,0,0,2.6212799999999947,125.87020799999982,1.0,152538.08113195482,1.3077122508349803,43.76424118783169,0.43764241187831693,0.061409060524363,0.9806910650454643,1059
49,0.25,100,0,100,100,0,0,0,0,2.6212799999999943,128.4914879999998,1.0,152539.28727169873,1.3083664649662505,43.63406480563397,0.4363406480563397,0.06272528549256651,0.9797534627977265,1082
50,0.25,100,0,100,100,0,0,0,0,2.6212799999999943,131.1127679999998,1.0,152540.44518379806,1.309112366554073,43.50504397810836,0.4350504397810836,0.06397493482560865,0.9788334878961829,1105
51,0.25,100,0,100,100,0,0,0,0,2.6212799999999943,133.73404799999977,1.0,152541.55770413854,1.3099445621827337,43.3762376254807,0.43376237625480696,0.06517769072329585,0.9779200776292204,1126
52,0.25,100,0,100,100,0,0,0,0,2.6212799999999943,136.35532799999976,1.0,152542.62745053892,1.3108580733544173,43.24621239590363,0.4324621239590363,0.06645210157341545,0.9769332619886345,1148
53,0.25,100,0,100,100,0,0,0,0,2.6212799999999943,138.97660799999974,1.0,152543.65684331596,1.311848297329753,43.117854247547264,0.43117854247547266,0.06770709929658307,0.9759355860122553,1169
54,0.25,100,0,100,100,0,0,0,0,2.6212799999999943,141.59788799999973,1.0,152544.64812356554,1.3129109722809311,42.986332827271085,0.42986332827271084,0.06903435297933527,0.9748573644282189,1193
55,0.25,100,0,100,100,0,0,0,0,2.6212799999999947,144.2191679999997,1.0,152545.6033694498,1.3140421462885288,42.85821071644254,0.4285821071644254,0.0702346893878783,0.9738467374122155,1214
56,0.25,100,0,100,100,0,0,0,0,2.6212799999999943,146.8404479999997,1.0,152546.52451074004,1.3152381498169434,42.72888396432917,0.42728883964329173,0.07149020988600169,0.9727692331848508,1238
57,0.25,100,0,100,100,0,0,0,0,2.6253439999999943,149.46579199999968,1.0,152543.2655520271,1.3162082388487364,42.599465271509104,0.425994652715091,0.07275451131568383,0.9716583489076728,1261
58,0.25,100,0,100,100,0,0,0,0,2.6212799999999943,152.08707199999967,1.0,152544.19520943932,1.3171785096114745,42.47089844110729,0.42470898441107285,0.07396624391980706,0.9705620515277928,1283
59,0.25,100,0,100,100,0,0,0,0,2.6212799999999943,154.70835199999965,1.0,152545.0933638027,1.317871361036767,42.34077628062716,0.4234077628062716,0.07525190864573078,0.9693795710735733,1303
60,0.25,100,0,100,100,0,0,0,0,2.6253439999999943,157.33369599999963,1.0,152542.02125907,1.3186677787524406,42.211445280330516,0.4221144528033052,0.07650384401684897,0.9681968785133038,1325
