round,lambda_energy,alive_nodes,dead_nodes,generated_round,delivered_round,channel_drops_round,energy_drops_round,route_drops_round,fallback_direct_round,round_airtime_s,elapsed_channel_time_s,pdr,goodput_bps,average_delay_s,residual_energy_j,mean_alive_energy_j,std_alive_energy_j,jain_energy_fairness,route_changes_total
1,0.0,100,0,100,100,0,0,0,0,2.3977599999999946,2.3977599999999946,1.0,166822.36754304054,1.2303371382317092,49.875477424557914,0.4987547742455791,0.001775088758869622,0.9999873333866296,0
2,0.0,100,0,100,100,0,0,0,0,2.3977599999999946,4.795519999999989,1.0,166822.36754304054,1.2321659382317092,49.75095484911582,0.4975095484911582,0.003550177517739245,0.9999490815489488,0
3,0.0,100,0,100,100,0,0,0,0,2.4018239999999946,7.197343999999983,1.0,166728.17083635335,1.234401138231709,49.626027203401655,0.49626027203401657,0.005327198669970593,0.9998847797731443,0
4,0.0,100,0,100,100,0,0,0,0,2.3977599999999946,9.595103999999978,1.0,166751.71003878684,1.2361283382317092,49.50150462795957,0.4950150462795957,0.007102249396932136,0.9997941903915513,0
5,0.0,100,0,100,100,0,0,0,0,2.3977599999999946,11.992863999999972,1.0,166765.8367509216,1.2378961782317086,49.37698205251748,0.49376982052517476,0.00887731533329981,0.999676872549259,0
6,0.0,100,0,100,100,0,0,0,0,2.3977599999999946,14.390623999999967,1.0,166775.25588883465,1.2396843382317082,49.25245947707539,0.4925245947707539,0.010652388875796243,0.9995324424492875,0
7,0.0,100,0,100,100,0,0,0,0,2.3977599999999946,16.78838399999996,1.0,166781.9844959471,1.2414841096602796,49.127936901633305,0.49127936901633307,0.0124274667651644,0.9993605150117901,0
8,0.0,100,0,100,100,0,0,0,0,2.4058879999999947,19.194271999999955,1.0,166716.4037271123,1.2434232182317082,49.002752411867334,0.49002752411867334,0.014204262338422249,0.9991604787992144,0
9,0.0,100,0,100,100,0,0,0,0,2.3977599999999946,21.59203199999995,1.0,166728.17083635335,1.2452204093428187,48.87822983642524,0.4887822983642524,0.015979336449032037,0.9989323654291055,0
10,0.0,100,0,100,100,0,0,0,0,2.4018239999999946,23.993855999999944,1.0,166709.3442587973,1.2470889462317076,48.75319575650139,0.4875319575650139,0.017758263668020812,0.9986749904870214,0
11,0.0,100,0,100,100,0,0,0,0,2.397759999999995,26.39161599999994,1.0,166719.6127739965,1.2470438727771629,48.628673181059305,0.48628673181059306,0.01953333659658418,0.9983891026780503,0
12,0.0,100,0,100,100,0,0,0,0,2.3977599999999946,28.789375999999933,1.0,166728.17083635335,1.2456177782317097,48.504150605617205,0.4850415060561721,0.02130841216261062,0.9980737750041979,0
13,0.0,100,0,100,100,0,0,0,0,2.3977599999999946,31.187135999999928,1.0,166735.41296001055,1.2446924366932486,48.37962803017513,0.48379628030175126,0.023083489757652773,0.9977286173130101,0
14,0.0,100,0,100,100,0,0,0,0,2.4018239999999946,33.58895999999992,1.0,166721.44657054023,1.2442215039459954,48.25492213767929,0.48254922137679285,0.02485823517870714,0.9973532899214821,0
15,0.0,100,0,100,100,0,0,0,0,2.3977599999999946,35.98671999999992,1.0,166728.17083635333,1.242645639565043,48.13039956223719,0.48130399562237186,0.026633315268648608,0.9969473027977179,0
16,0.0,100,0,100,100,0,0,0,0,2.3977599999999946,38.38447999999991,1.0,166734.05501390185,1.2414953582317094,48.005876986795116,0.48005876986795115,0.02840839644193736,0.9965103134317337,0
17,0.0,100,0,100,100,0,0,0,0,2.3977599999999946,40.7822399999999,1.0,166739.24728018904,1.2395002629375909,47.88135441135302,0.4788135441135302,0.030183478507439434,0.9960419311379993,0
18,0.0,100,0,100,100,0,0,0,0,2.4018239999999946,43.1840639999999,1.0,166728.17083635335,1.2379887471205973,47.756545658976876,0.47756545658976873,0.03195889729914142,0.9955416189783219,0
19,0.0,100,0,100,100,0,0,0,0,2.3977599999999946,45.5818239999999,1.0,166733.1259056245,1.2367732308632866,47.632023083534804,0.476320230835348,0.03373397880501639,0.9950092684936368,0
20,0.0,100,0,100,100,0,0,0,0,2.3977599999999946,47.97958399999989,1.0,166737.5857197932,1.2358621462317088,47.50750050809271,0.4750750050809271,0.03550906103604054,0.9944443548301063,0
21,0.0,100,0,100,100,0,0,0,0,2.3977599999999946,50.37734399999988,1.0,166741.62099534305,1.235212002993613,47.38297793265062,0.47382977932650616,0.03728414388864173,0.9938464893726152,0
22,0.0,100,0,100,100,0,0,0,0,2.397759999999994,52.77510399999987,1.0,166745.2895971559,1.2347872182317081,47.25845535720854,0.4725845535720854,0.03905922727807552,0.9932152844661167,0
23,0.0,100,0,100,100,0,0,0,0,2.397759999999994,55.17286399999986,1.0,166748.63933110348,1.233674919101274,47.13393278176645,0.47133932781766447,0.040834311134332966,0.9925503536010584,0
24,0.0,100,0,100,100,0,0,0,0,2.401823999999994,57.57468799999985,1.0,166739.9396067943,1.2319982982317086,47.00925267185801,0.4700925267185801,0.04260899152561262,0.9918514106498613,0
