seed,round,method,correlation,accuracy,macro_f1,worst_client_accuracy,p10_client_accuracy,client_accuracy_sd,effective_bits,energy_j,utility_target_js,class_coverage_js,participation_jain,max_relay_energy_j
53,1,random,0.0,0.16789758739537175,0.04792017987633502,0.0,0.06606060606060606,0.08789327359346916,1412598.07290697,2.255597751721611,-1.1102230246251568e-16,4.42196398428243e-06,0.26666666666666666,0.4125749459373688
53,2,random,0.0,0.4160512063023141,0.36199769225111056,0.21428571428571427,0.2736842105263158,0.13207151948706009,3066335.3990540616,5.032753164965648,0.5326227835257094,0.002732603210773203,0.35555555555555557,0.4125749459373688
53,3,random,0.0,0.44214672575086167,0.36944296881485156,0.19736842105263158,0.2983783783783784,0.14119336104973784,5005778.562471745,8.378143437186807,0.3713631036835384,0.0008426024747971753,0.5052631578947369,1.2130292540725973
53,4,random,0.0,0.5386509108813392,0.4543828625533253,0.3142857142857143,0.35503095975232196,0.13048320991964266,6770940.453994072,11.369110017241354,0.3095163156502583,0.0004532184780626754,0.5505376344086022,2.028809079117271
53,5,random,0.0,0.6331856228458888,0.5519277203680139,0.17647058823529413,0.4174193548387097,0.18769018502699963,8326076.646564556,13.995716875945718,0.2720971301266222,0.0003505084186582474,0.6201550387596899,2.028809079117271
53,6,random,0.0,0.6317085179714427,0.5393580310015843,0.09803921568627451,0.43193548387096775,0.18764912248095553,9904493.388610097,16.672368264059077,0.2579483452177728,0.0004229786053099769,0.6508474576271186,2.028809079117271
53,7,random,0.0,0.7695716395864106,0.7011708524950988,0.5098039215686274,0.6185714285714285,0.13398179507617786,11491562.263698963,19.374213351191738,0.16911111585055813,0.000249316387234678,0.6452674897119342,2.4413840250546395
53,8,random,0.0,0.7129492860659774,0.6293938774303248,0.38333333333333336,0.5425040128410915,0.14020688507881177,13041043.219095074,21.88050488812581,0.16183527748051713,0.00020509629586811548,0.6564102564102564,2.4413840250546395
53,9,random,0.0,0.6578040374199902,0.522722759225066,0.4,0.529327731092437,0.11838676162925316,14607339.91006051,24.4625175749045,0.14376120100560674,9.164386588716566e-05,0.7140495867768595,2.8386334540825633
53,10,random,0.0,0.6671590349581487,0.5386662265695324,0.36666666666666664,0.529327731092437,0.12113209442847964,16080155.70429067,26.925104819665435,0.14159545485504466,0.0001069034151328427,0.7619047619047619,2.8386334540825633
53,11,random,0.0,0.7449532250123092,0.6801610677360584,0.38333333333333336,0.6392616372391653,0.11352830001323676,17908122.94653202,30.028106596546248,0.11573261932594231,7.159475278415106e-05,0.7637080867850099,2.8386334540825633
53,12,random,0.0,0.8079763663220089,0.7965888432715221,0.5,0.6554735152487962,0.11932127975043988,19322106.228437807,32.36562265154313,0.12030211308434192,8.505473308918754e-05,0.7917525773195876,2.8386334540825633
53,13,random,0.0,0.757754800590842,0.7358340693167795,0.5142857142857142,0.6135313001605137,0.1181937519112745,21049842.531951047,35.37936814604053,0.11637990561663,9.735183746800485e-05,0.8193939393939393,2.8386334540825633
53,14,random,0.0,0.723781388478582,0.680676042199734,0.4142857142857143,0.5850980392156863,0.13765598297221085,22746716.76548811,38.32626942629783,0.10741138333449543,0.00010598599121061398,0.8263504611330699,2.8386334540825633
