method,seed,correlation,accuracy,macro_f1,worst_client_accuracy,p10_client_accuracy,client_accuracy_sd,effective_bits,compressed_bits,raw_selected_bits,mean_selected_hops,mean_selected_etx,energy_j,min_residual_energy_j,max_relay_energy_j,participation_jain,utility_target_js,class_coverage_js
resource,53,0.0,0.8237321516494338,0.8069674690299217,0.43333333333333335,0.6565971107544142,0.12223616628807213,29843273.03190739,16204800.0,32390400.0,1.04,1.8416316790029725,46.4392844060684,6.407700371269046,0.8004543081352284,0.6561679790026247,0.17730801729158607,5.7981512111422414e-05
resource,59,0.0,0.8838010832102413,0.8786395319931618,0.5166666666666667,0.7136904761904762,0.11433924042853405,28193933.819061823,16204800.0,32390400.0,1.03,1.739850773786891,43.73453694891394,6.737879520919487,0.7188285165498298,0.7215007215007215,0.14352401714604718,7.327057984570678e-05
resource,61,0.0,0.8759231905465288,0.8713748518647509,0.5333333333333333,0.7885714285714287,0.09900818378900214,27590136.386356182,16204800.0,32390400.0,1.035,1.7025903674439764,43.058720154422254,6.818811916562556,0.6596402300014581,0.6331117442228553,0.20452316155369243,0.00012266135857581274
resource,67,0.0,0.8838010832102413,0.8788928321037935,0.5333333333333333,0.7251587301587301,0.10971062384063178,27919284.585614156,16204800.0,32390400.0,1.025,1.7229021392188812,43.18676751193608,7.097793262567176,0.4183548049956237,0.7137758743754461,0.17219139420540203,4.9630280575291025e-05
resource,71,0.0,0.8365337272279665,0.8263904829230863,0.5166666666666667,0.6971428571428571,0.10951659880761763,31184816.711409587,16204800.0,32390400.0,1.055,1.9244184878190134,48.91660140709631,6.658387607682058,0.7338932147596027,0.630715862503942,0.16672167284802278,5.236818624353406e-05
resource,73,0.0,0.8468734613490891,0.8376329745050483,0.5166666666666667,0.7114767255216694,0.12121191591771233,26788935.461277395,16204800.0,32390400.0,1.02,1.653148169756948,41.567032560789045,6.962433159043467,0.36248872124313714,0.7262164124909223,0.13833959862690748,1.5556850921563014e-05
resource,79,0.0,0.8690300344657804,0.8618387270129603,0.5,0.6921428571428572,0.11830740179252168,29172819.91953657,16204800.0,32390400.0,1.035,1.8002579432968353,45.47983734832081,6.8122438994894585,0.5332677624988553,0.735023888276369,0.12757637796574897,7.025200613642235e-05
resource,83,0.0,0.880354505169867,0.8759263378516305,0.55,0.6994444444444444,0.10804409751322666,28331523.228306834,16204800.0,32390400.0,1.03,1.7483414314466625,43.935416580648905,6.0674374534652,0.3874457559819227,0.5606952621250351,0.23813550067913652,0.0001259002027951444
resource,89,0.0,0.880354505169867,0.8765435454025431,0.5666666666666667,0.6935714285714285,0.11151495334395269,28376641.569660123,16204800.0,32390400.0,1.03,1.7511256892809632,44.05608050350362,6.707127227635245,0.41108073932548395,0.6271558482282847,0.18135629062588057,0.0001855590409232796
resource,97,0.0,0.8040374199901527,0.772906487493093,0.55,0.6705778491171749,0.1075127017592497,30910456.34353303,16204800.0,32390400.0,1.035,1.9074876791773423,47.950549660459345,6.734319905477153,0.7147841669627244,0.7176175098672407,0.13391358531094602,0.00011633599675615479
