method,correlation,n,accuracy_mean,accuracy_sd,accuracy_ci95,macro_f1_mean,macro_f1_sd,macro_f1_ci95,worst_client_accuracy_mean,worst_client_accuracy_sd,worst_client_accuracy_ci95,p10_client_accuracy_mean,p10_client_accuracy_sd,p10_client_accuracy_ci95,client_accuracy_sd_mean,client_accuracy_sd_sd,client_accuracy_sd_ci95,effective_bits_mean,effective_bits_sd,effective_bits_ci95,compressed_bits_mean,compressed_bits_sd,compressed_bits_ci95,raw_selected_bits_mean,raw_selected_bits_sd,raw_selected_bits_ci95,mean_selected_hops_mean,mean_selected_hops_sd,mean_selected_hops_ci95,mean_selected_etx_mean,mean_selected_etx_sd,mean_selected_etx_ci95,energy_j_mean,energy_j_sd,energy_j_ci95,min_residual_energy_j_mean,min_residual_energy_j_sd,min_residual_energy_j_ci95,max_relay_energy_j_mean,max_relay_energy_j_sd,max_relay_energy_j_ci95,participation_jain_mean,participation_jain_sd,participation_jain_ci95,utility_target_js_mean,utility_target_js_sd,utility_target_js_ci95,class_coverage_js_mean,class_coverage_js_sd,class_coverage_js_ci95
resource_adaptive,0.5,10,0.8780896110290497,0.005872751907644281,0.003639969343605929,0.8734297597099326,0.007373123890217863,0.004569909532883185,0.5483333333333333,0.03722636792833545,0.023073141887120827,0.7266400107584413,0.019792917324144187,0.012267777255605369,0.1086729544160114,0.005365847131616142,0.003325786508388907,8816025.51386347,531622.8510856588,329503.25686214713,4996574.4,108488.38681444203,67241.7987941591,32390400.0,0.0,0.0,1.0310000000000001,0.009660917830792983,0.005987898908075645,1.7763808505148624,0.0899087208694673,0.05572600253412687,14.243731473289845,0.8292676117629448,0.5139853908239124,7.140329563119275,0.2229535513588773,0.13818804280460667,0.15292108034410595,0.054468957549357336,0.03376020965567453,0.6707509559650247,0.06537464584124121,0.040519625288694634,0.15502029195971628,0.03170955915186831,0.019653788381869222,7.378416913595795e-05,5.444065239308116e-05,3.3742665938056025e-05
utility_adaptive,0.5,10,0.8835548990645001,0.008359795609200756,0.005181455000115654,0.8792921926639196,0.00848400461213849,0.005258440537731285,0.5707142857142857,0.04672507412813993,0.028960500984685167,0.7604301765650081,0.019780554954334315,0.012260114979413574,0.09921099201780952,0.007438753729525788,0.004610587328721228,12677797.330268307,1081240.6748801726,670159.9133620345,5395531.2,220171.80834611863,136463.90062263375,32390400.0,0.0,0.0,1.279,0.08815390581880711,0.054638356897370594,2.4627027193784015,0.18564108943456245,0.11506153930593443,21.86674616053101,2.1857868705053867,1.3547647381357535,6.087872930904307,1.103347588371283,0.6838619203010043,2.083239606971133,0.7348294423175855,0.45545200697707827,0.6671635646650227,0.042629067270562676,0.026421769632289014,0.05434165467613452,0.015310747503048974,0.009489699618716629,2.6494440180240853e-05,1.9742434886121192e-05,1.223648791635114e-05
proposed_fixed_comp,0.5,10,0.795371738060069,0.034710470728591125,0.021513772647154622,0.7568456386615144,0.05880110907776631,0.03644530499142992,0.5117352092352092,0.06192866260833695,0.03838378275292796,0.6538963940023713,0.043870253567079846,0.027191064869015354,0.11468152572916675,0.01641464416428801,0.01017390185790688,30965332.183051027,1463135.5811410514,906860.8285598058,16204800.0,0.0,0.0,32390400.0,0.0,0.0,1.0554999999999999,0.023973364849812464,0.014858845476311052,1.910874073302417,0.09029025851235828,0.05596248201519385,48.67367662924615,2.593542671309131,1.6074944018341601,4.4494616659796975,0.5255314693924416,0.3257277793735353,0.7409191982764153,0.3368960276918579,0.20881032130520824,0.6861644336175244,0.04261750432418947,0.026414602843876676,0.10403088888072107,0.03097746717819727,0.019200033075537637,9.337434563375154e-05,4.132685003479268e-05,2.5614647027510125e-05
fedcg_adapted,0.5,10,0.8778926637124569,0.005323247904226755,0.0032993832337065844,0.8727111047106539,0.006698553615331136,0.0041518065448275495,0.5383333333333333,0.03429177636002437,0.021254263188915858,0.7368832961468881,0.03211222906027566,0.019903365776801827,0.1084384049352071,0.007341292504896976,0.004550180235859465,9266650.78450124,564963.7612842829,350168.1670983418,4986052.8,114965.93209468621,71256.62295371837,32390400.0,0.0,0.0,1.085,0.02236067977499795,0.013859292911256363,1.8714051465622734,0.1009633656544325,0.06257774235806696,15.269457316215437,0.9287466931521668,0.5756431642632294,7.129982747362436,0.2578998246111917,0.1598479673701457,0.6445288810111189,0.1622922291959508,0.10058976579783518,0.6996001376896661,0.06309329653209739,0.0391056303374468,0.1296774664968437,0.029052999268781552,0.018007235507517007,7.987241151237474e-05,4.8202670825769374e-05,2.9876324906104994e-05
proposed,0.5,10,0.8834071885770556,0.0015878400292070436,0.000984153446247378,0.879281618567776,0.0021312981724580238,0.0013209922931926535,0.5683333333333334,0.05058302062262237,0.031351680995356006,0.7404525147137507,0.01962354368114109,0.012162798384057323,0.10108823970008218,0.007358767147304571,0.004561011131435238,11229701.694441322,620031.3851136579,384299.4339586427,5056454.4,87725.57005571408,54372.87164089327,32390400.0,0.0,0.0,1.2025000000000001,0.057020951315186634,0.035341951779090434,2.256308610824317,0.12825842874894722,0.07949539773637433,19.14059391580336,1.2895616342322416,0.7992785816791975,6.45754887422172,0.6901042306173386,0.42773103356710385,1.266475092269344,0.467865104811376,0.2899857963078009,0.8080978806128911,0.041150321910753254,0.02550523376267403,0.02757809774085775,0.004981663926756646,0.003087667291025648,5.587361251395439e-05,2.8882410510432168e-05,1.7901503499674598e-05
random,0.9,10,0.8276218611521419,0.03055809844899277,0.01894010564424526,0.8128758810025906,0.039881315354020626,0.02471869535002132,0.5132683982683982,0.056200511269373914,0.03483343777032774,0.6633992855569194,0.03829751121823425,0.023737043376432128,0.1228966817300274,0.010812667583095159,0.006701760800390333,39653149.58782039,3272490.5893648234,2028310.6812364883,16204800.0,0.0,0.0,32390400.0,0.0,0.0,1.263,0.0768909762080195,0.04765752080090705,2.4470002460888365,0.20194575615649857,0.12516727643886325,67.30350118438369,6.967029104110807,4.318209376759815,3.260885183227331,0.9745931528171128,0.604059094361698,3.342075749405685,0.9178295357357531,0.5688766399931778,0.8932788984582608,0.01849728905560296,0.011464738535025217,0.07312514713062343,0.014205353768858186,0.00880456948409759,3.2643444388463994e-05,1.9982769684515094e-05,1.2385448967679875e-05
resource,0.9,10,0.86410635155096,0.018408107523794445,0.011409463248940635,0.8565429468633268,0.022565896804555913,0.013986487743955587,0.5466666666666666,0.036683497820487056,0.022736667508294083,0.7075786444939218,0.02631887075443172,0.01631260509740927,0.1104005777461555,0.0075465798810127795,0.00467741866980696,28784585.962949634,1449053.0006692489,898132.3547535989,16204800.0,0.0,0.0,32390400.0,0.0,0.0,1.0325,0.008249579113843065,0.005113142108549525,1.776299982903191,0.08942122091412698,0.05542384693137813,44.73015915252952,2.318216289635098,1.4368453424936938,5.069325976954498,0.30543422236243245,0.18931009233341378,0.4591172330146306,0.14140126877204856,0.08764141437803351,0.665772422163019,0.05661449176383257,0.035090025539124665,0.17158181542661233,0.03343712235828934,0.020724543150571262,8.055999442529572e-05,5.136936619992561e-05,3.183906303360254e-05
utility,0.9,10,0.79561792220581,0.05706256071882262,0.03536774155465435,0.7564076060413927,0.08193039973335162,0.05078098786202686,0.490952380952381,0.074879595970252,0.04641085441367576,0.6288827956989247,0.08160545578489457,0.050579585516180386,0.11973427482915466,0.0199312924794476,0.012353543065423677,40942040.68540186,3661824.6325189336,2269622.4212503056,16204800.0,0.0,0.0,32390400.0,0.0,0.0,1.283,0.09852241707685955,0.061064826755397136,2.52653785825199,0.22597160301385694,0.14005865060045886,69.91384488029425,8.117194114667864,5.031089035964628,2.220482353928596,0.9748234628620153,0.6042018420064399,4.045255248824152,0.943947903948316,0.5850649723276312,0.6629074709276128,0.04801912027178591,0.029762559094095795,0.05616143081244666,0.017646198440364438,0.010937227106513061,6.22857663210762e-05,4.049459383005705e-05,2.5098809287570812e-05
random_adaptive,0.9,10,0.8792220580994584,0.004671304071593347,0.0028953042598528333,0.8748987345760298,0.005343880687808954,0.0033121715654620435,0.5583333333333333,0.03535533905932738,0.021913466179497944,0.7260752803235586,0.018507740006170323,0.011471216101296531,0.10674998854768034,0.005012339421679928,0.003106680159758507,12396881.881972808,933488.6596353729,578582.2655395509,5348592.0,152792.97324157285,94702.06595885604,32390400.0,0.0,0.0,1.2625,0.07678432999859627,0.04759142079548931,2.4170760170855137,0.1881040048130226,0.11658807007285163,21.320273536229607,1.9102321171172407,1.1839741325404154,5.461049360609797,0.6196080591355511,0.38403705379906966,1.6295503000541571,0.5323809371920726,0.32997312349887126,0.8932788984582608,0.01849728905560296,0.011464738535025217,0.05347298385156085,0.011942722504336749,0.007402176097102635,2.22377019221171e-05,1.875532596779689e-05,1.1624671470159439e-05
resource_adaptive,0.9,10,0.8751354012801575,0.0075038392220158415,0.004650927734906089,0.8698190045225227,0.009221354739058753,0.0057154548812114086,0.5566666666666666,0.04097575314352395,0.025397034919770647,0.7306589530943464,0.023153398104242755,0.014350624822078228,0.10555748015111958,0.008329224234999525,0.0051625066660749225,8872414.869883165,585134.7376466506,362670.2677735038,5015995.2,138747.78305400055,85996.76689091272,32390400.0,0.0,0.0,1.0335,0.010814085465005549,0.006702639612703171,1.782742982139539,0.09409958481503033,0.05832352691877125,14.343827205359394,0.9129198755301096,0.5658336010708623,6.167713846848647,0.2565317592842438,0.15900003169561824,0.17040988148089656,0.05761339778363971,0.03570915390456926,0.6702942709455207,0.06212095682973531,0.03850296794614743,0.15529113321513902,0.03279451895816905,0.020326253436767732,7.545273175153314e-05,6.0985238239428226e-05,3.779904227097969e-05
utility_adaptive,0.9,10,0.8778926637124569,0.013250308808100705,0.008212626484701077,0.8736062558502666,0.013863144563341236,0.008592466021058388,0.5930952380952381,0.06327791265745661,0.039220056597437145,0.737131621187801,0.034264586546771024,0.02123741076806496,0.0975249241606435,0.009350214569402953,0.005795323031518356,12644972.92781148,982277.7190269962,608822.0378442035,5414145.6,207094.3447069475,128358.40468354197,32390400.0,0.0,0.0,1.2765,0.07937428914817302,0.049196694107542537,2.451334535465786,0.1659013189522028,0.1028267028041439,21.814688341030894,1.9648085432862668,1.2178009519366588,5.270336007191968,0.9175258022000802,0.5686883839973754,1.9356590179925046,0.6301645400891343,0.39058002848141343,0.7109516398475499,0.03634774700089428,0.022528566994322517,0.042101140496305735,0.012341761830271095,0.007649503233705077,3.418195928325159e-05,2.4602824694866694e-05,1.524898873028471e-05
proposed_fixed_comp,0.9,10,0.794682422451994,0.04079895167947954,0.025287452237044237,0.7569987124930375,0.06317776882004307,0.0391579868039453,0.5031818181818182,0.0826298240615401,0.05121449555191657,0.6525152444289632,0.06175972881937802,0.03827907650574096,0.11604457255707164,0.016571433274841136,0.010271080755432205,31231811.378314078,1615524.571611917,1001312.5034032455,16204800.0,0.0,0.0,32390400.0,0.0,0.0,1.0615,0.03574990287477094,0.022158019365959184,1.9273185339105736,0.09969419996617858,0.06179110531467552,49.25836042756002,3.1950078849625196,1.9802864035010446,3.6469865908188526,0.5680493041620361,0.3520806063874567,0.8068701656378708,0.5189185945090233,0.32162907705692423,0.7031917505206887,0.0466813677000317,0.028933411459887537,0.10097740472038434,0.030788881248731484,0.019083146305470373,7.818647167513074e-05,3.24601191889282e-05,2.011899031247991e-05
fedcg_adapted,0.9,10,0.8760216642048253,0.005397618195593501,0.0033454784178565625,0.8705372646672875,0.0066751576854101905,0.004137305597228086,0.5366666666666667,0.04360314860077462,0.02702551149571341,0.7194566167290886,0.019553731354844724,0.012119528255926451,0.10928416504953113,0.007988366803788186,0.004951241041430611,9311113.476471554,626957.4595425719,388592.2593647295,5007902.4,144754.13205017673,89719.54056787014,32390400.0,0.0,0.0,1.0859999999999999,0.023897931105246583,0.014812091157039402,1.8746699408509873,0.10717925948790896,0.06643039327075284,15.341271258058402,1.0411122922173122,0.6452880841074778,6.135083508835053,0.2910369900349945,0.1803865952865808,0.6434742911152924,0.21779477040793954,0.13499059724465556,0.6978616643165274,0.062183820764544935,0.038541931416616465,0.13411011069216747,0.032042412976440254,0.01986009331972413,6.962678667563181e-05,3.9153247235881686e-05,2.4267434055187287e-05
proposed,0.9,10,0.8867060561299853,0.0020161063698115023,0.0012495956742205041,0.8826666012507411,0.001761651264231951,0.0010918827658260638,0.5683333333333334,0.04743416490252569,0.029399999999999996,0.7538068658416611,0.017032084264802915,0.01055659519703156,0.10063279944920027,0.007112695069572252,0.0044084940775312295,11253027.880925816,568259.7458229775,352211.03948023677,5063731.2,106633.7767426438,66092.29956247841,32390400.0,0.0,0.0,1.2055,0.05609763314476324,0.034769673248073174,2.259489777565928,0.12354233548480617,0.07657233284737144,19.199521551518746,1.211794661225465,0.7510781124373012,5.540398369532537,0.7407124520082998,0.4590983341605003,1.2421220972369713,0.44324311853775766,0.27472493110796187,0.817237423790278,0.03409339291670247,0.02113130385684689,0.027457506262656844,0.005420737305037042,0.0033598077903465562,6.41251747947287e-05,2.9306157671514635e-05,1.8164144711160566e-05
