report_period_s,mode,RDR_mean,RDR_sd,delay_ms_mean,delay_ms_sd,p95_delay_ms_mean,cca_per_report_mean,busy_cca_per_report_mean,access_fail_per_report_mean,retries_per_report_mean,collisions_per_report_mean,airtime_ratio_mean,input_payload_bits_mean,input_hops_mean
2.5,J4,20.68,1.7848337678751398,87.32665755841644,4.2854353537112795,130.03563999996504,11.698350000000001,7.477549999999999,0.7932,0.035225,0.0,0.6861332479999448,4000.0,2.0619722756551404
2.5,J5,52.7325,3.555176914688894,48.693458803446504,2.061860488840735,79.69305999997988,9.7209,5.51475,0.472675,0.038024999999999996,0.0,0.5446300799999683,1719.2,2.0661565882110997
2.5,J6,52.83,4.079099487825585,48.560676625190865,2.249299775777686,79.20341999998035,9.6986,5.487,0.47169999999999995,0.03735,0.0,0.543779327999944,1712.0,2.074600545342684
5.0,J4,46.019999999999996,3.0781658927286384,77.61948896093133,3.7117962186513846,116.71804000003172,12.3265,5.859775,0.5398,0.06,0.0,0.5256154079999555,4000.0,2.0619722756551404
5.0,J5,78.72749999999999,3.4173117705064753,41.50654024879887,2.403452231844881,67.1847600000226,8.68425,3.288525,0.212725,0.051775,0.0,0.34389267199998275,1719.2,2.0661565882110997
5.0,J6,78.5375,3.38968539915774,41.60818951165609,2.346351936480264,68.02318000000045,8.722375,3.309925,0.214625,0.053625,0.0,0.34393279999995585,1712.0,2.074600545342684
10.0,J4,68.85,4.224708024791401,70.86279781137723,3.7505832491898268,105.23871999992855,11.983475,3.750175,0.3115,0.079325,0.0,0.3346013119999711,4000.0,2.0619722756551404
10.0,J5,90.9475,2.6978780648190117,37.017797240852644,2.200515541052958,58.97189999995665,7.611325000000001,1.7133500000000002,0.090525,0.05795,0.0,0.18684488799999072,1719.2,2.0661565882110997
10.0,J6,90.685,3.1419529628962652,37.07356413605771,2.232940185853675,58.638719999925755,7.637975,1.72805,0.09315,0.058050000000000004,0.0,0.18672037599997443,1712.0,2.074600545342684
