round,alive_nodes,dead_nodes,round_airtime_s,elapsed_channel_time_s,generated_round,delivered_round,channel_drops_round,energy_drops_round,route_drops_round,fallback_direct_round,generated_total,attempted_total,delivered_total,channel_drops_total,energy_drops_total,route_drops_total,pdr,goodput_bps,average_delay_s,frame_attempts,retransmissions,residual_energy_j
39,100,0,0.7045439999999997,27.50179199999997,100,100,0,0,0,0,3900,3900,3900,0,0,0,1.0,141808.94103191546,0.36322891478999236,9603,9,48.58488011626834
40,100,0,0.7086079999999998,28.210399999999968,100,100,0,0,0,0,4000,4000,4000,0,0,0,1.0,141791.67966423745,0.36309961466372115,9850,10,48.548605157984156
41,100,0,0.7045439999999998,28.914943999999966,100,100,0,0,0,0,4100,4100,4100,0,0,0,1.0,141795.1907498076,0.3628571526177923,10096,10,48.51248385552926
42,100,0,0.7045439999999998,29.619487999999965,100,100,0,0,0,0,4200,4200,4200,0,0,0,1.0,141798.53480249236,0.36265760398834257,10342,10,48.476614599260955
43,100,0,0.7045439999999998,30.324031999999963,100,100,0,0,0,0,4300,4300,4300,0,0,0,1.0,141801.7234647426,0.36249797484041374,10588,10,48.44010424751524
44,100,0,0.7045439999999998,31.028575999999962,100,100,0,0,0,0,4400,4400,4400,0,0,0,1.0,141804.76732158143,0.36224536156517984,10834,10,48.404179242070036
45,100,0,0.7045439999999997,31.73311999999996,100,100,0,0,0,0,4500,4500,4500,0,0,0,1.0,141807.67601799022,0.36203325199845643,11080,10,48.36820915935211
46,100,0,0.7045439999999997,32.43766399999996,100,100,0,0,0,0,4600,4600,4600,0,0,0,1.0,141810.45836099682,0.36185900458908876,11326,10,48.33253304874002
47,100,0,0.7045439999999998,33.14220799999996,100,100,0,0,0,0,4700,4700,4700,0,0,0,1.0,141813.12240874252,0.3615983302335023,11572,10,48.295949509593015
48,100,0,0.7062079999999998,33.84841599999996,100,100,0,0,0,0,4800,4800,4800,0,0,0,1.0,141808.70384008533,0.3613770039945975,11819,11,48.26004219152726
49,100,0,0.7086079999999999,34.557023999999956,100,100,0,0,0,0,4900,4900,4900,0,0,0,1.0,141794.61749947004,0.3611972143245984,12066,12,48.223990506061575
50,100,0,0.7045439999999998,35.261567999999954,100,100,0,0,0,0,5000,5000,5000,0,0,0,1.0,141797.43793582878,0.36104446265110757,12312,12,48.18743242629392
51,100,0,1.4770559999999995,36.73862399999995,100,100,0,0,0,0,5100,5100,5100,0,0,0,1.0,142301.02902057537,0.3681038251433391,12718,12,48.11133987401361
52,100,0,1.3618559999999995,38.10047999999995,100,100,0,0,0,0,5200,5200,5200,0,0,0,1.0,142736.25949069427,0.37434724912581907,13102,12,48.038988369976195
53,100,0,1.1620479999999993,39.262527999999946,100,100,0,0,0,0,5300,5300,5300,0,0,0,1.0,143184.6670698333,0.3784004397319484,13440,13,47.98195624955007
54,100,0,1.696255999999998,40.958783999999945,100,100,0,0,0,0,5400,5400,5400,0,0,0,1.0,143893.92028825876,0.3865444425559572,13888,13,47.89895825442651
55,100,0,1.4165759999999994,42.375359999999944,100,100,0,0,0,0,5500,5500,5500,0,0,0,1.0,144396.17740120692,0.39185006270326644,14279,13,47.83351318317645
56,100,0,1.5100479999999996,43.88540799999994,100,100,0,0,0,0,5600,5600,5600,0,0,0,1.0,144846.3234066323,0.39736101355857595,14692,13,47.760271106392786
57,100,0,1.3693439999999995,45.25475199999994,100,100,0,0,0,0,5700,5700,5700,0,0,0,1.0,145154.61271337888,0.4018808770095902,15076,13,47.69575972711499
58,100,0,1.4375679999999993,46.69231999999994,100,100,0,0,0,0,5800,5800,5800,0,0,0,1.0,145598.76228039234,0.4067890486272178,15469,13,47.62914562155885
59,100,0,1.4811199999999989,48.173439999999935,100,100,0,0,0,0,5900,5900,5900,0,0,0,1.0,145975.8738425159,0.4125696428887941,15874,14,47.56059077281676
60,100,0,1.4284159999999986,49.601855999999934,100,100,0,0,0,0,6000,6000,6000,0,0,0,1.0,146314.20243629612,0.4175426173392584,16268,14,47.49424235124816
61,100,0,1.6463679999999983,51.24822399999993,100,100,0,0,0,0,6100,6100,6100,0,0,0,1.0,146723.9918401857,0.42452078477694066,16705,14,47.420395130523424
62,100,0,1.6126079999999994,52.86083199999993,100,100,0,0,0,0,6200,6200,6200,0,0,0,1.0,146831.89246813237,0.4307357958265851,17140,14,47.33086870030058
63,100,0,1.4055359999999997,54.26636799999993,100,100,0,0,0,0,6300,6300,6300,0,0,0,1.0,146947.2952381853,0.43515989985737097,17535,14,47.25674171618056
64,100,0,1.146016,55.41238399999993,100,100,0,0,0,0,6400,6400,6400,0,0,0,1.0,147000.0641011946,0.4366810556555884,17867,14,47.20143530896557
65,100,0,1.3208959999999998,56.73327999999993,100,100,0,0,0,0,6500,6500,6500,0,0,0,1.0,147046.81273495927,0.4399204528121662,18241,14,47.132047114760276
66,100,0,1.0191359999999994,57.752415999999926,100,100,0,0,0,0,6600,6600,6600,0,0,0,1.0,147013.3474589186,0.4407969155096944,18551,14,47.08209956583953
67,100,0,1.17952,58.93193599999992,100,100,0,0,0,0,6700,6700,6700,0,0,0,1.0,147158.37606285344,0.4430032461815242,18894,16,47.02218143280202
68,100,0,1.1527999999999994,60.08473599999992,100,100,0,0,0,0,6800,6800,6800,0,0,0,1.0,147282.39797874808,0.44488222358852714,19228,16,46.965856816905365
69,100,0,1.1980799999999996,61.28281599999992,100,100,0,0,0,0,6900,6900,6900,0,0,0,1.0,147353.80306283594,0.4470449222448841,19577,16,46.9065970344131
70,100,0,1.1367679999999998,62.419583999999915,100,100,0,0,0,0,7000,7000,7000,0,0,0,1.0,147384.1286734627,0.44860785922193475,19910,16,46.848878857007875
71,100,0,1.1842239999999995,63.603807999999916,100,100,0,0,0,0,7100,7100,7100,0,0,0,1.0,147471.2960582488,0.4508265647449221,20253,16,46.790376774752865
72,100,0,1.3260800000000006,64.92988799999992,100,100,0,0,0,0,7200,7200,7200,0,0,0,1.0,147616.33348266382,0.45373622178662815,20627,16,46.72550167332584
73,100,0,1.385856,66.31574399999992,100,100,0,0,0,0,7300,7300,7300,0,0,0,1.0,147665.32665304956,0.4566441764139831,21011,17,46.65349713697477
74,100,0,1.1493759999999995,67.46511999999993,100,100,0,0,0,0,7400,7400,7400,0,0,0,1.0,147732.28002855417,0.4581373647076328,21345,17,46.59380941639343
75,100,0,1.913855999999998,69.37897599999992,100,100,0,0,0,0,7500,7500,7500,0,0,0,1.0,147952.25573810734,0.46487463012735597,21842,18,46.4949369477111
76,100,0,1.7917439999999984,71.17071999999992,100,100,0,0,0,0,7600,7600,7600,0,0,0,1.0,148113.04424066545,0.4705502243566433,22317,19,46.40141875035671
77,100,0,1.4566399999999995,72.62735999999991,100,100,0,0,0,0,7700,7700,7700,0,0,0,1.0,148177.32601047336,0.4739012535113793,22724,19,46.32786428161934
78,100,0,1.503519999999999,74.1308799999999,100,100,0,0,0,0,7800,7800,7800,0,0,0,1.0,148317.24647002725,0.4771076060391745,23138,19,46.25032724076161
79,100,0,1.7327999999999992,75.8636799999999,100,100,0,0,0,0,7900,7900,7900,0,0,0,1.0,148506.47898968274,0.48208941697798796,23601,19,46.162956144534746
80,100,0,1.4446079999999992,77.3082879999999,100,100,0,0,0,0,8000,8000,8000,0,0,0,1.0,148587.01825087646,0.4850004946428649,24000,19,46.08823147121193
81,100,0,1.5023999999999993,78.8106879999999,100,100,0,0,0,0,8100,8100,8100,0,0,0,1.0,148683.69122726115,0.48836386964731177,24416,19,46.012797075294976
82,100,0,1.6362879999999989,80.44697599999989,100,100,0,0,0,0,8200,8200,8200,0,0,0,1.0,148748.1145344732,0.4925107838106783,24857,21,45.92545272254913
83,100,0,1.596575999999999,82.04355199999989,100,100,0,0,0,0,8300,8300,8300,0,0,0,1.0,148813.83975184322,0.49588344750898944,25293,21,45.83962657112877
84,100,0,1.4545599999999983,83.49811199999989,100,100,0,0,0,0,8400,8400,8400,0,0,0,1.0,148776.05855327623,0.49853689539475193,25696,21,45.763642586133045
85,100,0,1.8945279999999978,85.39263999999989,100,100,0,0,0,0,8500,8500,8500,0,0,0,1.0,148956.72507607233,0.503800895568402,26187,21,45.66714619101718
86,100,0,1.004191999999999,86.39683199999989,100,100,0,0,0,0,8600,8600,8600,0,0,0,1.0,148941.01672616904,0.5041613162086128,26491,21,45.61676560757616
87,100,0,0.9846399999999997,87.38147199999989,100,100,0,0,0,0,8700,8700,8700,0,0,0,1.0,148982.33804072352,0.5040195074056586,26789,21,45.570134986249016
88,100,0,1.1051519999999997,88.48662399999989,100,100,0,0,0,0,8800,8800,8800,0,0,0,1.0,149033.59856965518,0.5047544342529545,27115,21,45.51506554866341
89,100,0,1.0688319999999993,89.5554559999999,100,100,0,0,0,0,8900,8900,8900,0,0,0,1.0,149082.32950095207,0.5049869636543863,27435,21,45.46184476303725
90,100,0,1.1164159999999994,90.6718719999999,100,100,0,0,0,0,9000,9000,9000,0,0,0,1.0,149085.97012312722,0.5056268626137088,27760,21,45.404426154439086
91,100,0,1.0753279999999998,91.74719999999989,100,100,0,0,0,0,9100,9100,9100,0,0,0,1.0,149125.85888179712,0.5061070345550645,28079,22,45.35136491344665
92,100,0,1.0993599999999994,92.8465599999999,100,100,0,0,0,0,9200,9200,9200,0,0,0,1.0,149168.5206215504,0.5066313488552722,28405,23,45.295692196384465
93,100,0,1.2023999999999992,94.0489599999999,100,100,0,0,0,0,9300,9300,9300,0,0,0,1.0,149229.42263263746,0.5078461406952074,28751,23,45.23454384950122
94,100,0,1.0748799999999994,95.12383999999989,100,100,0,0,0,0,9400,9400,9400,0,0,0,1.0,149233.84085419614,0.5082250671740335,29076,23,45.17998610923579
95,100,0,1.2013119999999995,96.32515199999989,100,100,0,0,0,0,9500,9500,9500,0,0,0,1.0,149265.68711773242,0.5095870663566918,29423,23,45.11668570522874
96,100,0,1.7337919999999987,98.05894399999988,100,100,0,0,0,0,9600,9600,9600,0,0,0,1.0,149412.66346902552,0.5136858405642206,29887,23,45.029431901019116
97,100,0,1.2502719999999987,99.30921599999988,100,100,0,0,0,0,9700,9700,9700,0,0,0,1.0,149480.9102107907,0.5149736907596829,30241,23,44.962735922656904
98,100,0,1.317823999999999,100.62703999999988,100,100,0,0,0,0,9800,9800,9800,0,0,0,1.0,149545.6489627442,0.5167203815661514,30608,23,44.89516049377828
99,100,0,1.4357439999999986,102.06278399999988,100,100,0,0,0,0,9900,9900,9900,0,0,0,1.0,149643.3411026689,0.5191501792314452,31006,23,44.81752135940718
