round,alive_nodes,dead_nodes,round_airtime_s,elapsed_channel_time_s,generated_round,delivered_round,channel_drops_round,energy_drops_round,route_drops_round,fallback_direct_round,generated_total,attempted_total,delivered_total,channel_drops_total,energy_drops_total,route_drops_total,pdr,goodput_bps,average_delay_s,frame_attempts,retransmissions,residual_energy_j
1,100,0,0.7503679999999999,0.7503679999999999,100,100,0,0,0,0,100,100,100,0,0,0,1.0,133267.9431958719,0.38004573103084466,262,0,49.95584198085278
2,100,0,0.7503679999999999,1.5007359999999998,100,100,0,0,0,0,200,200,200,0,0,0,1.0,133267.9431958719,0.38093356880709656,524,0,49.914649514129074
3,100,0,0.7503679999999999,2.2511039999999998,100,100,0,0,0,0,300,300,300,0,0,0,1.0,133267.9431958719,0.37991207467317817,786,0,49.87311076558316
4,100,0,0.750368,3.0014719999999997,100,100,0,0,0,0,400,400,400,0,0,0,1.0,133267.9431958719,0.37841324729727915,1048,0,49.83234383288698
5,100,0,0.7503679999999999,3.7518399999999996,100,100,0,0,0,0,500,500,500,0,0,0,1.0,133267.9431958719,0.3778690869073746,1310,0,49.79161645312845
6,100,0,0.7503679999999998,4.5022079999999995,100,100,0,0,0,0,600,600,600,0,0,0,1.0,133267.9431958719,0.3778022601908536,1572,0,49.74943533261861
7,100,0,0.7503679999999998,5.2525759999999995,100,100,0,0,0,0,700,700,700,0,0,0,1.0,133267.9431958719,0.3780081954699507,1834,0,49.708484903901564
8,100,0,0.7503679999999999,6.002943999999999,100,100,0,0,0,0,800,800,800,0,0,0,1.0,133267.9431958719,0.37766860672570707,2096,0,49.668522504637664
9,100,0,0.7503679999999999,6.753311999999999,100,100,0,0,0,0,900,900,900,0,0,0,1.0,133267.9431958719,0.3776017798193892,2358,0,49.62845498748018
10,100,0,0.7503679999999999,7.503679999999999,100,100,0,0,0,0,1000,1000,1000,0,0,0,1.0,133267.9431958719,0.37715308626631777,2620,0,49.588544049828464
11,100,0,0.7503679999999999,8.254048,100,100,0,0,0,0,1100,1100,1100,0,0,0,1.0,133267.9431958719,0.3769473989998719,2882,0,49.54821202829464
12,100,0,0.7544319999999999,9.008479999999999,100,100,0,0,0,0,1200,1200,1200,0,0,0,1.0,133207.8219633057,0.37655839291702536,3145,1,49.50711941253476
13,100,0,0.7503679999999999,9.758847999999999,100,100,0,0,0,0,1300,1300,1300,0,0,0,1.0,133212.44474757678,0.3762626614878713,3407,1,49.46777418277333
14,100,0,0.7503679999999999,10.509215999999999,100,100,0,0,0,0,1400,1400,1400,0,0,0,1.0,133216.40738947608,0.3757268689402241,3669,1,49.42679575232039
15,100,0,0.7503679999999999,11.259583999999998,100,100,0,0,0,0,1500,1500,1500,0,0,0,1.0,133219.84186982398,0.3749990273512844,3931,1,49.386480783240856
16,100,0,0.7503679999999999,12.009951999999998,100,100,0,0,0,0,1600,1600,1600,0,0,0,1.0,133222.84718540093,0.37447314597023396,4193,1,49.34626857128496
17,100,0,0.750368,12.760319999999998,100,100,0,0,0,0,1700,1700,1700,0,0,0,1.0,133225.49904704586,0.3737766435682077,4455,1,49.30675199318913
18,100,0,0.7503679999999999,13.510687999999998,100,100,0,0,0,0,1800,1800,1800,0,0,0,1.0,133227.8563460277,0.37325617930606,4717,1,49.26570217211636
19,100,0,0.750368,14.261055999999998,100,100,0,0,0,0,1900,1900,1900,0,0,0,1.0,133229.9655789866,0.3725824838041355,4979,1,49.2250264589636
20,100,0,0.750368,15.011423999999998,100,100,0,0,0,0,2000,2000,2000,0,0,0,1.0,133231.86394575227,0.3720649418879001,5241,1,49.185273227516255
21,100,0,0.750368,15.761791999999998,100,100,0,0,0,0,2100,2100,2100,0,0,0,1.0,133233.58156229954,0.3716812458592307,5503,1,49.14492709338128
22,100,0,0.7503679999999999,16.512159999999998,100,100,0,0,0,0,2200,2200,2200,0,0,0,1.0,133235.1430703191,0.3714131440539568,5765,1,49.104080674524106
23,100,0,0.7503679999999999,17.262527999999996,100,100,0,0,0,0,2300,2300,2300,0,0,0,1.0,133236.5688269992,0.3712455589025537,6027,1,49.063908133064125
24,100,0,0.7503679999999999,18.012895999999998,100,100,0,0,0,0,2400,2400,2400,0,0,0,1.0,133237.87579742871,0.3711659258629757,6289,1,49.02331514485145
25,100,0,0.7503679999999999,18.763264,100,100,0,0,0,0,2500,2500,2500,0,0,0,1.0,133239.07823287035,0.37116369062265947,6551,1,48.98338933811741
