round,alive_nodes,dead_nodes,round_airtime_s,elapsed_channel_time_s,generated_round,delivered_round,channel_drops_round,energy_drops_round,route_drops_round,fallback_direct_round,generated_total,attempted_total,delivered_total,channel_drops_total,energy_drops_total,route_drops_total,pdr,goodput_bps,average_delay_s,frame_attempts,retransmissions,residual_energy_j
1,100,0,0.7217279999999998,0.7217279999999998,100,100,0,0,0,0,100,100,100,0,0,0,1.0,138556.35364015255,0.3585729945911731,252,0,49.96014364995724
2,100,0,0.7217279999999999,1.4434559999999999,100,100,0,0,0,0,200,200,200,0,0,0,1.0,138556.35364015255,0.3564536313782506,504,0,49.92259548878291
3,100,0,0.7217279999999998,2.1651839999999996,100,100,0,0,0,0,300,300,300,0,0,0,1.0,138556.35364015255,0.3562436039206309,756,0,49.884673754506764
4,100,0,0.7217279999999998,2.8869119999999993,100,100,0,0,0,0,400,400,400,0,0,0,1.0,138556.35364015255,0.35507891082190385,1008,0,49.84516651154979
5,100,0,0.7217279999999998,3.608639999999999,100,100,0,0,0,0,500,500,500,0,0,0,1.0,138556.35364015255,0.3546779508994586,1260,0,49.80631773911038
6,100,0,0.7217279999999997,4.330367999999998,100,100,0,0,0,0,600,600,600,0,0,0,1.0,138556.35364015258,0.3546588572267409,1512,0,49.76861971127772
7,100,0,0.7217279999999997,5.052095999999998,100,100,0,0,0,0,700,700,700,0,0,0,1.0,138556.35364015258,0.35485797321363866,1764,0,49.73087336993529
8,100,0,0.7217279999999996,5.773823999999998,100,100,0,0,0,0,800,800,800,0,0,0,1.0,138556.35364015258,0.3551934703057823,2016,0,49.69252317147309
9,100,0,0.7217279999999996,6.495551999999997,100,100,0,0,0,0,900,900,900,0,0,0,1.0,138556.35364015258,0.35561988809110434,2268,0,49.65395838886316
10,100,0,0.7217279999999996,7.217279999999997,100,100,0,0,0,0,1000,1000,1000,0,0,0,1.0,138556.35364015258,0.35610995022140396,2520,0,49.61593615203843
11,100,0,0.7217279999999996,7.939007999999997,100,100,0,0,0,0,1100,1100,1100,0,0,0,1.0,138556.35364015258,0.3566462993127545,2772,0,49.57790068439793
12,100,0,0.7217279999999996,8.660735999999996,100,100,0,0,0,0,1200,1200,1200,0,0,0,1.0,138556.35364015258,0.35721736347387667,3024,0,49.53985395110133
13,100,0,0.7217279999999996,9.382463999999995,100,100,0,0,0,0,1300,1300,1300,0,0,0,1.0,138556.3536401526,0.3578151316000142,3276,0,49.502333470676
14,100,0,0.7217279999999996,10.104191999999994,100,100,0,0,0,0,1400,1400,1400,0,0,0,1.0,138556.3536401526,0.35802473857086875,3528,0,49.46399359691052
15,100,0,0.7217279999999996,10.825919999999993,100,100,0,0,0,0,1500,1500,1500,0,0,0,1.0,138556.3536401526,0.3583056833557484,3780,0,49.42569552837735
16,100,0,0.7257919999999995,11.551711999999993,100,100,0,0,0,0,1600,1600,1600,0,0,0,1.0,138507.60822291978,0.35886810991614465,4033,1,49.387371144435896
17,100,0,0.7217279999999995,12.273439999999992,100,100,0,0,0,0,1700,1700,1700,0,0,0,1.0,138510.4746509537,0.3592416016351453,4285,1,49.34962451126395
18,100,0,0.7233919999999995,12.99683199999999,100,100,0,0,0,0,1800,1800,1800,0,0,0,1.0,138495.28869804592,0.35973121207802944,4538,2,49.311340834321065
19,100,0,0.7217279999999995,13.71855999999999,100,100,0,0,0,0,1900,1900,1900,0,0,0,1.0,138498.50130042815,0.36017672875697027,4790,2,49.273176550611915
20,100,0,0.7217279999999995,14.440287999999988,100,100,0,0,0,0,2000,2000,2000,0,0,0,1.0,138501.3927700058,0.36065215786375054,5042,2,49.23535034570163
21,100,0,0.7217279999999995,15.162015999999987,100,100,0,0,0,0,2100,2100,2100,0,0,0,1.0,138504.00896556248,0.3611532260697251,5294,2,49.19713649624762
22,100,0,0.7217279999999996,15.883743999999986,100,100,0,0,0,0,2200,2200,2200,0,0,0,1.0,138506.3874109279,0.36141607349623617,5546,2,49.159407739879335
23,100,0,0.7217279999999997,16.605471999999985,100,100,0,0,0,0,2300,2300,2300,0,0,0,1.0,138508.55910629954,0.3614717724806669,5798,2,49.120813257424274
24,100,0,0.7217279999999997,17.327199999999984,100,100,0,0,0,0,2400,2400,2400,0,0,0,1.0,138510.54988688318,0.3615848831720575,6050,2,49.08307447599167
25,100,0,0.7217279999999996,18.048927999999982,100,100,0,0,0,0,2500,2500,2500,0,0,0,1.0,138512.3814555636,0.3617485161972197,6302,2,49.045171848996844
26,100,0,0.7217279999999996,18.77065599999998,100,100,0,0,0,0,2600,2600,2600,0,0,0,1.0,138514.07217733905,0.3619568420811148,6554,2,49.00729357376336
27,100,0,0.7217279999999996,19.49238399999998,100,100,0,0,0,0,2700,2700,2700,0,0,0,1.0,138515.63769726694,0.3622048949323003,6806,2,48.96945370583404
28,100,0,0.7257919999999995,20.21817599999998,100,100,0,0,0,0,2800,2800,2800,0,0,0,1.0,138489.2484861148,0.36263356117498485,7059,3,48.93129846658683
29,100,0,0.7217279999999996,20.939903999999977,100,100,0,0,0,0,2900,2900,2900,0,0,0,1.0,138491.5613748756,0.36294388077121603,7311,3,48.89304955220197
30,100,0,0.7217279999999995,21.661631999999976,100,100,0,0,0,0,3000,3000,3000,0,0,0,1.0,138493.7201407541,0.36328315505372694,7563,3,48.855224525460116
31,100,0,0.7217279999999995,22.383359999999975,100,100,0,0,0,0,3100,3100,3100,0,0,0,1.0,138495.73969234305,0.36364858198744854,7815,3,48.81707441939711
32,100,0,0.7217279999999994,23.105087999999974,100,100,0,0,0,0,3200,3200,3200,0,0,0,1.0,138497.6330754509,0.36403770973108573,8067,3,48.77875933901824
33,100,0,0.7233919999999995,23.828479999999974,100,100,0,0,0,0,3300,3300,3300,0,0,0,1.0,138489.7400085949,0.36428338002720245,8320,4,48.74092794642588
34,100,0,0.7217279999999995,24.550207999999973,100,100,0,0,0,0,3400,3400,3400,0,0,0,1.0,138491.6983188087,0.3645500814950544,8572,4,48.70264432924868
35,100,0,0.7217279999999994,25.27193599999997,100,100,0,0,0,0,3500,3500,3500,0,0,0,1.0,138493.54477630855,0.36484409372437177,8824,4,48.664607951574204
36,100,0,0.7217279999999994,25.99366399999997,100,100,0,0,0,0,3600,3600,3600,0,0,0,1.0,138495.28869804594,0.3651631408146983,9076,4,48.62683719511253
37,100,0,0.7217279999999993,26.71539199999997,100,100,0,0,0,0,3700,3700,3700,0,0,0,1.0,138496.93839416633,0.3655051929257992,9328,4,48.588814585860455
38,100,0,0.7217279999999993,27.437119999999968,100,100,0,0,0,0,3800,3800,3800,0,0,0,1.0,138498.5013004282,0.3658684338981658,9580,4,48.55051248375554
39,100,0,0.7217279999999994,28.158847999999967,100,100,0,0,0,0,3900,3900,3900,0,0,0,1.0,138499.9840902584,0.36610436198793656,9832,4,48.51263789084766
40,100,0,0.7217279999999995,28.880575999999966,100,100,0,0,0,0,4000,4000,4000,0,0,0,1.0,138501.39277000586,0.36622252565995345,10084,4,48.47487772971433
41,100,0,0.7217279999999995,29.602303999999965,100,100,0,0,0,0,4100,4100,4100,0,0,0,1.0,138502.732760261,0.366371249188804,10336,4,48.43676487308754
42,100,0,0.7217279999999996,30.324031999999963,100,100,0,0,0,0,4200,4200,4200,0,0,0,1.0,138504.00896556253,0.3664119687469394,10588,4,48.39819086236753
43,100,0,0.7217279999999996,31.045759999999962,100,100,0,0,0,0,4300,4300,4300,0,0,0,1.0,138505.22583438142,0.3664854287502518,10840,4,48.36064838750839
44,100,0,0.7257919999999995,31.77155199999996,100,100,0,0,0,0,4400,4400,4400,0,0,0,1.0,138488.67061955316,0.3666752951276825,11093,5,48.32145624430298
45,100,0,0.7217279999999995,32.49327999999996,100,100,0,0,0,0,4500,4500,4500,0,0,0,1.0,138490.17396827912,0.36680582876256973,11345,5,48.28338089060735
46,100,0,0.7257919999999994,33.21907199999996,100,100,0,0,0,0,4600,4600,4600,0,0,0,1.0,138474.6690094174,0.36697101397102105,11598,6,48.24507727310469
47,100,0,0.7217279999999994,33.94079999999996,100,100,0,0,0,0,4700,4700,4700,0,0,0,1.0,138476.4059774668,0.36715307471540537,11850,6,48.20712268151468
48,100,0,0.7217279999999995,34.66252799999996,100,100,0,0,0,0,4800,4800,4800,0,0,0,1.0,138478.07061273794,0.3673585762589035,12102,6,48.16927777456232
49,100,0,0.7217279999999995,35.38425599999996,100,100,0,0,0,0,4900,4900,4900,0,0,0,1.0,138479.66734131717,0.36758608346911453,12354,6,48.13119158772068
50,100,0,0.7217279999999996,36.10598399999996,100,100,0,0,0,0,5000,5000,5000,0,0,0,1.0,138481.20023539604,0.36771971599768644,12606,6,48.092905927122615
51,100,0,1.1113599999999995,37.217343999999954,100,100,0,0,0,0,5100,5100,5100,0,0,0,1.0,138778.7371393296,0.37154334881973045,12941,6,48.03547348023034
52,100,0,1.2316799999999992,38.44902399999995,100,100,0,0,0,0,5200,5200,5200,0,0,0,1.0,139152.3488346546,0.3766871065117155,13301,6,47.967604311245694
