round,alive_nodes,dead_nodes,round_airtime_s,elapsed_channel_time_s,generated_round,delivered_round,channel_drops_round,energy_drops_round,route_drops_round,fallback_direct_round,generated_total,attempted_total,delivered_total,channel_drops_total,energy_drops_total,route_drops_total,pdr,goodput_bps,average_delay_s,frame_attempts,retransmissions,residual_energy_j
1,100,0,0.7732799999999996,0.7732799999999996,100,100,0,0,0,0,100,100,100,0,0,0,1.0,129319.26339747575,0.39337468141927645,270,0,49.96093312007652
2,100,0,0.7732799999999996,1.5465599999999993,100,100,0,0,0,0,200,200,200,0,0,0,1.0,129319.26339747575,0.3943770785503621,540,0,49.922885111153846
3,100,0,0.7732799999999995,2.319839999999999,100,100,0,0,0,0,300,300,300,0,0,0,1.0,129319.26339747575,0.395379478675049,810,0,49.88273651520999
4,100,0,0.7732799999999995,3.093119999999998,100,100,0,0,0,0,400,400,400,0,0,0,1.0,129319.26339747576,0.396381879076954,1080,0,49.84205334342624
5,100,0,0.7732799999999995,3.866399999999998,100,100,0,0,0,0,500,500,500,0,0,0,1.0,129319.26339747576,0.39738427882641314,1350,0,49.803702075580205
6,100,0,0.7732799999999995,4.639679999999998,100,100,0,0,0,0,600,600,600,0,0,0,1.0,129319.26339747575,0.397432012161921,1620,0,49.764813783015484
7,100,0,0.7732799999999995,5.412959999999997,100,100,0,0,0,0,700,700,700,0,0,0,1.0,129319.26339747575,0.3969342214459775,1890,0,49.72628430489035
8,100,0,0.7732799999999995,6.186239999999997,100,100,0,0,0,0,800,800,800,0,0,0,1.0,129319.26339747575,0.3968114783494156,2160,0,49.6886070888372
9,100,0,0.7732799999999995,6.959519999999997,100,100,0,0,0,0,900,900,900,0,0,0,1.0,129319.26339747575,0.3969387671210655,2430,0,49.65008581338877
10,100,0,0.7732799999999995,7.732799999999997,100,100,0,0,0,0,1000,1000,1000,0,0,0,1.0,129319.26339747575,0.3972410780144838,2700,0,49.612675438940954
11,100,0,0.7732799999999996,8.506079999999995,100,100,0,0,0,0,1100,1100,1100,0,0,0,1.0,129319.26339747576,0.3971499505005644,2970,0,49.5749882917257
12,100,0,0.7732799999999996,9.279359999999995,100,100,0,0,0,0,1200,1200,1200,0,0,0,1.0,129319.26339747575,0.39724107779081236,3240,0,49.536361031010614
13,100,0,0.7732799999999996,10.052639999999995,100,100,0,0,0,0,1300,1300,1300,0,0,0,1.0,129319.26339747575,0.3970317853389204,3510,0,49.49883568638507
14,100,0,0.7732799999999995,10.825919999999995,100,100,0,0,0,0,1400,1400,1400,0,0,0,1.0,129319.26339747575,0.39699559185927247,3780,0,49.461132960564775
15,100,0,0.7732799999999995,11.599199999999994,100,100,0,0,0,0,1500,1500,1500,0,0,0,1.0,129319.26339747575,0.39709787752117154,4050,0,49.42336848852421
16,100,0,0.7732799999999995,12.372479999999994,100,100,0,0,0,0,1600,1600,1600,0,0,0,1.0,129319.26339747575,0.39695467745857116,4320,0,49.3850634146446
17,100,0,0.7732799999999994,13.145759999999994,100,100,0,0,0,0,1700,1700,1700,0,0,0,1.0,129319.26339747575,0.39694625394872673,4590,0,49.34601503754225
18,100,0,0.7732799999999996,13.919039999999994,100,100,0,0,0,0,1800,1800,1800,0,0,0,1.0,129319.26339747575,0.39673192201261315,4860,0,49.308015055685075
19,100,0,0.7732799999999995,14.692319999999993,100,100,0,0,0,0,1900,1900,1900,0,0,0,1.0,129319.26339747575,0.39664566708862425,5130,0,49.26997297610889
20,100,0,0.7732799999999995,15.465599999999993,100,100,0,0,0,0,2000,2000,2000,0,0,0,1.0,129319.26339747575,0.3966682776218138,5400,0,49.2314183421641
21,100,0,0.7732799999999995,16.23887999999999,100,100,0,0,0,0,2100,2100,2100,0,0,0,1.0,129319.26339747576,0.3965114395024052,5670,0,49.193214132016344
22,100,0,0.7732799999999996,17.01215999999999,100,100,0,0,0,0,2200,2200,2200,0,0,0,1.0,129319.26339747576,0.39645998657123604,5940,0,49.1557506836685
23,100,0,0.7732799999999996,17.78543999999999,100,100,0,0,0,0,2300,2300,2300,0,0,0,1.0,129319.26339747576,0.39650017320737363,6210,0,49.11712475531021
24,100,0,0.7732799999999995,18.55871999999999,100,100,0,0,0,0,2400,2400,2400,0,0,0,1.0,129319.26339747575,0.39662054417626375,6480,0,49.07933519211622
25,100,0,0.7732799999999995,19.33199999999999,100,100,0,0,0,0,2500,2500,2500,0,0,0,1.0,129319.26339747575,0.39681147748936335,6750,0,49.04194952409006
26,100,0,0.7814079999999995,20.11340799999999,100,100,0,0,0,0,2600,2600,2600,0,0,0,1.0,129267.00437837295,0.3968976682367748,7022,2,49.003101524518314
27,100,0,0.7732799999999994,20.88668799999999,100,100,0,0,0,0,2700,2700,2700,0,0,0,1.0,129268.93914439673,0.3970005500073212,7292,2,48.96535221475063
28,100,0,0.7732799999999995,21.65996799999999,100,100,0,0,0,0,2800,2800,2800,0,0,0,1.0,129270.73576470665,0.39696311168357,7562,2,48.92672137576113
29,100,0,0.7773439999999995,22.437311999999988,100,100,0,0,0,0,2900,2900,2900,0,0,0,1.0,129248.9938188675,0.3970576456428111,7833,3,48.88775803678222
30,100,0,0.7773439999999995,23.214655999999987,100,100,0,0,0,0,3000,3000,3000,0,0,0,1.0,129228.70793347106,0.3970542827458906,8104,4,48.84827186625605
31,100,0,0.7732799999999996,23.987935999999987,100,100,0,0,0,0,3100,3100,3100,0,0,0,1.0,129231.62709788795,0.3970279729340687,8374,4,48.80992418426035
32,100,0,0.7732799999999995,24.761215999999987,100,100,0,0,0,0,3200,3200,3200,0,0,0,1.0,129234.36393430765,0.3970659574134698,8644,4,48.77220922697732
33,100,0,0.7732799999999995,25.534495999999987,100,100,0,0,0,0,3300,3300,3300,0,0,0,1.0,129236.93500745037,0.39716239141076715,8914,4,48.73365680134827
34,100,0,0.7732799999999995,26.307775999999986,100,100,0,0,0,0,3400,3400,3400,0,0,0,1.0,129239.35493444986,0.3973121174337675,9184,4,48.69450838701909
35,100,0,0.7732799999999995,27.081055999999986,100,100,0,0,0,0,3500,3500,3500,0,0,0,1.0,129241.63666291306,0.3975105677057474,9454,4,48.656708396097486
36,100,0,0.7732799999999996,27.854335999999986,100,100,0,0,0,0,3600,3600,3600,0,0,0,1.0,129243.79170266353,0.39759457072699655,9724,4,48.619211019674275
37,100,0,0.7732799999999995,28.627615999999986,100,100,0,0,0,0,3700,3700,3700,0,0,0,1.0,129245.83031992611,0.39772821682084086,9994,4,48.58214027510982
38,100,0,0.7732799999999995,29.400895999999985,100,100,0,0,0,0,3800,3800,3800,0,0,0,1.0,129247.76170086795,0.39790758682191585,10264,4,48.54361656484877
39,100,0,0.7749439999999995,30.175839999999983,100,100,0,0,0,0,3900,3900,3900,0,0,0,1.0,129242.4668211391,0.39815988343619857,10535,5,48.50663293579142
40,100,0,0.7732799999999996,30.949119999999983,100,100,0,0,0,0,4000,4000,4000,0,0,0,1.0,129244.38562388856,0.398276533273122,10805,5,48.46753932759187
41,100,0,0.7732799999999996,31.722399999999983,100,100,0,0,0,0,4100,4100,4100,0,0,0,1.0,129246.21087937868,0.3982966831584832,11075,5,48.430056860315716
42,100,0,0.7732799999999996,32.49567999999998,100,100,0,0,0,0,4200,4200,4200,0,0,0,1.0,129247.94926587174,0.3982272258502593,11345,5,48.39211030325187
43,100,0,0.7732799999999996,33.26895999999998,100,100,0,0,0,0,4300,4300,4300,0,0,0,1.0,129249.6068407309,0.39820762234868107,11615,5,48.35400302169751
44,100,0,0.7732799999999999,34.04223999999998,100,100,0,0,0,0,4400,4400,4400,0,0,0,1.0,129251.1891109399,0.39810429175626627,11885,5,48.31619440029476
45,100,0,0.7732799999999997,34.81551999999998,100,100,0,0,0,0,4500,4500,4500,0,0,0,1.0,129252.70109422473,0.3980501047620878,12155,5,48.27791314603232
46,100,0,0.7732799999999997,35.58879999999998,100,100,0,0,0,0,4600,4600,4600,0,0,0,1.0,129254.14737220707,0.39804185633367256,12425,5,48.23950739302056
47,100,0,0.7732799999999997,36.36207999999998,100,100,0,0,0,0,4700,4700,4700,0,0,0,1.0,129255.53213677554,0.39795474190804103,12695,5,48.20051458237041
48,100,0,0.7732799999999999,37.13535999999998,100,100,0,0,0,0,4800,4800,4800,0,0,0,1.0,129256.85923066325,0.39779369052422847,12965,5,48.16348887851192
49,100,0,0.7732799999999999,37.90863999999998,100,100,0,0,0,0,4900,4900,4900,0,0,0,1.0,129258.13218305913,0.39768012700158323,13235,5,48.12503402506619
50,100,0,0.7732799999999999,38.68191999999998,100,100,0,0,0,0,5000,5000,5000,0,0,0,1.0,129259.35424094778,0.3974966420169303,13505,5,48.08575585143538
51,100,0,1.1279999999999997,39.80991999999998,100,100,0,0,0,0,5100,5100,5100,0,0,0,1.0,129492.54859090406,0.40097208582726585,13847,5,48.02263218888743
52,100,0,1.1002879999999995,40.910207999999976,100,100,0,0,0,0,5200,5200,5200,0,0,0,1.0,129774.3585170724,0.4040722034007809,14180,5,47.964397222399036
53,100,0,1.1282559999999993,42.038463999999976,100,100,0,0,0,0,5300,5300,5300,0,0,0,1.0,130082.3931150292,0.4072716070411698,14520,5,47.90408920097449
54,100,0,1.0983679999999993,43.13683199999998,100,100,0,0,0,0,5400,5400,5400,0,0,0,1.0,130285.3209062734,0.4105212787089927,14854,5,47.84652844303472
55,100,0,1.0555839999999994,44.19241599999997,100,100,0,0,0,0,5500,5500,5500,0,0,0,1.0,130411.5167634194,0.4130725390286937,15180,5,47.79282517812578
56,100,0,1.0717119999999996,45.26412799999997,100,100,0,0,0,0,5600,5600,5600,0,0,0,1.0,130566.96905770512,0.41565442004054276,15513,5,47.74081348581578
57,100,0,1.0407999999999995,46.30492799999997,100,100,0,0,0,0,5700,5700,5700,0,0,0,1.0,130681.9006391718,0.4177759010682164,15832,5,47.68753321752849
58,100,0,1.1065599999999993,47.41148799999997,100,100,0,0,0,0,5800,5800,5800,0,0,0,1.0,130839.00678249128,0.4205177779222828,16170,6,47.633489257276736
59,100,0,1.0937279999999996,48.50521599999997,100,100,0,0,0,0,5900,5900,5900,0,0,0,1.0,130994.07700813051,0.4227790107706577,16503,6,47.577124577081044
60,100,0,1.0831999999999995,49.58841599999997,100,100,0,0,0,0,6000,6000,6000,0,0,0,1.0,131071.90195387577,0.4245877865677065,16835,6,47.52028809209804
61,100,0,1.1805759999999994,50.76899199999997,100,100,0,0,0,0,6100,6100,6100,0,0,0,1.0,131206.70191758,0.4274481880453784,17184,6,47.45762490064367
62,100,0,1.1707519999999996,51.93974399999997,100,100,0,0,0,0,6200,6200,6200,0,0,0,1.0,131343.42749167196,0.4300653766039369,17533,6,47.39404084232057
63,100,0,1.3260159999999996,53.26575999999997,100,100,0,0,0,0,6300,6300,6300,0,0,0,1.0,131597.3338219525,0.4334895267572431,17915,6,47.32741288417753
64,100,0,1.1358079999999993,54.40156799999997,100,100,0,0,0,0,6400,6400,6400,0,0,0,1.0,131692.67474055168,0.4349286022340928,18261,6,47.27123340404044
65,100,0,1.0637759999999994,55.465343999999966,100,100,0,0,0,0,6500,6500,6500,0,0,0,1.0,131754.63222584547,0.4360853480131891,18589,6,47.21637552801395
66,100,0,1.0246079999999995,56.48995199999997,100,100,0,0,0,0,6600,6600,6600,0,0,0,1.0,131783.15322342643,0.43692133423118645,18907,6,47.164695264584566
67,100,0,1.1048319999999994,57.59478399999997,100,100,0,0,0,0,6700,6700,6700,0,0,0,1.0,131790.9621815754,0.4385190354542738,19245,6,47.10793584953476
68,100,0,0.9358079999999995,58.53059199999997,100,100,0,0,0,0,6800,6800,6800,0,0,0,1.0,131822.48353134724,0.4389405736848258,19544,6,47.06079049799263
69,100,0,0.9497279999999997,59.48031999999997,100,100,0,0,0,0,6900,6900,6900,0,0,0,1.0,131876.62742903878,0.4393342319906758,19848,6,47.01474480207878
70,100,0,0.9087039999999996,60.38902399999997,100,100,0,0,0,0,7000,7000,7000,0,0,0,1.0,131911.5208750518,0.4394024166321655,20141,6,46.968575289181494
71,100,0,0.9754239999999995,61.36444799999997,100,100,0,0,0,0,7100,7100,7100,0,0,0,1.0,131930.33203851202,0.4401230445284236,20447,6,46.91880374526571
72,100,0,1.3450239999999989,62.70947199999997,100,100,0,0,0,0,7200,7200,7200,0,0,0,1.0,132139.52750232062,0.4428963483015177,20837,6,46.8545523714258
73,100,0,1.1878719999999992,63.89734399999997,100,100,0,0,0,0,7300,7300,7300,0,0,0,1.0,132183.27196823712,0.4448906706219217,21192,7,46.79351428693183
74,100,0,1.0900479999999995,64.98739199999997,100,100,0,0,0,0,7400,7400,7400,0,0,0,1.0,132284.4898899775,0.4463100328895068,21522,7,46.74062603466662
75,100,0,1.077888,66.06527999999997,100,100,0,0,0,0,7500,7500,7500,0,0,0,1.0,132331.53632286133,0.4475827753881072,21851,7,46.683938983839745
76,100,0,1.1300799999999993,67.19535999999997,100,100,0,0,0,0,7600,7600,7600,0,0,0,1.0,132404.73746996824,0.44927024354687756,22194,7,46.624700916844674
77,100,0,1.2393279999999995,68.43468799999997,100,100,0,0,0,0,7700,7700,7700,0,0,0,1.0,132582.47045708756,0.4516244476459265,22554,7,46.56433785298601
78,100,0,1.1977279999999992,69.63241599999996,100,100,0,0,0,0,7800,7800,7800,0,0,0,1.0,132703.9406474135,0.4535903695706812,22909,7,46.5062956473683
79,100,0,1.0130879999999995,70.64550399999996,100,100,0,0,0,0,7900,7900,7900,0,0,0,1.0,132738.69487858712,0.4541122691718824,23224,7,46.454145830189276
80,100,0,0.9939199999999999,71.63942399999996,100,100,0,0,0,0,8000,8000,8000,0,0,0,1.0,132742.21746953193,0.45448596526138885,23534,7,46.4066421524086
81,100,0,1.1081919999999996,72.74761599999997,100,100,0,0,0,0,8100,8100,8100,0,0,0,1.0,132744.7486389108,0.4557583730514152,23871,7,46.35354758730016
82,100,0,1.2299839999999993,73.97759999999997,100,100,0,0,0,0,8200,8200,8200,0,0,0,1.0,132771.21723332474,0.457794130893309,24236,7,46.291489644592296
83,100,0,1.0099199999999997,74.98751999999996,100,100,0,0,0,0,8300,8300,8300,0,0,0,1.0,132749.66287723617,0.45819798328592787,24548,7,46.24117473172056
84,100,0,1.1972159999999992,76.18473599999996,100,100,0,0,0,0,8400,8400,8400,0,0,0,1.0,132835.00778948693,0.45999170966637365,24903,7,46.18044864586146
85,100,0,1.0447040000000003,77.22943999999995,100,100,0,0,0,0,8500,8500,8500,0,0,0,1.0,132803.96698461112,0.46070173611842286,25227,8,46.12790775808857
86,100,0,1.5299519999999984,78.75939199999995,100,100,0,0,0,0,8600,8600,8600,0,0,0,1.0,132988.53297394686,0.4641093340603057,25656,8,46.06250468048756
87,100,0,1.2056319999999994,79.96502399999994,100,100,0,0,0,0,8700,8700,8700,0,0,0,1.0,133110.09573385495,0.4654824805557602,26010,8,46.01048922565496
88,100,0,1.2271359999999993,81.19215999999994,100,100,0,0,0,0,8800,8800,8800,0,0,0,1.0,133241.5346506363,0.4668520228019256,26370,9,45.95591026613309
89,100,0,1.2707199999999994,82.46287999999994,100,100,0,0,0,0,8900,8900,8900,0,0,0,1.0,133400.4342317417,0.4684531456795269,26741,9,45.89877080804211
90,100,0,1.3038079999999994,83.76668799999995,100,100,0,0,0,0,9000,9000,9000,0,0,0,1.0,133538.14346820072,0.47016200890856946,27117,9,45.84147744220329
91,100,0,1.528031999999998,85.29471999999994,100,100,0,0,0,0,9100,9100,9100,0,0,0,1.0,133701.87509848215,0.4734549481573081,27541,9,45.77344379688226
92,100,0,1.1609280000000002,86.45564799999994,100,100,0,0,0,0,9200,9200,9200,0,0,0,1.0,133739.41746408527,0.4745165208687565,27887,10,45.71433278019554
93,100,0,1.1073279999999994,87.56297599999994,100,100,0,0,0,0,9300,9300,9300,0,0,0,1.0,133720.71776089486,0.47506833074495125,28220,10,45.66026763720403
94,100,0,0.9802879999999998,88.54326399999994,100,100,0,0,0,0,9400,9400,9400,0,0,0,1.0,133760.50830924878,0.4751622893120475,28530,10,45.608853068289825
95,100,0,1.756511999999998,90.29977599999994,100,100,0,0,0,0,9500,9500,9500,0,0,0,1.0,133832.97872189636,0.4795135338110384,29003,10,45.515367088304714
96,100,0,1.4644159999999997,91.76419199999994,100,100,0,0,0,0,9600,9600,9600,0,0,0,1.0,133873.65738478914,0.48243913405522143,29414,11,45.44280270130158
97,100,0,1.3829119999999995,93.14710399999994,100,100,0,0,0,0,9700,9700,9700,0,0,0,1.0,133861.81066885352,0.48469511286205047,29809,11,45.3694147865909
98,100,0,1.3603199999999998,94.50742399999994,100,100,0,0,0,0,9800,9800,9800,0,0,0,1.0,133860.63723417124,0.48687833127944496,30199,11,45.29787217145434
99,100,0,1.7692799999999986,96.27670399999994,100,100,0,0,0,0,9900,9900,9900,0,0,0,1.0,133889.3363029961,0.4913482337524246,30673,11,45.205945111020256
100,100,0,1.2860479999999996,97.56275199999993,100,100,0,0,0,0,10000,10000,10000,0,0,0,1.0,133943.74115236118,0.4928026389864741,31050,11,45.145377117270044
101,100,0,1.0599679999999998,98.62271999999993,100,100,0,0,0,0,10100,10100,10100,0,0,0,1.0,133998.65669898386,0.49313480095082196,31378,11,45.093143600495914
102,100,0,1.0279040000000002,99.65062399999994,100,100,0,0,0,0,10200,10200,10200,0,0,0,1.0,133987.31953750746,0.4934111448198787,31699,11,45.04159289362218
103,100,0,1.060959999999999,100.71158399999993,100,100,0,0,0,0,10300,10300,10300,0,0,0,1.0,133983.3161595394,0.49400314492744213,32025,11,44.988445239780205
104,100,0,1.0099199999999995,101.72150399999992,100,100,0,0,0,0,10400,10400,10400,0,0,0,1.0,134018.15215001156,0.4943140004566092,32341,11,44.93118533301159
105,100,0,1.0997439999999998,102.82124799999993,100,100,0,0,0,0,10500,10500,10500,0,0,0,1.0,134046.30140260514,0.49483957641744497,32673,11,44.87378854585969
106,100,0,0.962336,103.78358399999992,100,100,0,0,0,0,10600,10600,10600,0,0,0,1.0,134048.79137725683,0.49483688718438906,32978,12,44.823782325428276
107,100,0,1.0079999999999998,104.79158399999992,100,100,0,0,0,0,10700,10700,10700,0,0,0,1.0,134078.55348383714,0.49500686575958924,33294,12,44.77403087589455
108,100,0,1.0092799999999995,105.80086399999992,100,100,0,0,0,0,10800,10800,10800,0,0,0,1.0,134085.86152944848,0.4951326625186011,33608,12,44.72234292704703
109,100,0,1.0245759999999995,106.82543999999992,100,100,0,0,0,0,10900,10900,10900,0,0,0,1.0,134101.01563822263,0.4954952321953773,33926,12,44.66852476150028
110,100,0,0.9102079999999994,107.73564799999991,100,100,0,0,0,0,11000,11000,11000,0,0,0,1.0,134108.70281301887,0.49530272968699185,34221,12,44.62302332806268
111,100,0,1.002784,108.73843199999992,100,100,0,0,0,0,11100,11100,11100,0,0,0,1.0,134136.1258547485,0.49522575047210693,34534,12,44.57211914648344
112,100,0,0.9607679999999995,109.69919999999992,100,100,0,0,0,0,11200,11200,11200,0,0,0,1.0,134152.59181470796,0.49511546588634353,34837,12,44.52378969813093
113,100,0,1.0583359999999995,110.75753599999992,100,100,0,0,0,0,11300,11300,11300,0,0,0,1.0,134196.41260347297,0.4955500486596352,35158,12,44.466832534393134
114,100,0,0.9692479999999996,111.72678399999991,100,100,0,0,0,0,11400,11400,11400,0,0,0,1.0,134177.74559768956,0.4956836148677107,35468,12,44.41922103065008
115,100,0,1.0067839999999992,112.7335679999999,100,100,0,0,0,0,11500,11500,11500,0,0,0,1.0,134157.09507216176,0.4960338160963441,35783,12,44.36894227117905
116,100,0,1.115999999999999,113.8495679999999,100,100,0,0,0,0,11600,11600,11600,0,0,0,1.0,134157.73347510648,0.496815582133025,36120,12,44.310932015440116
117,100,0,1.0700159999999996,114.9195839999999,100,100,0,0,0,0,11700,11700,11700,0,0,0,1.0,134219.62961508817,0.49735484004114205,36447,13,44.25886630687684
118,100,0,1.0072319999999995,115.9268159999999,100,100,0,0,0,0,11800,11800,11800,0,0,0,1.0,134239.2427995263,0.4973130718879224,36758,13,44.208655876514435
119,100,0,1.214111999999999,117.1409279999999,100,100,0,0,0,0,11900,11900,11900,0,0,0,1.0,134313.4997189028,0.4985203069113272,37116,13,44.15302336632272
120,100,0,0.9643839999999998,118.1053119999999,100,100,0,0,0,0,12000,12000,12000,0,0,0,1.0,134326.42216803943,0.49843591199382764,37422,13,44.10608869339646
121,100,0,1.0908479999999994,119.19615999999989,100,100,0,0,0,0,12100,12100,12100,0,0,0,1.0,134338.08605914834,0.49892002344568126,37755,13,44.05170023196154
122,100,0,0.9973759999999995,120.1935359999999,100,100,0,0,0,0,12200,12200,12200,0,0,0,1.0,134347.85710938743,0.49905153504185745,38067,13,43.9995858866185
