seed,correlation,round,method,accuracy,macro_f1,effective_bits,compressed_bits,raw_selected_bits,mean_selected_hops,mean_selected_etx,energy_j,min_residual_energy_j,mean_residual_energy_j,participation_jain,utility_target_js,class_coverage_js,relay_queue_max,relay_energy_max_j,selected,accepted_updates
53,0.0,1,random,0.865,0.8692428424135741,51096.37133337671,18720.0,36576.0,1.3333333333333333,2.729507015671832,0.18520997350013993,8.706241180941644,10.304046504542018,0.25,0.38039566562150956,0.036110875613206195,0.010703428479607136,0.014703428479607136,6,6
53,0.0,2,random,0.941,0.9386073601598616,97787.86727827172,37440.0,73152.0,1.3333333333333333,2.611855429441018,0.3607023226983931,8.683546371858643,10.296734323325424,0.5,0.21749310174844624,0.007849862710205293,0.010729393207414301,0.014729393207414301,6,5
53,0.0,3,random,0.942,0.9405279921298308,139306.90713077353,56160.0,109728.0,1.2777777777777777,2.4805360956334312,0.5239974243153448,8.683546371858643,10.289930360758051,0.6136363636363636,0.1290052978146844,0.0026304691276510155,0.02059078781638387,0.02859078781638387,6,5
53,0.0,4,random,0.944,0.9426716108279465,180050.43403690384,74880.0,146304.0,1.25,2.4045196853218997,0.6855811028408909,8.683546371858643,10.283197707486153,0.7058823529411765,0.08096780692324196,0.005038460162081336,0.01659078781638387,0.02859078781638387,6,6
53,0.0,5,random,0.951,0.950304130031188,219681.8200043222,93600.0,182880.0,1.2333333333333334,2.347027991499169,0.8460447236302174,8.683546371858643,10.276511723286598,0.75,0.07527613327963682,0.0038699919201968195,0.026452182425353438,0.04245218242535344,6,6
53,0.0,6,random,0.947,0.9458477580378879,272604.5998650416,112320.0,219456.0,1.2777777777777777,2.4270352552087044,1.034971736809209,8.660851562775642,10.26863976440414,0.7714285714285715,0.0783359838048854,0.0032114522403437163,0.037181575632767735,0.05718157563276774,6,6
53,0.0,7,random,0.937,0.9347685649239601,306446.76582001004,131040.0,256032.0,1.2380952380952381,2.338574220238172,1.1817349857416617,8.660851562775642,10.262524629031956,0.765625,0.09566198503843883,0.0026810326920051024,0.03318157563276773,0.05718157563276774,6,6
53,0.0,8,random,0.949,0.9475112531169547,350038.13698466646,149760.0,292608.0,1.25,2.33732730358351,1.3516781687619985,8.660851562775642,10.255443663072775,0.8275862068965517,0.08042109800117431,0.002721661024062515,0.03629102161668768,0.06829102161668768,6,6
53,0.0,9,random,0.949,0.9479282334230081,391853.40882637614,168480.0,329184.0,1.2407407407407407,2.325815579453799,1.5162856169612067,8.660851562775642,10.248585019397806,0.788961038961039,0.08997104159372613,0.002534655983603941,0.039910968840182026,0.07191096884018204,6,6
53,0.0,10,random,0.95,0.948851934713059,436380.99652906606,187200.0,365760.0,1.25,2.3310950669287704,1.6901455597903048,8.660851562775642,10.24134085511326,0.8333333333333334,0.07542114413496406,0.0015916539260688962,0.04149759487128338,0.08149759487128339,6,6
53,0.0,11,random,0.955,0.9540369336357433,476499.13914458966,205920.0,402336.0,1.2424242424242424,2.3140012584721714,1.8507911618799406,8.660851562775642,10.234647288359527,0.8030973451327433,0.08026760255703536,0.0012627783329322976,0.05108481818522795,0.09508481818522796,6,5
53,0.0,12,random,0.954,0.9531709045243091,522413.2893451313,224640.0,438912.0,1.25,2.3255577339081697,2.0260153157837473,8.660851562775642,10.227346281946867,0.7883211678832117,0.0845514691726569,0.0006934295840249453,0.06067204149917252,0.10867204149917253,6,6
53,0.0,13,random,0.956,0.9551490853242756,560530.4076496379,243360.0,475488.0,1.2435897435897436,2.3032972043459816,2.183659381406858,8.660851562775642,10.22077777921257,0.7776073619631901,0.08735457411848725,0.00046223852079813304,0.07025926481311709,0.12225926481311711,6,6
53,0.0,14,random,0.953,0.9521465840540977,612790.6785705434,262080.0,512064.0,1.2619047619047619,2.3381817711025015,2.3721905073935816,8.660851562775642,10.212922315629791,0.7945945945945946,0.08266645872571415,0.001208022550868596,0.10775648986126449,0.1637564898612645,6,5
53,0.0,15,random,0.956,0.9555762125456677,654468.599316284,280800.0,548640.0,1.2555555555555555,2.330728630043747,2.537688211680255,8.660851562775642,10.20602657795118,0.7997630331753555,0.07893333841391195,0.0015110894309947741,0.10375648986126448,0.1637564898612645,6,6
