lambda_energy,FND,HND,LND,generated_messages,attempted_messages,delivered_messages,channel_drops,energy_drops,route_drops,PDR,PDR_percent,frame_attempts,retransmissions,failed_frame_attempts,direct_assignments,multihop_assignments,fallback_assignments,average_hops,maximum_hops,average_delay_ms,goodput_kbps,energy_per_delivered_j,route_changes,relay_HHI,max_relay_share,alive_node_rounds,mean_alive_fraction,per_round_csv
0.0,29,415,1484,48326,48307,46759,1323,119,125,0.9675743905971941,96.7574390597194,324400,7601,8935,37378,10929,4003,1.3439337881477362,6,886.6681994159256,141.8515897841069,0.0010693128595556224,197,0.022900898652454506,0.04644341236861403,48326,0.3256469002695418,results/re_etx_sweep/lambda_0p00.csv
0.25,111,403,1410,48782,48778,46962,1575,104,141,0.9626911565741462,96.26911565741462,320472,8419,10006,39224,9554,4205,1.3136791448405094,6,954.6289993848583,144.20906710138692,0.0010646906009104471,6406,0.020965676965635543,0.04997689311414802,48782,0.34597163120567376,results/re_etx_sweep/lambda_0p25.csv
0.5,113,398,1403,48736,48731,46886,1584,105,161,0.9620403808273145,96.20403808273144,320742,8408,10000,39361,9370,4136,1.3168963016678752,6,969.5166771388787,143.85747157225202,0.001066416414280489,6465,0.020939402401201918,0.050274223034734916,48736,0.34736992159657876,results/re_etx_sweep/lambda_0p50.csv
1.0,118,388,1404,48640,48634,46840,1531,106,163,0.9629934210526315,96.29934210526315,321320,8201,9745,39430,9204,4040,1.3219257045260462,7,985.8444231429377,143.45682801432488,0.0010674637062330335,6447,0.020988230477599384,0.049594751061366266,48640,0.34643874643874645,results/re_etx_sweep/lambda_1p00.csv
2.0,122,378,1408,48554,48547,46806,1480,107,161,0.9639988466449726,96.39988466449726,321638,7998,9490,39478,9069,3979,1.3253001751912148,7,1002.7831844939911,143.2120006300115,0.0010682391146424259,6441,0.021310662193726265,0.04888775575243801,48554,0.34484375,results/re_etx_sweep/lambda_2p00.csv
4.0,122,377,1408,48561,48554,46806,1480,107,168,0.9638598875640947,96.38598875640947,322116,7760,9251,39617,8937,3958,1.3281416912361663,7,1015.4623106368061,142.99688162341448,0.0010682391146424309,6506,0.021739161649786103,0.04862953138815208,48561,0.3448934659090909,results/re_etx_sweep/lambda_4p00.csv
