round,alive_nodes,dead_nodes,residual_energy_j,generated_packets,delivered_packets,energy_drops,pdr,avg_delay_s,throughput_bps
150,100,0,33.585458879504564,15000,15000,0,1.0,0.017000345946633,400000.0
151,100,0,33.47602860536792,15100,15100,0,1.0,0.017000345946633,400000.0
152,100,0,33.366598331231295,15200,15200,0,1.0,0.017000345946633,400000.0
153,100,0,33.25716805709465,15300,15300,0,1.0,0.017000345946633,400000.0
154,100,0,33.14773778295802,15400,15400,0,1.0,0.017000345946633,400000.0
155,100,0,33.03830750882138,15500,15500,0,1.0,0.017000345946632998,400000.0
156,100,0,32.928877234684755,15600,15600,0,1.0,0.017000345946632998,400000.0
157,100,0,32.81944696054811,15700,15700,0,1.0,0.017000345946632998,400000.0
158,100,0,32.71001668641148,15800,15800,0,1.0,0.017000345946632998,400000.0
159,100,0,32.60058641227485,15900,15900,0,1.0,0.017000345946632998,400000.0
160,100,0,32.4911561381382,16000,16000,0,1.0,0.017000345946632998,400000.0
161,100,0,32.38172586400157,16100,16100,0,1.0,0.017000345946632998,400000.0
162,100,0,32.272295589864925,16200,16200,0,1.0,0.017000345946632998,400000.0
163,100,0,32.1628653157283,16300,16300,0,1.0,0.017000345946632994,400000.0
164,100,0,32.05343504159166,16400,16400,0,1.0,0.017000345946632994,400000.0
165,100,0,31.94400476745502,16500,16500,0,1.0,0.017000345946632994,400000.0
166,100,0,31.834574493318385,16600,16600,0,1.0,0.017000345946632994,400000.0
167,100,0,31.72514421918175,16700,16700,0,1.0,0.017000345946632994,400000.0
168,99,1,31.617661333363518,16800,16799,1,0.9999404761904762,0.01700034593703308,399976.1904761905
169,99,1,31.511218841300206,16899,16898,1,0.9999408249008818,0.01700034592754565,399952.6627218935
170,99,1,31.404776349236897,16998,16997,1,0.9999411695493587,0.017000345918168742,399929.4117647059
171,99,1,31.298333857173578,17097,17096,1,0.9999415102064689,0.017000345908900434,399906.43274853803
172,99,1,31.191891365110273,17196,17195,1,0.9999418469411491,0.017000345899738853,399883.72093023255
173,98,2,31.087096751783577,17295,17293,2,0.9998843596415149,0.017000345881587726,399838.15028901736
174,98,2,30.98355395844129,17393,17391,2,0.9998850112114069,0.017000345863641166,399793.1034482759
175,98,2,30.880011165098992,17491,17489,2,0.9998856554799611,0.017000345845895735,399748.5714285714
176,98,2,30.7764683717567,17589,17587,2,0.9998862925692193,0.01700034582834807,399704.54545454547
177,98,2,30.67292557841441,17687,17685,2,0.9998869225985186,0.017000345810994882,399661.0169491525
178,98,2,30.56938278507212,17785,17783,2,0.9998875456845656,0.017000345793832958,399617.9775280899
179,98,2,30.46583999172983,17883,17881,2,0.9998881619415086,0.017000345776859153,399575.4189944134
180,98,2,30.36229719838754,17981,17979,2,0.9998887714810077,0.01700034576007039,399533.3333333333
181,97,3,30.261055722766603,18079,18076,3,0.9998340616184523,0.017000345735081787,399469.6132596685
182,97,3,30.16028807482608,18176,18173,3,0.9998349471830986,0.017000345710359945,399406.5934065934
183,96,4,30.060633344758667,18273,18269,4,0.9997810977945603,0.01700034567770197,399322.4043715847
184,95,5,29.96434377887667,18369,18364,5,0.999727802275573,0.017000345637257542,399217.39130434784
185,95,5,29.86904129941404,18464,18459,5,0.9997292027729636,0.01700034559722941,399113.5135135135
186,95,5,29.77373881995142,18559,18554,5,0.9997305889325934,0.01700034555761118,399010.75268817204
187,95,5,29.67843634048879,18654,18649,5,0.9997319609735178,0.01700034551839659,398909.0909090909
188,95,5,29.58313386102617,18749,18744,5,0.9997333191103526,0.0170003454795795,398808.5106382979
189,95,5,29.487831381563534,18844,18839,5,0.9997346635533857,0.0170003454411539,398708.9947089947
190,94,6,29.393660147714623,18939,18933,6,0.9996831934104229,0.017000345395451595,398589.4736842105
191,94,6,29.30099520112365,19033,19027,6,0.9996847580518048,0.017000345350200858,398471.2041884817
192,94,6,29.208330254532672,19127,19121,6,0.9996863073142678,0.017000345305395032,398354.1666666667
193,94,6,29.115665307941704,19221,19215,6,0.9996878414234431,0.01700034526102759,398238.34196891193
194,94,6,29.02300036135073,19315,19309,6,0.9996893606005695,0.017000345217092122,398123.7113402062
195,94,6,28.930335414759746,19409,19403,6,0.9996908650625999,0.017000345173582357,398010.25641025644
196,94,6,28.83767046816877,19503,19497,6,0.9996923550223042,0.017000345130492134,397897.9591836735
197,94,6,28.7450055215778,19597,19591,6,0.9996938306883707,0.017000345087815415,397786.80203045683
198,94,6,28.652340574986823,19691,19685,6,0.999695292265502,0.01700034504554628,397676.76767676766
199,94,6,28.559675628395848,19785,19779,6,0.999696739954511,0.01700034500367891,397567.8391959799
200,93,7,28.46933494679957,19879,19872,7,0.9996478696111475,0.017000344955210286,397440.0
201,93,7,28.37918162153357,19972,19965,7,0.9996495093130382,0.017000344907193207,397313.4328358209
202,93,7,28.28902829626757,20065,20058,7,0.999651133815101,0.0170003448596214,397188.11881188117
203,93,7,28.198874971001565,20158,20151,7,0.999652743327711,0.01700034481248869,397064.039408867
204,93,7,28.108721645735564,20251,20244,7,0.9996543380573799,0.017000344765789037,396941.17647058825
205,93,7,28.01856832046956,20344,20337,7,0.9996559182068423,0.01700034471951649,396819.51219512196
206,92,8,27.928613051195658,20437,20429,8,0.9996085531144493,0.017000344667061403,396679.6116504854
207,92,8,27.840887871832525,20529,20521,8,0.9996103073700618,0.017000344615076653,396541.0628019324
