round,alive_nodes,dead_nodes,round_airtime_s,elapsed_channel_time_s,generated_round,delivered_round,channel_drops_round,energy_drops_round,generated_total,delivered_total,channel_drops_total,energy_drops_total,pdr,goodput_bps,average_delay_s,frame_attempts,retransmissions,residual_energy_j
64,100,0,2.174239999999996,136.47724799999978,100,89,11,0,6400,5672,728,0,0.88625,166240.16334209815,1.081183160075022,33582,4172,40.573151924139644
65,100,0,2.1945599999999956,138.67180799999977,100,89,11,0,6500,5761,739,0,0.8863076923076924,166176.53099323576,1.0806649639998107,34122,4247,40.41907525236574
66,100,0,2.1295359999999963,140.80134399999977,100,89,11,0,6600,5850,750,0,0.8863636363636364,166191.59544386194,1.0800416573253133,34646,4310,40.273912330529036
67,100,0,2.0645119999999966,142.86585599999978,100,86,14,0,6700,5936,764,0,0.8859701492537313,166197.8632599243,1.078865422492453,35154,4368,40.13442622657739
68,100,0,2.1498559999999967,145.01571199999978,100,88,12,0,6800,6024,776,0,0.8858823529411765,166161.30533496974,1.078183637646299,35683,4437,39.98534641335761
69,100,0,2.1214079999999966,147.13711999999978,100,88,12,0,6900,6112,788,0,0.8857971014492754,166157.93485695546,1.0776917052439166,36205,4503,39.83787341124479
70,100,0,2.1295359999999968,149.26665599999978,100,88,12,0,7000,6200,800,0,0.8857142857142857,166145.6125874491,1.0771481889873238,36729,4567,39.69408357181769
71,100,0,2.129535999999997,151.3961919999998,100,88,12,0,7100,6288,812,0,0.8856338028169014,166133.63696756677,1.0766838703860546,37253,4634,39.549362922847
72,100,0,2.149855999999996,153.5460479999998,100,88,12,0,7200,6376,824,0,0.8855555555555555,166100.00929493175,1.0765466019845695,37782,4707,39.400395737616286
73,100,0,2.113279999999997,155.6593279999998,100,88,12,0,7300,6464,836,0,0.8854794520547945,166106.33189936445,1.0761854770362482,38302,4770,39.255147976167656
74,100,0,2.0888959999999965,157.7482239999998,100,88,12,0,7400,6552,848,0,0.8854054054054054,166138.16203724762,1.0757025556826771,38816,4828,39.11320957460792
75,100,0,2.194559999999996,159.9427839999998,100,91,9,0,7500,6643,857,0,0.8857333333333334,166134.40966489638,1.0760191815986864,39356,4901,38.961005470442416
76,100,0,2.186431999999997,162.1292159999998,100,88,12,0,7600,6731,869,0,0.8856578947368421,166065.07244197145,1.0761133901063695,39894,4979,38.809621104423975
77,100,0,2.170175999999996,164.29939199999978,100,88,12,0,7700,6819,881,0,0.8855844155844156,166014.00448274353,1.0758112230774115,40428,5048,38.657333683735125
78,100,0,2.162047999999997,166.46143999999978,100,89,11,0,7800,6908,892,0,0.8856410256410256,165996.40132874038,1.0754965187930299,40960,5120,38.50447639630503
79,100,0,2.0970239999999962,168.5584639999998,100,88,12,0,7900,6996,904,0,0.8855696202531645,166019.54797120148,1.0749285987966197,41476,5177,38.36140003607007
80,100,0,2.088895999999996,170.6473599999998,100,88,12,0,8000,7084,916,0,0.8855,166050.03441014283,1.0744637101145882,41990,5234,38.219136515329964
81,100,0,2.084831999999996,172.7321919999998,100,87,13,0,8100,7171,929,0,0.8853086419753087,166060.53375389363,1.0740051450747536,42503,5291,38.07985012878945
82,100,0,2.1051519999999964,174.8373439999998,100,89,11,0,8200,7260,940,0,0.8853658536585366,166097.23835658378,1.0737457527660101,43021,5349,37.93606738354193
83,100,0,2.1335999999999955,176.9709439999998,100,88,12,0,8300,7348,952,0,0.8853012048192771,166083.76118511314,1.0736402594381902,43546,5414,37.79018781421007
84,100,0,2.133599999999996,179.1045439999998,100,90,10,0,8400,7438,962,0,0.8854761904761905,166115.27175993944,1.073652100093063,44071,5475,37.64406556561531
85,100,0,2.0970239999999962,181.2015679999998,100,87,13,0,8500,7525,975,0,0.8852941176470588,166113.3528380948,1.0733578872254503,44587,5531,37.49994155381639
86,100,0,2.1498559999999958,183.3514239999998,100,90,10,0,8600,7615,985,0,0.8854651162790698,166129.06153376825,1.0735222213506135,45116,5596,37.34738228525659
87,100,0,2.170175999999996,185.5215999999998,100,87,13,0,8700,7702,998,0,0.8852873563218391,166061.52598942674,1.0739285204554438,45650,5673,37.19879189937824
