round,round_airtime_s,elapsed_channel_time_s,alive_nodes,dead_nodes,residual_energy_j,generated_packets,delivered_packets,energy_drops,pdr,avg_delay_s,throughput_bps
23,1.6,36.80000000000001,100,0,47.483103694857355,2300,2300,0,1.0,0.8090003459466332,249999.9999999999
24,1.6,38.40000000000001,100,0,47.37367342072073,2400,2400,0,1.0,0.8090003459466332,249999.9999999999
25,1.6,40.000000000000014,100,0,47.264243146584086,2500,2500,0,1.0,0.8090003459466332,249999.9999999999
26,1.6,41.600000000000016,100,0,47.15481287244746,2600,2600,0,1.0,0.8090003459466332,249999.9999999999
27,1.6,43.20000000000002,100,0,47.04538259831084,2700,2700,0,1.0,0.8090003459466332,249999.9999999999
28,1.6,44.80000000000002,100,0,46.93595232417419,2800,2800,0,1.0,0.8090003459466332,249999.99999999988
29,1.6,46.40000000000002,100,0,46.826522050037546,2900,2900,0,1.0,0.8090003459466333,249999.99999999988
30,1.6,48.00000000000002,100,0,46.71709177590091,3000,3000,0,1.0,0.8090003459466333,249999.99999999988
31,1.6,49.60000000000002,100,0,46.60766150176429,3100,3100,0,1.0,0.8090003459466333,249999.99999999988
32,1.6,51.200000000000024,100,0,46.49823122762764,3200,3200,0,1.0,0.8090003459466333,249999.99999999988
33,1.6,52.800000000000026,100,0,46.388800953491,3300,3300,0,1.0,0.8090003459466333,249999.99999999988
34,1.6,54.40000000000003,100,0,46.27937067935436,3400,3400,0,1.0,0.8090003459466333,249999.99999999988
35,1.6,56.00000000000003,100,0,46.16994040521773,3500,3500,0,1.0,0.8090003459466333,249999.99999999988
36,1.6,57.60000000000003,100,0,46.06051013108109,3600,3600,0,1.0,0.8090003459466333,249999.99999999988
37,1.6,59.20000000000003,100,0,45.95107985694445,3700,3700,0,1.0,0.8090003459466333,249999.99999999985
38,1.6,60.80000000000003,100,0,45.84164958280782,3800,3800,0,1.0,0.8090003459466333,249999.99999999985
39,1.6,62.400000000000034,100,0,45.73221930867118,3900,3900,0,1.0,0.8090003459466333,249999.99999999985
40,1.6,64.00000000000003,100,0,45.622789034534556,4000,4000,0,1.0,0.8090003459466333,249999.99999999988
41,1.6,65.60000000000002,100,0,45.513358760397914,4100,4100,0,1.0,0.8090003459466333,249999.9999999999
