dataset,relay_pressure_weight,compression_distortion_weight,n,accuracy_mean,accuracy_sd,accuracy_ci95,macro_f1_mean,macro_f1_sd,macro_f1_ci95,worst_client_accuracy_mean,worst_client_accuracy_sd,worst_client_accuracy_ci95,p10_client_accuracy_mean,p10_client_accuracy_sd,p10_client_accuracy_ci95,effective_bits_mean,effective_bits_sd,effective_bits_ci95,energy_j_mean,energy_j_sd,energy_j_ci95,max_relay_energy_j_mean,max_relay_energy_j_sd,max_relay_energy_j_ci95,representation_js_mean,representation_js_sd,representation_js_ci95,participation_jain_mean,participation_jain_sd,participation_jain_ci95,pareto
uci_har,1.0,0.2,10,0.9054966248794599,0.0017009008750013626,0.0010542292844788208,0.9053583544027785,0.0019139271589509823,0.0011862643431962844,0.7225427350427351,0.03838459778055232,0.023791020186973908,0.8514248241908378,0.008030113263144893,0.0049771157650103206,12380422.914459696,1093389.3534884509,677689.7423748851,21.237410814783125,2.5131063232404034,1.5576394367877602,1.5294719462807131,0.6268803205661617,0.38854444813181077,0.027932986359905175,0.010593853602714805,0.006566138490260029,0.8273271753042994,0.027436718322821973,0.017005454198436104,yes
uci_har,1.0,0.4,10,0.9041947926711668,0.003943703962715232,0.0024443330401639303,0.9039270442917591,0.004454353774229337,0.0027608370724234985,0.7014529914529914,0.020670688812792975,0.012811825660785581,0.8420932364898356,0.009540826301314332,0.00591346540694987,15249268.540281758,1114419.8340514551,690724.569272816,25.537890757954834,2.425019325917551,1.5030425502058282,1.5602859433114948,0.617593647558008,0.38278850856798013,0.02475348778634807,0.008538759344516911,0.005292377872461085,0.8375907890469858,0.021348076995390423,0.013231675206135215,yes
uci_har,1.0,0.8,10,0.8547251687560269,0.051569869777871695,0.031963336438725794,0.8343146023475168,0.07923023098229644,0.04910740593127813,0.6753846153846154,0.04889307256021755,0.030304240334456833,0.7724146467253458,0.0697499831035058,0.04323148741960631,26159024.388955064,2144778.5202614246,1329347.4993238125,41.953672215742614,2.851739742999335,1.767526604852618,1.6553702735309188,0.5669445390396578,0.35139586587047555,0.020295774304397378,0.009363629480807484,0.005803637679749303,0.862198636030133,0.017354487790173928,0.010756422972336257,no
uci_har,2.0,0.2,10,0.905062680810029,0.002674431452437413,0.0016576297877961225,0.9050305130177284,0.0026421015446826766,0.0016375915033666935,0.7107692307692308,0.022703531919157593,0.01407179487179487,0.8522109730947985,0.009327175535819104,0.005781043290560398,12264573.752838857,1101477.2433060529,682702.6684193539,21.008689762374512,2.4818854005409747,1.5382885084168398,1.4505869250070207,0.5579819668854514,0.3458408060971004,0.027829653532217613,0.010419013345241441,0.006457771375960031,0.8360179004936992,0.028999106345247924,0.01797383232744322,yes
uci_har,2.0,0.4,10,0.9049662487945997,0.003201920485223527,0.00198457087753134,0.9048626984680673,0.0034988177240952833,0.002168589692677906,0.6984615384615385,0.016537964611894454,0.010250336663222413,0.8498149648454525,0.008303862895384583,0.005146787544926453,14969719.907762477,1023682.8360246234,634485.1952378614,25.070127151370052,2.1430767734670457,1.3282927457330713,1.4721293609889687,0.5952523423093508,0.36894122411256114,0.0266860691778882,0.010196165461193826,0.006319648826433476,0.8334995679322124,0.025333370994182886,0.01570178601772578,yes
uci_har,2.0,0.8,10,0.8646576663452267,0.051389232351799125,0.031851376202102114,0.8503375190862545,0.07083143946034444,0.04390178101403118,0.662051282051282,0.03556623771158914,0.02204418251843291,0.7835597097824207,0.06496639679119838,0.0402665899059505,25595027.262581658,2506892.4570914353,1553788.0426469531,40.96370330100884,3.219148419806909,1.9952488620134585,1.6037224553217768,0.6212303472461347,0.38504255838735885,0.020027763182771944,0.007797605718485984,0.004833006095808409,0.8533160796380045,0.015450001276721513,0.009576010001842078,yes
uci_har,3.0,0.2,10,0.9016393442622951,0.005745600428067971,0.0035611600400749116,0.9013626060187672,0.006065400992985094,0.0037593744837756534,0.7092307692307692,0.025589692204871083,0.015860655550049552,0.8478772078056809,0.01062376473272605,0.006584677600712119,12114998.15779969,1024007.0195517172,634686.126269664,20.74675274890783,2.3532195842839814,1.458540609286983,1.4211244910539529,0.5574967809307054,0.3455400847267791,0.030800682995919614,0.012307696382627001,0.007628389250507641,0.8241597825632487,0.032082778772876096,0.019885112299559714,yes
uci_har,3.0,0.4,10,0.9059787849566057,0.0022615312246014527,0.0014017115751887605,0.9058693427026853,0.002427871320050033,0.0015048102344829156,0.7076923076923076,0.017764623667373112,0.011010627822667962,0.8526389613001601,0.011005105213483888,0.006821034879422921,14659580.023156399,934862.3602274441,579433.6939875879,24.551013296930105,1.914075611187593,1.1863563548458056,1.395414526159216,0.5272891469724292,0.32681719922435015,0.029370119614983224,0.009776078471530194,0.006059276212696301,0.8250807731747483,0.032345570622128526,0.02004799237521611,yes
uci_har,3.0,0.8,10,0.873625843780135,0.03747048753128391,0.023224448784616193,0.8639253367384585,0.05635588797533209,0.034929741250415515,0.671923076923077,0.03995049736757835,0.024761574806269296,0.8023408237034682,0.05239904980972431,0.032477267546958906,25016196.134484082,2684893.1715779356,1664114.0284982282,40.05917299416575,3.5242053117485908,2.184325082529104,1.4752254050944138,0.5092167037865862,0.3156157828875045,0.02090583304118184,0.009136206453199769,0.005662679426865403,0.849118024378728,0.026459599719650145,0.016399829813727642,yes
uci_har,5.0,0.2,10,0.9026518804243009,0.0026452973431716847,0.0016395722797916585,0.9023412522297811,0.002868524112321945,0.0017779296647378031,0.7147649572649573,0.02814507153272794,0.017444496066550165,0.849266098841609,0.01142293135436486,0.007080006204566804,11874425.042104905,927605.2533341917,574935.6925344147,20.314057273481136,2.1964082885947276,1.3613479612718267,1.3283432487231936,0.517168446953429,0.32054432436358155,0.03777756814605735,0.015427813388009436,0.00956225780594118,0.8223124132217319,0.039265569402966535,0.024337052055611253,yes
uci_har,5.0,0.4,10,0.9014946962391515,0.005464717222184714,0.003387066825407016,0.9008157462002447,0.0065974486739938994,0.004089141052952167,0.7061538461538461,0.04131309550999555,0.025606121884717652,0.8433668709152569,0.01369510327639289,0.008488312952348658,14085369.177037057,932434.0322620122,577928.6007213651,23.580286989264494,1.725973943475427,1.0697697333230725,1.2927932068759316,0.4840012134427567,0.2999870600538257,0.03297701880313961,0.010361556832657349,0.006422159460509562,0.8191439731118504,0.036536769443053015,0.02264572431775989,yes
uci_har,5.0,0.8,10,0.8683702989392479,0.036686436226483474,0.022738488751199323,0.8561770041264254,0.05308243308962525,0.03290083289211412,0.6605128205128205,0.049472341781633455,0.030663275117605738,0.7927051882683328,0.041251670958829326,0.025568050553473647,24680808.01350183,3051445.6914622337,1891305.6341003026,39.47334451107868,4.065681279974239,2.519935364665354,1.330803968046001,0.5572992016289494,0.34541762380681634,0.025468962414444928,0.011288093917157965,0.006996433095141795,0.8403104618347441,0.027306563887382524,0.016924783643577954,yes
