dataset,relay_pressure_weight,compression_distortion_weight,n,rmse_c_mean,rmse_c_sd,rmse_c_ci95,mae_c_mean,mae_c_sd,mae_c_ci95,worst_client_rmse_c_mean,worst_client_rmse_c_sd,worst_client_rmse_c_ci95,p90_client_rmse_c_mean,p90_client_rmse_c_sd,p90_client_rmse_c_ci95,effective_bits_mean,effective_bits_sd,effective_bits_ci95,energy_j_mean,energy_j_sd,energy_j_ci95,max_relay_energy_j_mean,max_relay_energy_j_sd,max_relay_energy_j_ci95,representation_js_mean,representation_js_sd,representation_js_ci95,participation_jain_mean,participation_jain_sd,participation_jain_ci95,pareto
intel_lab,1.0,0.2,10,1.7373993975843647,0.006447376563435919,0.00399612539515633,0.7904258037273935,0.015519166726618258,0.009618879191826616,8.629854805932066,0.009704513720662469,0.006014919920563094,1.9717667104471936,0.002884801074497477,0.0017880182304149692,1209965.8137592715,33411.13967366075,20708.43891579343,3.9829213716463228,0.07684562124941889,0.047629409506324376,0.11192019168003715,0.005850795697654256,0.003626360743664659,0.02331977255129915,0.003028778953933139,0.0018772566446277397,0.6637646449503175,0.016919475653738685,0.010486799656789801,yes
intel_lab,1.0,0.4,10,1.7351933651919236,0.005013826925775963,0.0031076021243490776,0.7935094306360014,0.012099833835005841,0.0074995547087249375,8.623590812090125,0.005930367499018262,0.003675679857111878,1.97286734870188,0.0021368411953976607,0.0013244278944045693,1837763.0698185586,74895.66786415571,46420.81587672123,5.426855060582644,0.17226003608755455,0.10676787651645663,0.12910428435351134,0.006754538098106799,0.004186506086750271,0.02571520724246234,0.002541939957150712,0.0015755107082374644,0.6692372316182035,0.019310773386311274,0.011968941346900821,no
intel_lab,1.0,0.8,10,1.73507972622677,0.0033721988151525126,0.0020901104798454013,0.7936964334155435,0.00948144588941005,0.005876661046346636,8.627040637812119,0.003314391926556595,0.0020542813990929018,1.9733866275901453,0.0011219796390296633,0.0006954101849427881,2515420.8231491065,40192.070289454154,24911.303254482587,6.985467893242882,0.09244176166574246,0.057295997485308656,0.15227983440645687,0.0068216936233,0.004228129512497037,0.02134780138395421,0.002545403212762502,0.0015776572563045773,0.7110039836900516,0.010150257549399232,0.006291194807910443,yes
intel_lab,2.0,0.2,10,1.7402835446988718,0.009850185212583034,0.006105208046669359,0.7941970971491983,0.02128478384097986,0.01319244570260133,8.633449062572314,0.0073165512501735365,0.0045348454473085565,1.9704512948736421,0.0023763695141849847,0.0014728890844944228,1200692.908947902,31302.74186074355,19401.64041249639,3.9615936905801723,0.07199630627970939,0.04462377294874121,0.10792049872834683,0.0055054073215743135,0.0034122868102958092,0.02346706001381665,0.0029686897923231156,0.0018400129964057255,0.6641060978979805,0.02230312190395959,0.013823618173185078,yes
intel_lab,2.0,0.4,10,1.7345185627078528,0.004461684608791299,0.002765380770759172,0.7913245196475998,0.011532009610773051,0.007147613608322954,8.625117108279317,0.004112781997294971,0.0025491286917129602,1.9729960300192075,0.0027070130409831473,0.0016778240655959532,1830970.4672684155,70957.66025054891,43980.013470313206,5.4112320747173195,0.1632026185762605,0.10115403098171914,0.12293927409913666,0.0046545355148846085,0.002884911000727265,0.023925989682129417,0.0024380263688034733,0.0015111043989098566,0.6686773597975475,0.02637763171882741,0.016349025520468966,yes
intel_lab,2.0,0.8,10,1.734860152650543,0.00381530364382862,0.002364749698009099,0.7928318472695215,0.007112238025737622,0.004408210798827667,8.624847230555318,0.007301891150160248,0.004525759023182057,1.9735271249322843,0.0018148963085636743,0.001124884386210221,2426277.8641966595,53735.073130383564,33305.34338023431,6.780439087652262,0.12359066819988034,0.07660228977453776,0.13447499605279087,0.0029634945160821255,0.0018367929308306492,0.02240788784641893,0.0014911474931743015,0.00092422279151351,0.7058303965077759,0.008619880616189122,0.005342657357555087,yes
intel_lab,3.0,0.2,10,1.7374694460169124,0.005806141222272662,0.0035986836130792108,0.7920019639480488,0.013567919776326409,0.008409483802312216,8.630029484439833,0.008676086880659175,0.00537749436119614,1.9721552720131748,0.0017596718264979714,0.0010906558976077957,1200212.802292707,47046.76366190739,29159.886223409158,3.960489445273223,0.10820755642238626,0.06706773831384061,0.1079633220192862,0.004092657956758237,0.0025366556821639196,0.025821388632446873,0.0028342818639520914,0.001756706099315234,0.6566304366330631,0.020540909051928354,0.012731387331634841,yes
intel_lab,3.0,0.4,10,1.7351611725098106,0.0058687940303467695,0.003637516225841846,0.7924475274046114,0.012677640644993726,0.007857683079880034,8.624059514520244,0.008324211313196078,0.005159399624951205,1.9723530902934125,0.002399039110155626,0.001486939845647411,1834087.652535215,77354.80748499393,47945.00640481872,5.4184016008309595,0.1779160572154839,0.11027351473108173,0.12147498586918015,0.006560502492787995,0.004066241572594798,0.024547657045863154,0.004055865156472272,0.0025138512682856486,0.6728719123178716,0.02343540886458217,0.014525416902238518,yes
intel_lab,3.0,0.8,10,1.7350094310315582,0.005382316655730585,0.003335994425192326,0.7946073598751406,0.013055289043789555,0.008091751982482475,8.623274506154448,0.006129122054431754,0.003798869206838272,1.9741524444169205,0.002369759017898891,0.0014687918564477076,2423678.9184075585,41989.80475212414,26025.550618404945,6.7744615123373295,0.09657655092988329,0.05985876642232999,0.13130702356047647,0.0044978255824521945,0.002787781178309591,0.023968342763326548,0.002400923324438571,0.001488107693759261,0.7008160383561418,0.017716386207655133,0.010980729935383071,no
intel_lab,5.0,0.2,10,1.739248946802999,0.006868743356974905,0.004257291239553573,0.7953079651953179,0.017434932916409025,0.010806283378146538,8.632542389384355,0.012045416237678118,0.007465826332464436,1.9715966082320022,0.0018501717075898884,0.001146748305043869,1215449.912796928,28258.421643924088,17514.75119333515,3.995534799432933,0.06499436978102453,0.0402839277446703,0.1064972747542043,0.0040368018419300955,0.0025020357035193726,0.0251808418713508,0.0028150597061064628,0.0017447920824494834,0.6559967706056775,0.025934830962279682,0.016074574768163003,yes
intel_lab,5.0,0.4,10,1.7353464322809509,0.005564568505468915,0.003448955291970895,0.7977960822932084,0.016293138045720953,0.01009859158538048,8.619879027354685,0.005739001516854409,0.0035570699925305434,1.9745607243555692,0.0013694325312538298,0.0008487830765355971,1868515.4634323516,70325.18346388226,43588.000296555205,5.49758556589437,0.1617479219669265,0.1002524006820753,0.12162913331042761,0.004499346344568583,0.00278872375643474,0.02490182378110648,0.004021694012548348,0.0024926717738552556,0.6876061003314853,0.022103006848897565,0.01369958557704022,no
